acronym,title,projectUrl
CORE-CLIMAX,COordinating Earth observation data validation for RE-analysis for CLIMAte ServiceS,http://coreclimax.itc.nl/
N2P,FLEXIBLE PRODUCTION TECHNOLOGIES AND EQUIPMENT BASED ON ATMOSPHERIC PRESSURE PLASMA PROCESSING FOR 3D NANO STRUCTURED SURFACES,http://www.n2p-project.eu/
GREEN,Global Re-ordering: Evolution through European Networks,http://www2.warwick.ac.uk/fac/soc/csgr/green/
ICATSEM,Institutional Changes and Trajectories of Socio-Economic development Models,http://icatsem.u-bordeaux4.fr/
NEUJOBS,Employment 2025: How will multiple transitions affect the European labour market,http://www.neujobs.eu/
ENACT,Enacting European Citizenship,http://enacting-citizenship.eu/
CORE,The role of Governance in the Resolution of Socioeconomic and Political Conflict in India and Europe,http://www.projectcore.eu/
CHANGINGEMPLOYMENT,"""The changing nature of employment in Europe in the context of challenges, threats and opportunities for employees and employers""",http://www.changingemployment.eu
CUPESSE,Cultural Pathways to Economic Self-Sufficiency and Entrepreneurship: Family Values and Youth Unemployment in Europe,http://cupesse.eu/
IMPACT,Impact Measurement and Performance Analysis of CSR,http://www.csr-impact.eu
SOCIAL POLIS,Social Platform on Cities and Social Cohesion,http://www.socialpolis.eu
GUSTO,"""Meeting the challenges of economic uncertainty and sustainability through employment, industrial relations, social and environmental policies in European countries""",http://www.gusto-project.eu/
MAXCAP,Maximizing the integration capacity of the European Union: Lessons and prospects for enlargement and beyond,http://www.maxcap-project.eu
FLOWS,Impact of local welfare systems on female labour force participation and social cohesion,http://www.flows-eu.eu/
EVIMALAR,Towards the establishment of a permanent European Virtual Institute dedicated to Malaria Research (EVIMalaR),http://www.evimalar.org/
SYBILLA,Systems Biology of T-cell Activation in Health and Disease,http://www.sybilla-t-cell.de/
MYWATER,Merging Hydrologic models and EO data for reliable information on Water,http://mywater-fp7.eu/
EU-SEC II,Coordinating National Research Programmes and Policies on Security at Major Events in Europe,http://www.eu-secii.org/
MICRODRY,Microwave Drying for the Rapid Remediation of Flooded Buildings,http://www.microdry.pera.com
SMALL,"Sparse models, algorithms, and learning for large scale data",http://www.small-project.eu
FAHRE,Food and Health research in Europe,http://www2.spi.pt/fahre/
BIND,Biaxial nematic devices,http://bind.upatras.gr/
WSAN4CIP,Wireless sensor networks for the protection of critical infrastructures,http://www.wsan4cip.eu/
TENLAW,Tenancy Law and Housing Policy in Multi-level Europe,http://www.tenlaw.uni-bremen.de/
THRIVE-RITE,"""Natural Compounds to enhance Productivity, Quality and Health in Intensive Farming Systems.""",http://www.thriverite.eu/
ISA-PACK,"""A Flexible Sustainable Active and Intelligent Packaging Technology Platform Enabling Enhanced Shelf Life, Quality and Safety of Fresh Food Produce""",http://www.isapack.eu
MEDEA,Advanced Methodologies for the Determination of the Lability of Trace Metals and Their Application to Contaminated Soils,http://www.gold.ac.uk/medea/
BIOSONIC,Novel Mobile Sonification Process for Local Valorisation of Lignocellulosic (Forest) Materials to produce Valuable Chemicals,http://www.biosonic-fp7.eu/
IPPA,Implementing Public Participation Approaches in Radioactive Waste Disposal,http://www.ippaproject.eu/
DISCUS,The DIStributed Core for unlimited bandwidth supply for all Users and Services,http://www.discus-fp7.eu
UQUAM,Ultracold Quantum Matter,http://www.uquam.eu
FLAGSHIP,Forward Looking Analysis of Grand Societal cHallenges and Innovative Policies,http://www.flagship-project.eu/
SUNGREEN,Strengthening University of Nova Gorica Research Potential in Environmental Sciences and Novel Nanomaterials,http://sungreen.ung.si/
GREENLION,Advanced manufacturing processes for Low Cost Greener Li-Ion batteries,http://www.greenlionproject.eu
BRISK,The European Research Infrastructure for Thermochemical Biomass Conversion,http://briskeu.com/
COSMIC,The COntribution of Social Media In Crisis management,http://www.cosmic-project.eu/
HYDRA,HYBRID ABLATIVE DEVELOPMENT FOR RE-ENTRY IN PLANETARY ATMOSPHERIC THERMAL PROTECTION,http://www.hydra-space.eu/
ALICE RAP,Addictions and Lifestyles In Contemporary Europe – Reframing Addictions Project,http://www.alicerap.eu/
IMPROVE,Improving Prostate Cancer Outcome with Vectored Vaccines,http://www.project-improve.eu/home
EPISTOP,"Long-term, prospective study evaluating clinical and molecular biomarkers of epileptogenesis in a genetic  model of epilepsy – tuberous sclerosis complex",http://www.epistop.eu
NORS,Demonstration Network Of ground-based Remote Sensing Observations in support of the GMES Atmospheric Service,http://nors.aeronomie.be/
ECLAIRE,Effects of Climate Change on Air Pollution Impacts and Response Strategies for European Ecosystems,http://www.eclaire-fp7.eu/
For Exploiting Space DATA",http://www.spacedatarouters.eu
CASCEFF,Modelling of dependencies and cascading effects for emergency management in crisis situations,http://casceff.eu/en/Sidor/default.aspx
LIGNODECO,Optimized pre-treatment of fast growing woody and nonwoody Brazilian crops by detailed characterization of chemical changes produced in the lignin-carbohydrate matrix,http://www.lignodeco.com.br/site/
SO2SAY,Replacement of sulphur dioxide (SO2) in food keeping the SAme qualitY and shelf-life of the products,http://so2say.eu/
PERFORMANCE,Development of Personalised Food using Rapid Manufacturing for the Nutrition of elderly Consumers,http://www.performance-fp7.eu/
PRESERVEWINE,Non-thermal process to replace use of sulphites and other chemical preservatives in European wines to meet new European Directive,http://www.preservewine.fraunhofer.eu/
INTHEAT,Intensified Heat Transfer Technologies for Enhanced Heat Recovery,http://www.intheat.eu
EFISHENT,Improvement of feeds and feeding efficiency for seabass in cage farms in the Mediterranean,http://www.efishent.eu/
PLASMON,"""A new, ground based data-assimilative modeling of the Earth's plasmasphere - a critical contribution to Radiation Belt modeling for Space Weather purposes""",http://plasmon.elte.hu/home.htm
ESPACE,European Satellite PArtnership for Computing Ephemerides,http://espace.oma.be
ARIMNET,Coordination of Agricultural Research in the Mediterranean,http://www.arimnet.net/
GRAFOL,GRAPHENE CHEMICAL VAPOUR DEPOSITION: ROLL TO ROLL TECHNOLOGY,http://www.grafol.eu/
MUPROD,Innovative proactive Quality Control system for in-process multi-stage defect reduction,http://www.muprod.eu/
MOVE IT!,Modernisation of Vessels for Inland waterway freight Transport,http://www.moveit-fp7.eu
4F CROPS,"""Future Crops for Food, Feed, Fiber and Fuel""",http://www.4fcrops.eu/
MICROENVIMET,Understanding and fighting metastasis by modulating the tumour microenvironment through interference with the protease network,http://www.microenvimet.eu/
ARISE,Affording Recovery In Stroke,http://www.arise-europe.net/index-preview.php
MARK-AGE,European Study to Establish Biomarkers of Human Ageing,http://www.mark-age.eu/
EUROVISIONNET,Visual Impairment and Degeneration: A Road-map for Vision Research within Europe,http://www.eurovisionnet.eu/
RECOVER,Science based remote sensing services to support REDD and sustainable forest management in tropical region,http://www.vtt.fi/sites/recover/
E-RARE-2,ERA-Net on Rare Diseases,http://www.e-rare.eu/
SOMABAT,Development of novel SOlid MAterials for high power Li polymer BATteries (SOMABAT). Recyclability of components,http://www.somabat.eu
ERMITAGE,Enhancing Robustness and Model Integration for The Assessment of Global Environmental Change,http://ermitage.cs.man.ac.uk/
P²-ROTECT,"""Prediction, Protection & Reduction of OrbiTal Exposure to Collision Threats""",http://www.p2rotect-fp7.eu
MORDRED,Modelling of the reliability and degradation of next generation nanoelectronic devices,http://webhotel2.tut.fi/fys/mordred/
POLYTUBES,A Process Chain and Equipment for Volume Production of Polymeric Microtubular Components for Medical Device Applications,http://www.polytubes.net/
IKNOW,"""interconnecting Knowledge for the  early identification of issues, events and developments  (e.g. wild cards and associated weak signals)  shaping and shaking the future of STI in the ERA""",http://www.iknowfutures.eu/
HPH.COM,HeliconPlasmaHydrazine.COmbinedMicro,http://www.hphcom.eu
SUBITO,Surveillance of Unattended Baggage and the Identification and Tracking of the Owner,http://www.subito-project.eu
COCAE,Cooperation across Europe for Cd(Zn)Te based Security Instruments,http://www.cocae.eu
HARCANA,High Aspect Ratio Carbon-based Nanocomposites,http://www.harcana.eu
SWUP-MED,Sustainable water use securing food production in dry areas of the Mediterranean region,http://swup-med.dk/
MINOTOR,Modelling of electronic processes at interfaces in organic-based electronic devices,http://www.materianova.be/minotor
NAVTRONIC,Navigational system for efficient maritime transport,http://www.navtronic-project.eu
COEXIST,Interaction in coastal waters: A roadmap to sustainable integration of aquaculture and fisheries,http://www.coexistproject.eu/
TREAT OA,Translational Research in Europe – Applied Technologies for Osteoarthritis,http://www.treatoa.eu/
INFORM,Integrating Nanomaterials in Formulations,http://www.nanoformulation.eu
RAPTOR,"""Rapid deployable, gas generator assisted inflatable mobile security kits for ballistic protection of European civilians against crime and terrorist attacks""",http://www.raptor-project.eu/
OCMOL,Oxidative Coupling of Methane followed by Oligomerization to Liquids,http://www.ocmol.eu
FESTOS,Foresight of Evolving Security Threats Posed by Emerging Technologies,http://www.festos.org
SUPERLION,Superior Energy and Power Density Li-Ion Microbatteries,http://www.superlion.eu/
MEDEO,Methods and tools for dual access to the EO databases in the EU and Russia,http://www.medeo-eu-ru.org/
SPWRT,SPACEWIRE RT,http://spacewire-rt.org/
THESEUS,Towards Human Exploration of Space: a EUropean Strategy,http://www.theseus-eu.org/
FAIRFUELS,"""FAbrication, Irradiation and Reprocessing of FUELS and targets for transmutation""",http://www.fairfuels.nrg.eu
TUMIC,An integrated concept of tumor metastasis: implications for therapy,http://itgmv1.fzk.de/www/tumic/tumic_main.htm
HIVOCOMP,Advanced materials enabling HIgh-VOlume road transport applications of lightweight structural COMPosite parts,http://www.hivocomp.eu
DINAMO,DEVELOPMENT OF DIAMOND INTRACELLULAR NANOPROBES FOR ONCOGEN TRANSFORMATION DYNAMICS MONITORING IN LIVING CELLS,http://www.fp7-dinamo.eu
NEUGENE,Advanced gene therapy tools for treatment of CNS-specific disorders,http://www.neugene.eu/
INTRICATE,Infectious triggers of chronic autoimmunity,http://www.intricate.eu
EUROCANPLATFORM,A European Platform for Translational Cancer Research,http://www.eurocanplatform.eu/
NAFISPACK,Natural Antimicrobials For Innovative and Safe Packaging,http://www.nafispack.com
SELECT-AND-ACT,"""The role of striatum in selection of behaviour and motor learning - neuronal code, microcircuits and modelling""",http://www.neuro.ki.se/selact/site/
MDDANEURODEV,Molecular coding and subset specification of dopamine neurons generating the the meso-limbic and nigro-striatal system,http://www.mddaneurodev.eu/
OPTISTEM,Optimization of stem cell therapy for clinical trials of degenerative skin and muscle diseases,http://www.optistem.org/
AEGOS,African-European Georesources Observation System,http://www.aegos-project.org
ACOBAR,Acoustic Technology for observing the interior of the Arctic Ocean,http://acobar.nersc.no/
HELIOS,High Pressure Electronically controlled gas injection for marine two-stroke diesel engines,http://helios-fp7.eu
ZF-CANCER,Developing high-thoughput bioassays for human cancers in zebrafish,http://www.science.leidenuniv.nl/index.php/ibl/mcb/research_themes/zf_cancer
NGIDD,Neuron-Glia Interactions in Nerve Development and Disease,http://www.ngidd.eu/
IDEAS,Integrating and Developing European Asian Studies,http://www.ideasconsortium.eu/
WILCO,Welfare Innovations at the Local level In favour of Cohesion,http://www.wilcoproject.eu/
AFFECTS,Advanced Forecast For Ensuring Communications Through Space,http://www.affects-fp7.eu
GPRIX,Good Practices in Innovation Support Measures for SMEs: facilitating transition from the traditional to the knowledge economy,http://www.gprix.eu/
SEABILLA,Sea Border Surveillance,http://www.seabilla.eu
SMW,Single Molecule Workstation,http://www.till-id.com/smw.html
PARYLENS,PARYLENE based artificial smart LENSes fabricated using a novel solid-on-liquid deposition process,http://www.parylens.eu
PREDICTA,Post-infectious immune reprogramming and its association with persistence and chronicity of respiratory allergic diseases,http://www.predicta.eu
DERREG,Developing Europe's Rural Regions in the Era of Globalization: An Interpretative Model for Better Anticipating and Responding to Challenges for Regional Development in an Evolving International Context,http://www.derreg.eu
NET-CHALLENGE,Innovative networks of SMEs for complex products manufacturing,http://www.netchallenge.org/
NEPHH,NANOMATERIALS-RELATED ENVIRONMENTAL POLLUTION AND HEALTH HAZARDS THROUGHOUT THEIR LIFE-CYCLE,http://www.nephh-fp7.eu
NUTRIMENTHE,“Effect of diet on the mental performance of children”,http://www.nutrimenthe.eu/
SYSINBIO,Systems Biology as a Driver for Industrial Biotechnology,http://www.sysbio.se/SYSINBIO
MANUVAR,Manual Work Support Throughout System Lifecycle by Exploiting Virtual and Augmented Reality,http://www.manuvar.eu
LIAA,Lean Intelligent Assembly Automation,http://www.project-leanautomation.eu
SENSYF,Sentinels Synergy Framework,http://sensyf.eu/
EPITARGET,Targets and biomarkers for antiepileptogenesis,http://www.epitarget.eu
DIABAT,Recruitment and activation of brown adipocytes as preventive and curative therapy for type 2 diabetes,http://www.diabat.org
DESURBS,Designing Safer Urban Spaces,http://www.desurbs.net/
BIOMAGSCAR,Biodegradable Magnetic Stent for Coronary Artery Luminal Regeneration,http://www.biomagscar.eu/
EU-CERT-ICD,Comparative Effectiveness Research to Assess the Use of Primary ProphylacTic Implantable Cardioverter Defibrillators in EUrope,http://www.eu-cert-icd.eu/
PRONIA,Personalised Prognostic Tools for Early Psychosis Management,http://www.pronia.eu
GANNET53,A drug strategy targeting stabilised mutant p53 to fight metastatic platinum-resistant ovarian cancer,http://www.gannet53.eu/
OPTIMEX,Optimizing Exercise Training in Prevention and Treatment of Diastolic Heart Failure,http://www.ntnu.edu/optimex
WWWFOREUROPE,"""Welfare, Wealth and Work for Europe""",http://www.foreurope.eu/
AEROFAST,AEROcapture for Future spAce tranSporTation,http://www.aerofast.eu
BESECU,Human behaviour in crisis situations: A cross cultural investigation to tailor security-related communication,http://www.besecu.de
ONE-P,"""Organic Nanomaterials for Electronics and Photonics: Design, Synthesis, Characterization, Processing, Fabrication and Applications""",http://www.one-p.eu
RAREDISEASEPLATFORM,A European Platform of Integrated Information Services for Researchers in the Field of Rare Diseases and Orphan Drugs Supporting Team and Project Building,http://www.rdplatform.org
PEMPHIGUS,Pemphigus - From autoimmunity to disease,http://www.pemphigus.eu
M3-2S,Multiscale Modelling for Multilayered Surface Systems,http://www.m3-2s.bham.ac.uk
PROMARK,Genetic prostate cancer variants as biomarkers of disease progression,http://www.promark-fp7.eu/
MATRANS,Micro and Nanocrystalline Functionally Graded Materials for Transport Applications,http://www.matrans.kmm-vin.eu
FIBLYS,Multi-functional Analytical Focussed ion beam tool for nanotechnology,http://www.fiblys.eu
MOODINFLAME,"""Early diagnosis, treatment and prevention of mood disorders targetting the activated inflammatory response system""",http://moodinflame.eu/
L4S,Learning 4 Security,http://www.L4S-project.info
BUILDING UP,"""Multi-stakeholder, Cross-sectorial, Collaborative long term Research & Innovation Road Map to overcome Technological and Non-technological barriers towards more energy-efficient buildings & districts""",http://www.buildingup-e2b.eu/
MINANO,New high-quality mined nanomaterials mass produced for plastic and wood-plastic nanocomposites,http://minano.vtt.fi/
SEAU,Multisensor Satellite Technologies for Oil Pollution Monitoring and Source Identification,http://seau.ksat.no/
REDD-FLAME,REDD Fast Logging Assessment & Monitoring Environment,http://redd-flame.info/
REDDINESS,Support EO-driven forest and carbon monitoring in Central Africa for REDD,http://www.reddiness.eu/
SIDARUS,Sea Ice Downstream Services for Arctic and Antarctic Users and Stakeholders,http://sidarus.nersc.no/
NANOPHOTO,Targeted Nanosystems for Improving Photodynamic Therapy and Diagnosis of Cancer,http://www.bio.unipd.it/nanophoto/
ASFRISK,Evaluating and controlling the risk of African swine fever in the EU,http://www.asfrisk.eu/
BACCARA,"""Biodiversity And Climate Change, A Risk Analysis""",http://www.baccara-project.eu/
FEMTOPRINT,FEMTOSECOND LASER PRINTER FOR GLASS MICROSYSTEMS WITH NANOSCALE FEATURES,http://www.femtoprint.eu
CATCLAY,Processes of Cation Migration in Clayrocks,http://catclay.org/
ANGIOSCAFF,Angiogenesis-inducing Bioactive and Bioresponsive Scaffolds in Tissue Enginering,http://www.angioscaff.eu
SECIGD,Secretariat of the Implementing Geological Disposal Technology Platform,http://www.igdtp.eu/
PRONANO,"""Promoting Technology Transfer of Nanosciences, Nanotechnologies, Materials and new Production Technologies""",http://www.pronano.eu/
BUGWORKERS,New tailor-made PHB-based nanocomposites for high performance applications produced from environmentally friendly production routes,http://www.bugworkersproject.eu/
FACET,"""Flavours, additives and food contact material exposure task""",http://www.ucd.ie/facet
AMBIOCAS,AMINE SYNTHESIS THROUGH BIOCATALYTIC CASCADES,http://www.ambiocas.eu/
FUNCFOOD,IMPACT OF AGENTS WITH POTENTIAL USE IN FUNCTIONAL FOODS ON BIOMARKERS FOR INDUCTION OF AGE RELATED DISEASES,http://funcfood.gmt.su.se
HABEAT,Determining factors and critical periods in food habit formation and breaking in early childhood: a multidisciplinary approach,http://www.habeat.eu
TRANSPARENT_FOOD,Quality and integrity in food: a challenge for chain communication and research,http://www.transparentfood.eu
EUCLYD,A European Consortium for Lysosomal Disorders,http://www.euclyd.eu
EFACTS,European Friedreich's Ataxia Consortium for Translational Studies,http://www.e-facts.eu/
CONVERGE,Collaborative Communication Driven Decision Management in Non Hierarchical Supply Chains of the Electronic Industry,http://www.converge-project.eu
EURODSD,Investigation of the molecular pathogenesis and pathophysiology of Disorders of Sex Development (DSD),http://www.eurodsd.eu
WOODWISDOM-NET 2,Networking and Integration of National Programmes in the Area of Wood Material Science and Engineering in the Forest-based Value Chains,http://www.woodwisdom.net/
FORBIOPLAST,Forest Resource Sustainability through Bio-Based-Composite Development,http://www.forbioplast.eu/
BETAIMAGE,Use of innovative strategies for beta-cell imaging in diabetes mellitus,http://www.betaimage.eu/index.php
FORGE,Fate of Repository Gases,http://www.bgs.ac.uk/forge/
SHARCO,Sharka Containment,http://www.sharco.eu/
RECOSY,REDOX PHENOMENA CONTROLLING SYSTEMS,http://www.recosy.eu/
SKIN,Slow processes in close-to-equilibrium conditions for radionuclides in water/solid systems of relevance to nuclear waste management,http://www.emn.fr/z-subatech/skin/index.php/Main_Page
PEBS,Long-term performance of Engineered Barrier Systems (EBS),http://www.pebs-eu.de
MODERN,Monitoring Developments for safe Repository operation and staged closure,http://www.modern-fp7.eu/
DORIS,Ground Deformations Risk Scenarios: an Advanced Assessment Service,http://www.doris-project.eu/
RASTAS SPEAR,RAdiation-Shapes Thermal protection investigAtionS for high-SPeed EArth Re-entry,http://www.rastas-spear.eu/index.php
PROVISCOUT,Planetary Robotics Vision Scout,http://www.proviscout.eu/
ISP-1,In Space Propulsion 1,http://www.isp1-fp7.eu/
SOTERIA,SOlar-TERrestrial Investigations and Archives,http://soteria-space.eu/
ULISSE,The USOCs KnowLedge Integration and dissemination for Space Science Experimentation,http://www.ulisse-space.eu
PROVISG,Planetary Robotics Vision Ground Processing,http://www.provisg.eu
SATURNE,Microsystems Based on Wide Band Gap Materials for Future Space Transmitting Ultra Wideband Receiving Systems,http://www.saturne-project.com
SEMEP,Search for Electro-Magnetic Earthquake Precursors combining satellite and ground-based facilities,http://www.ssg.group.shef.ac.uk/semep/
ENDORSE,ENDORSE (ENergy DOwnstReam SErvices) - Providing energy components for GMES,http://www.endorse-fp7.eu/
: E-SQUID,Development of SQUID-based multiplexers for large Infrared-to-X-ray imaging detector arrays in astronomical research from space,http://fusion.gfl.helsinki.fi/esquid 
WATPLAN,Spatial earth observation monitoring for planning and water allocation in the international Incomati Basin,http://www.watplan.eu
COSMOS,Coordination of Space NCPs as a Means to Optimise Services,http://www.fp7-space.eu
FOSTERNAV,Flash Optical Sensor for Terrain Relative Robotic Navigation,http://fosternav.net/
MYOCEAN,Development and pre-operational validation of upgraded GMES Marine Core Services and capabilities,http://www.myocean.eu
EAMNET,Europe Africa Marine Network,http://www.eamnet.eu/cms/ 
SUBCOAST,A collaborative project aimed at developing a GMES-service for monitoring and forecasting subsidence hazards in coastal areas around Europe,http://www.subcoast.eu/
CARBONES,30-year re-analysis of CARBON fluxES and pools over Europe and the Globe,http://www.carbones.eu/
FIELD_AC,"""Fluxes, Interactions and Environment at the Land-Ocean Boundary. Downscaling, Assimilation and Coupling""",http://lim050.upc.es/field_ac/index.html
HIPER,High Power Electric propulsion: a Roadmap for the future,http://www.alta-space.com/hiper
HESPE,High Energy Solar Physics Data in Europe,http://hespe.eu/
SMARTEES,MULTIFUNCTIONAL COMPONENTS FOR AGRESSIVE ENVIROMENTS IN SPACE APPLICATIONS,http://www.smartees-project.eu/
ASIMUTH,Applied simulations and Integrated modeling for the understanding of toxic and harmful algal blooms,http://www.asimuth.eu/
THESEUS,Innovative coastal technologies for safer European coasts in a changing climate,http://www.theseusproject.eu/
PRE-EARTHQUAKES,Processing Russian and European EARTH observations for earthQUAKE precursors Studies,http://www.pre-earthquakes.org 
BIO_SOS,BIOdiversity Multi-Source Monitoring System: from Space TO Species,http://www.biosos.wur.nl/UK/
BENWOOD,Coordination Actions in Support Of Sustainable And Eco-Efficient Short Rotation Forestry In CDM Countries,http://www.benwood.eu
ISTIMES,Integrated System for Transport Infrastructures surveillance and Monitoring by Electromagnetic Sensing,http://www.istimes.eu/
FRAME,Fast Ramp-up and Adaptive Manufacturing Environment,http://www.frame-eu.org
BIOHYPO,Confronting the clinical relevance of biocide induced antibiotic resistance,http://kdbio.inesc-id.pt/biohypo/
TORNADO,Molecular Targets Open for Regulation by the gut flora – New Avenues for improved Diet to Optimize European health,http://www.fp7tornado.eu
CANCERDIP,The use of Methylated DNA Immunoprecipitation MeDIP in cancer for better clinical management,http://www.cancerdip.eu/
NANOFUTURES,NANOfutures: a cross-ETP Coordination Initiative on nanotechnology,http://www.nanofutures.eu
BIONEXGEN,Development of the next generation bioreactor system,http://www.bionexgen.eu/
NANOHOUSE,Life Cycle of Nanoparticle-based Products used in House Coating,http://www-nanohouse.cea.fr
RESOLVE,Bottom-up Resolution of Functional Enantiomers from Self-Organised Monolayers,http://www.icmab.csic.es/resolve/
WOODY,Innovative advanced Wood-based Composite Materials and Components,http://dappolonia-research.eu/woody
NAMDIATREAM,NANOTECHNOLOGICAL TOOLKITS FOR MULTI-MODAL DISEASE DIAGNOSTICS AND TREATMENT MONITORING,http://www.namdiatream.eu
EFRAIM,Mechanisms of early protective exposures on allergy development,http://www.efraim-online.com
COPE,Common Operational Picture Exploitation,http://cope.vtt.fi/
TOYBOX,"""Multifactorial evidence based approach using behavioural models in understanding and promoting fun, healthy food, play and policy for the prevention of obesity in early childhood: ToyBox""",http://www.toybox-study.eu/
NAPANIL,"""Nanopatterning, Production and Applications based on Nanoimprinting Lithography""",http://www.napanil.org
MADEIRA,Minimizing Activity and Dose with Enhanced Image quality by Radiopharmaceutical Administrations,http://www.madeira-project.eu
CODICE,COmputationally Driven design of Innovative CEment-based materials,http://www.codice-project.eu
EURO-URHIS 2,European Urban Health Indicators Part Two: Using indicators to inform policy,http://www.urhis.eu
EATWELL,Interventions to Promote Healthy Eating Habits: Evaluation and Recommendations,http://www.flaviola.org/
SERVIVE,SERVice Oriented Intelligent Value Adding nEtwork for Clothing-SMEs embarking in Mass-Customisation,http://www.servive.eu
RECBREED,Recombination: an old and new tool for plant breeding,http://recbreed.eu/
ROC,Radiochemistry on chip,http://www.roc-project.eu
BASELINE,Selection and improving of fit-for-purpose sampling procedures for specific foods and risks,http://www.baselineeurope.eu
RHEA,ROBOT FLEETS FOR HIGHLY EFFECTIVE AGRICULTURE AND FORESTRY MANAGEMENT,http://www.rhea-project.eu/
NANOYOU,Communicating NANOtechnology to European YOUth,http://www.nanoyou.eu
LUPAS,Luminescent polymers for in vivo imaging of amyloid signatures,http://www.lupas-amyloid.eu/
