,title,projectUrl,acronym,return_code,redirect_url
57,Physics and fabrication of low dimensional structures for technologies of future generations,http://info.ifpan.edu.pl/celdis/,,200,
66,Environmental controls on mound formation along the european margin,http://www.geomar.de/projekte/ecomound/ecomoundstart/,ECOMOUND,200,
72,Sensor array for fast explosion proof gas monitoring (SAFEGAS),http://www.nmrc.ie/projects/safegas/,SAFEGAS,200,
74,Synbiotics and cancer prevention in humans,http://www.syncan.be,SYNCAN,200,
78,"Development of a standard method (protocol) for the measurement of organic contaminants ""tars"" in biomass producer gases",http://www.tarweb.net,TAR PROTOCOL,200,
79,New policy rationales for the support of public research in the eu,http://www.researchineurope.org/,NPRNET,200,
81,Propagation of european pines via somatic embryogenesis,http://www.slu.se/sv/404/,SEP,301,http://www.slu.se/sv/404/
83,Passive in-situ remediation of acidic mine / industrial drainage,http://www.piramid.org/,PIRAMID,200,
91,Modelling ecological quality of urban rivers: ecotoxicological factors limiting restoration of fish populations.,http://www.birmingham.ac.uk/schools/biosciences/index.aspx,CITYFISH,301,http://www.birmingham.ac.uk/schools/biosciences/index.aspx
93,Long-term performance of permeable reactive barriers used for the remediation of contaminated groundwater,http://www.perebar.bam.de/,PEREBAR,200,
94,Significance of external / anthropogenic nitrogen for central baltic sea n-cycling,http://www2008.io-warnemuende.de/projects/signal/index.html,SIGNAL,301,http://www2008.io-warnemuende.de/projects/signal/index.html
96,Sustainable urban transportation,http://www.ess.co.at/SUTRA/,SUTRA,200,
97,Development of high-performance fabrics based on industrial cold plasma technology,https://www.tut.fi/hupsis/,PLASMAFAB,302,https://www.tut.fi/hupsis/
100,Inspektoren - sustainable refurbishment europe,http://www.sureuro.com/,SUREURO,200,
101,Communicating urban growth and green: assessment of planning concepts and policy instruments for sustainable development of the urban landscape,http://www.hugedomains.com/domain_profile.cfm?d=greenscom&e=com,GREENSCOM,302,http://www.hugedomains.com/domain_profile.cfm?d=greenscom&e=com
104,Integrated concept for groundwater remediation,http://www.umweltwirtschaft-uw.de/incore/,INCORE,200,
105,Optical-infared co-ordination network for astronomy,http://www.astro.opticon.org,OPTICON,200,
106,Reserach infrastructure cooperation network hydralab-ii,https://www.deltares.nl/nl/,HYDRALAB-II,302,https://www.deltares.nl/nl/
108,European natural history specimen information network,http://www.nhm.ac.uk/,ENHSIN,302,http://www.nhm.ac.uk/
109,Study and conference on improving public access to science through science shops.,http://www.livingknowledge.org/,SCIPAS,302,http://www.livingknowledge.org/
115,Oceanographic applications to eutrophication in regions of restricted exchange,http://www.napier.ac.uk/,OAERRE,200,
124,Cost management system for greening electrical and electronic equipment (GREEEN),http://www.grEEEn.it,GREEEN,200,
129,Implementation and networking of large-scale long-term marine biodiversity research in europe (BIOMARE),http://www.biomareweb.org/,BIOMARE,200,
132,"Regional centre of excellence in new functional materials, their design, diagnostics and exploitation",http://www.fi.tartu.ee/ce/introduction.htm,,200,
135,European Development on Indexing Techniques for Databases with Multidimensional Hierarchies,http://edith.in.tum.de,EDITH,200,
136,Information Society for All,HTTP://is4all.ics.forth.gr/,IS4ALL,200,
138,An innovative cyber voting system for Internet terminals and mobile phones,http://www.eucybervote.org,CYBERVOTE,200,
139,EUROpean CITIes platform for on-line transaction services,http://www.euro-citi.org,EURO-CITI,200,
140,IMproving PUblic Services,http://www.impulse-project.com,IMPULSE,200,
141,Delphi Mediation On-line System,http://www.wornex.com/content/view/16/83/,DEMOS,302,http://www.wornex.com/content/view/16/83/
142,"European Senior Watch Observatory and Inventory - A market study about the specific IST needs of older and disabled people to guide industry, RTD and policy",http://www.empirica.biz/home.html,SENIORWATCH,302,http://www.empirica.biz/home.html
147,Innovative IST Platforms and Services to Support a Democratic Regional/Urban Planning Process,http://www.agora2000.org,AGORA 2000,200,
150,The Development and Evaluation of New Methods for Editing and Imputation,https://www.cs.york.ac.uk/euredit/,EUREDIT,301,https://www.cs.york.ac.uk/euredit/
155,Extended Statistical Information System,http://atkosoft.com/x-statis,X-STATIS,200,
156,Manufacturing Cluster 4,http://www.csem.ch/site/,MC 4,302,http://www.csem.ch/site/
160,Reduction of air emissions at kraft pulp mills,http://www.kcl.fi,REMPULP,200,
162,Old age and autonomy: the role of service systems and intergenerational solidarity,http://oasis.haifa.ac.il,OASIS,200,
165,Development of relaxor based improved piezoelectric single crystals (DORIS),http://www.vermon.fr/doris/,DORIS,301,http://www.vermon.fr/doris/
166,Process integrated thermal-chemical treatment of halogens containing materials as source of halogens free fuels for steel production and residues for noble metal recovery,http://www.haloclean.com/,HALOCLEANCONVERSION,200,
168,Floodplain biodiversity and restauration 2: integrated natural science and socio-economic approaches to catchment flow management,http://www.geog.cam.ac.uk/research/projects/flobar2/,FLOBAR2,200,
170,Large scale integrated supply chain optimisation software based upon branch&cut and constaint programming methods (LISCOS),http://www.liscos.fc.ul.pt,LISCOS,200,
172,Debrisfall assessment in mountain catchment for local end-users,http://damocles.irpi.cnr.it,DAMOCLES,200,
174,A decision support system to quantify cost/benefit relationships of the use of vegetation in the management of heavy metal polluted soils and dredged sediments,http://www.phytodec.nl/,PHYTODEC,200,
177,Natural baseline quality in european aquifers: a basis for aquifer management,http://www.bgs.ac.uk/hydrogeology/baseline/europe/home.html,BASELINE,200,
183,Predicting recovery in acidified freshwaters by the year 2010 and beyond.,http://www.macaulay.ac.uk/recover/,RECOVER:2010,302,http://www.macaulay.ac.uk/recover/
184,Development and testing of an integrated assessment system for the ecological quality of streams and rivers throughout europe using benthic macroinvertebrates,http://www.aqem.de/,AQEM,200,
187,European water regimes and the notion of a sustainable status,http://www.euwareness.nl/,EUWARENESS,200,
194,"Project ""famto"": ultra-fast atomic movie tools 100 femtosecond time-resolved diffraction installations for the study of ultrafast transient structural changes",http://wwwy.ensta.fr/FAMTO/,FAMTO,301,http://wwwy.ensta.fr/FAMTO/
195,Noise in completions amelioration for permenent seismic sensors (NICAPSS),https://altcom.co.uk/services/microseismics/,NICAPSS,301,https://altcom.co.uk/services/microseismics/
196,"Collaboratory for Annotation, Indexing and Retrieval of Digitised Historical Archive Material",http://www.collate.de,COLLATE,200,
198,AgentLink II: Continuation of a Network of Excellence for Agent-Based Computing,http://www.iam.ecs.soton.ac.uk/projects/agentlink2/,AGENTLINK II,200,
202,Quality of Service and Pricing Differentiation for IP Services,https://www.ist-tequila.org/workshop2002/cassaigne.pdf,QOSIPS,302,https://www.ist-tequila.org/workshop2002/cassaigne.pdf
203,ComputEr Vision ENables Non-constrained Transmission of Scenarios,http://www.eptron.es/,EVENTS,301,http://www.eptron.es/
204,Virtual Reality Surgery Training System,http://hiperttn.upv.es/vrsur/,VRSUR,301,http://hiperttn.upv.es/vrsur/
207,Test Execution and Test Management for Numerical Control Software,http://www.isg-stuttgart.de/de/portal.html,TEAM,307,http://www.isg-stuttgart.de/de/portal.html
209,Automated 3D texture content management in large-scale data sets,http://www.slb.com/,TRITEX,302,http://www.slb.com/
213,PErvasive COmponent Systems,http://www.pecos-project.org,PECOS,200,
215,Electronic Communication in the Building and Construction Industry: Preparing for the New Internet,http://www.econstruct.org,E-CONSTRUCT,200,
216,International Standards for Language Engineering,http://www.mpi.nl/ISLE/,ISLE,200,
219,IPv6 Wireless Internet Initiative,http://www.6winit.org/,6WINIT,200,
223,Dynamic on-linE IntErnet Purchasing System based on Intelligent Agents,http://www.deepsia.com,DEEPSIA,200,
224,Smart organisation for small services,http://www.icie.it,SOSS,200,
226,Fashion Shopping with Individualized Avatars,http://www.fashion-me.com,FASHIONME,200,
227,Digital On-Line Pilot Project to Help Intermodal Networking & Short-Sea-Shipping,http://www.7dolphins.org,DOLPHINS,200,
230,Automated Generation and Execution of test suites for DIstributed component based Software,http://www.agedis.de,AGEDIS,200,
232,Social sciences infrastructure network in a growing european research community,http://www.ssn.msh-paris.fr,SOCIALSCIENCESNET,200,
238,European macromolecular crystallography infrastructure network,http://www.stfc.ac.uk/,MAX-INF,301,http://www.stfc.ac.uk/
240,Bioaccumulation of persistent organic pollutants in small cetaceans in european waters : transport pathways and impact on reproduction (BIOCET),http://www.abdn.ac.uk/biocet/,BIOCET,200,
241,Towards an operational prediction system for the north atlantic and european coastal zones,http://topaz.nersc.no/,TOPAZ,200,
242,Management Testing and Reconfiguration of IP based networks using Mobile Software Agents,http://www.surrey.ac.uk/feps/,MANTRIP,301,http://www.surrey.ac.uk/feps/
243,Distributed Virtual Prototyping,http://www.sener.es,DIVIPRO,200,
244,Dependable Systems Of Systems,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,DSOS,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
248,Assessment of technologies for the removal of pharmaceuticals and personal care products in sewage and drinking water facilities to improve the indirect potable water reuse (POSEIDON),http://www.eu-poseidon.com,POSEIDON,200,
251,Food web uptake of persistent organic pollutants in the arctic marginal ice zone of the barents sea (FAMIZ),http://www2008.io-warnemuende.de/projects/famiz/en_home.html,FAMIZ,301,http://www2008.io-warnemuende.de/projects/famiz/en_home.html
252,Network oriented risk-assessment by in-situ screening of contaminated sites (NORISC),http://www.norisc.com,NORISC,200,
254,Modular plant architecture,http://www.mpa-online.net,MPA,200,
257,Evaluating housing and neighbourhood initiatives to improve the quality of life of deprived urban neighbourhoods and assessing their transferability across europe (NEHOM),http://www.nhh.no/Files/Filer/html/404.html,NEHOM,301,http://www.nhh.no/Files/Filer/html/404.html
262,Satellite-UMTS IP-based Network,http://www.surrey.ac.uk/feps/,SATIN,301,http://www.surrey.ac.uk/feps/
264,Management Of Networks And Services In A Diversified Radio Environment,http://www.monasidre.com,MONASIDRE,200,
270,MODULAR HYBRID ARTEFACTS WITH ADAPTIVE FUNCTIONALITY,http://manolito.image.ece.ntua.gr/oresteia/,ORESTEIA,200,
273,Open System for inter-enterprise information Management in dynamic virtual envirOnmentS,http://osmos.vtt.fi,OSMOS,200,
279,Enabling End-User Data warehouse Mining,http://www-ai.cs.uni-dortmund.de/FORSCHUNG/PROJEKTE/MININGMART/index.html,MINING MART,303,http://www-ai.cs.uni-dortmund.de/FORSCHUNG/PROJEKTE/MININGMART/index.html
281,"Nice Environment with a Process and Tools Using Norms (UML, XML and XMI) and Examples",https://neptune.irit.fr/,NEPTUNE,302,https://neptune.irit.fr/
282,Development and applications of new built-in-test software COMPONENTs in European industries,http://www.component-plus.org,COMPONENT+,200,
284,Application Testbed for European GRID Computing,http://www.eurogrid.org,EUROGRID,200,
285,ExpAnding MEDiterranean IT MaRketS for Europe,http://www.medressa.com,MEDRESSA II,200,
287,Computer Aided architectural analysis of Real-Time Systems,http://www.tcpsi.com/,CARTS,301,http://www.tcpsi.com/
291,Dependability Benchmarking,http://webhost.laas.fr/TSF/DBench/,DBENCH,302,http://webhost.laas.fr/TSF/DBench/
308,Tool-assisted Specification and Verification of JavaCard Programmes: VerifiCard,http://www.verificard.com/,VERIFICARD,200,
311,Broadband Radio Access for IP based Networks,http://www.ist-brain.org,BRAIN,200,
317,Efficient millimetre broadband radio access for convergence and evolution,https://www.telenor.no/errorpages/404.jsp,EMBRACE,302,https://www.telenor.no/errorpages/404.jsp
318,Malicious- and Accidental-Fault Tolerance for Internet Applications,http://www.maftia.org,MAFTIA,200,
321,Wireless Strategic Initiative,http://ist-wsi.org/,WSI,200,
322,Dynamic Radio for IP-Services in Vehicular Environments,http://www.ist-drive.org,DRIVE,200,
323,Multimedia Car Platform,http://mcp.fantastic.ch,MCP,200,
324,Multiple Organisation Interconnection for Collaborative Advanced Network Experiments,http://www.moicane.com,MOICANE,200,
328,The Microsystems Network,http://nexus-mems.com/,NEXUS-2000,301,http://nexus-mems.com/
330,Network of Excellence On Nanoelectronics,http://www.phantomsnet.net,PHANTOMS,200,
332,"Proof of concept for a simple, workable and manageable interoperable solution for door-to-door travel based on chip-card",http://www.cen.eu/Pages/default.aspx,TRIANGLE,301,http://www.cen.eu/Pages/default.aspx
334,"Manufacturing, engineering and service status electronically negotiated for greatly enhanced response",http://www.isomatic.co.uk/messenger.htm,MESSENGER,200,
336,EUropean Network on Intelligent Technologies for Smart Adaptive Systems,http://www.eunite.org/eunite/,EUNITE,200,
337,THE NETWORK OF EXCELLENCE IN EVOLUTIONARY COMPUTING,http://evonet.lri.fr/,EVONET,200,
338,MultimodAl analysis/synthesis systEm for human INTERaction to virtual and augmented environments,http://www.ist-interface.org,INTERFACE,200,
339,VIRtual Team User Environment,http://www.virtue.eu.com,VIRTUE,200,
349,ShopAware - New Methods of E-Commerce: Virtual Awareness and Total Customer Care,http://www.cobrow.com/shopaware/,SHOPAWARE,200,
350,Towards a European E-Commerce Ambient in the Craft Sector,http://www.easycraft.org/,EASYCRAFT,200,
351,Developing Intelligent Personal Service Environments,http://www.cerena.org,CERENA,200,
360,Laboratories on science and technology for the conservation of european cultural heritage,http://www.chm.unipg.it/chimgen/LabS-TECH.html,LABS TECH,200,
361,European fleet for airborne research,http://www.esf.org/home.html,EUFAR,301,http://www.esf.org/home.html
363,Geoenvironmental engineering infrastructure co-operation network,http://grc.cf.ac.uk/,GEOENVNET,302,http://grc.cf.ac.uk/
366,"Designed molecules and macromolecules, their assemblies and biological functions",http://www.cbmm.lodz.pl,,200,
367,Cell biology and lasers : towards new technologies,http://www.mif.vu.lt/unesco/,,200,
368,"Disseminating the results of eu food research programmes to small and medium sized food industries, health professionals and consumer groups through a 24 - country interactive network system",http://ww1.flair-flow.com/,,302,http://ww1.flair-flow.com/
372,Specifying Legal Terms of Contract in ICT Environment,http://cic.vtt.fi/projects/elegal/,ELEGAL,200,
374,NETworked systems approach for STOCK and service level optimisation,http://www.eu-netstock.org,NETSTOCK,200,
383,Virtual Valley for rapid growth SMEs,http://www.aecom.org,VIVA,200,
391,Digital Economy: Policy Exchange and Development for SMEs,http://www.deeds-ist.org,DEEDS,200,
393,Automated Performance Measurement,http://www.APMPROJECT.com,APM,200,
400,New-use and Innovation Management and Measurement Methodology for R&D,http://nimcube.com/,NIMCUBE,301,http://nimcube.com/
401,Drug In Virtual Enterprise,http://www.hsr.it/,DRIVE,301,http://www.hsr.it/
405,Multi-application Smart cards in Cities,http://www.southampton.gov.uk/roads-parking/travel/smartcities-card/,SMARTCITIES,301,http://www.southampton.gov.uk/roads-parking/travel/smartcities-card/
406,"New European Schemes for Signature, Integrity, and Encryption",http://www.cryptonessie.org,NESSIE,200,
411,Digital Design and Development of tourism products and services,http://www.3dproject.gr,3D,200,
412,"Smart IS, Accompanying Measure for accelerating Electronic Business and New Transactional Information Systems",http://www.smartis.org/,SMART IS AM,200,
427,Ecotoxicological assessments and removal technologies for pharmaceuticals in wastewaters (REMPHARMAWATER),https://inbox.unina.it/horde/login.php,REMPHARMAWATER,301,https://inbox.unina.it/horde/login.php
432,Climate change policy and global trade (CCGT),http://ccgt.zew.de/,CCGT,200,
433,"Impact of natural and trawling events on resuspension, dispersion and fate of pollutants (INTERPOL)",http://cordis.europa.eu/eesd/ka3/projects.htm,INTERPOL,200,
434,"Development of non-degrading, novel marine technologies for the sustainable exploitation and protection of mediterranean marine resources (NOMATEC)",http://cordis.europa.eu/eesd/ka3/projects.htm,NOMATEC,200,
437,Techniques for the quantification of methane hydrate in european continental margins (HYDRATECH),http://www.hydratech.bham.ac.uk,HYDRATECH,200,
438,Monitoring and managing of european seagrass beds (M&MS),http://www.seagrasses.org/,M&MS,200,
439,An advanced approach to earthquake risk scenarios with applications to different european towns (RISK-UE),http://www.risk-ue.net,RISK-UE,200,
440,Aid in the management and european comparison of a municipal solid waste treatment for a global and sustainable approach (AWAST),http://awast.brgm.fr,AWAST,200,
441,Variable rate pricing based on pay-as-you-throw as a tool of urban waste management (PAYT),http://payt.net,PAYT,200,
442,Rediscovering the urban realm and open spaces (RUROS),http://alpha.cres.gr/ruros/,RUROS,200,
448,Improvement of Competitiveness by Distributed Component Based Development of Embedded Software,https://www.atb-bremen.de:443/projects/discomp/Projects/proj-en.htm,DISCOMP,301,https://www.atb-bremen.de:443/projects/discomp/Projects/proj-en.htm
449,Cluster for Electronic COMmerce,http://www.cen.eu/Pages/default.aspx,C-ECOM,301,http://www.cen.eu/Pages/default.aspx
452,Digital Design and Life-Cycle Management for Distributed Information Supply Services in Innovation Exploitation and Technology Transfer,http://www.dilemma.gr,DILEMMA,200,
454,Project risk management,http://www.esi2.us.es/prima/,PRIMA,301,http://www.esi2.us.es/prima/
456,Efficient Bidding and Procurement in the Tile Industry. Practical Trading Tools and Broker Services for the Exchange of Product Characteristics,http://www.buydomains.com/lander/ebip.net?domain=ebip.net&utm_source=ebip.net&utm_medium=click&utm_campaign=TDFS-OO-BDLander&traffic_id=TDFS-OO-BDLander&traffic_type=tdfs,E.BIP,301,http://www.buydomains.com/lander/ebip.net?domain=ebip.net&utm_source=ebip.net&utm_medium=click&utm_campaign=TDFS-OO-BDLander&traffic_id=TDFS-OO-BDLander&traffic_type=tdfs
463,PUBLIC ADMINISTRATION AND ELECTRONIC COMMERCE IN EUROPE,http://www.pace-eu.net,PACE,200,
466,PROEHTEL,http://www.ehtel.eu/,PROEHTEL,301,http://www.ehtel.eu/
469,Telemedicine and Portable Virtual Environment in Clinical Psychology,http://ww35.vepsy.com/,VEPSY UPDATED,302,http://ww35.vepsy.com/
470,Intelligent personal health assistant,http://www.h-life.org,H-LIFE,200,
471,Virtual Incubator System for the Initiation and Operation of Networks,http://www.mjc2.com/research-scheduling-algorithms.htm,VISION,301,http://www.mjc2.com/research-scheduling-algorithms.htm
473,Environmental regulation of mine waters in the european union (ERMITE),http://www.minewater.net/ermite/,ERMITE,301,
475,Environmental design of low crested coastal defence structures (DELOS),http://www.delos.unibo.it,DELOS,200,
477,Satellite hydrographic monitoring and assessment of environmental trends along the russian arctic coast,http://dib.joanneum.ac.at/amethyst/,AMETHYST,301,http://dib.joanneum.ac.at/amethyst/
478,Wastewater recycling of olive mills in mediterrenean countries - demonstration and sustainable reuse of residuals,https://www.fh-aachen.de/,WAWAROMED,302,https://www.fh-aachen.de/
480,Automated water analyser computer supported system (AWACSS),http://barolo.ipc.uni-tuebingen.de/awacss/,AWACSS,200,
489,Bulgarian centre of excelence in plant biotechnology,https://www.aabacosmallbusiness.com/,,302,https://www.aabacosmallbusiness.com/
490,Advanced MObile VIdeo Communication TEchnologies,http://www.aitek.it,AMOVITE,200,
491,System for Advanced Multimedia Broadcast and Information Technology Services,https://www.irt.de/de/home.html,SAMBITS,302,https://www.irt.de/de/home.html
494,Development of a Versatile System for Advanced Neuronal Recordings with Multisite Microelectrodes,http://www.vsamuel.de,VSAMUEL,200,
495,Adaptive Resource Control for QoS Using an IP-based Layered Architecture,http://www-st.inf.tu-dresden.de/aquila/,AQUILA,200,
499,Micromachined Electromechanical Devices for Integrated Wireless Communication Transceivers,http://www.isen.fr/recherche/melodict,MELODICT,200,
501,"Traffic Engineering for Quality of Service in the Internet, at Large Scale",https://www.ist-tequila.org/,TEQUILA,302,https://www.ist-tequila.org/
504,Speeding-up Biocomputing applications using a commodity-based parallel computer,http://www.biocomp.unibo.it/biowulf/,BIOWULF,301,http://www.biocomp.unibo.it/biowulf/
507,Market Managed Multi-Service Internet,http://www.m3i.org/,M3I,200,
509,Process oriented methods and tools for knowledge management,https://ie.boc-group.com/?notfound,PROMOTE,301,https://ie.boc-group.com/?notfound
511,AFFORDABLE UNCOOLED TECHNOLOGY WITH HERMETIC ENCAPSULATION FOR THERMAL IMAGING CAMERA,http://www.authentic.eu.com/,AUTHENTIC,200,
513,Practical Tools and Methods for Corporate Knowledge Management - Sharing and Capitalising Engineering Know-How in the Concurrent Enterprise,http://www.buydomains.com/lander/corma.net?domain=corma.net&utm_source=corma.net&utm_medium=click&utm_campaign=TDFS-OO-BDLander&traffic_id=TDFS-OO-BDLander&traffic_type=tdfs,CORMA,301,http://www.buydomains.com/lander/corma.net?domain=corma.net&utm_source=corma.net&utm_medium=click&utm_campaign=TDFS-OO-BDLander&traffic_id=TDFS-OO-BDLander&traffic_type=tdfs
520,Atomics Chips for Quantum Information Research,http://atomchip.org/,ACQUIRE,301,http://atomchip.org/
523,Photonic Crystal Integrated Circuits,http://noplace.com/,PCIC,301,http://noplace.com/
524,Distributed Resource Evolutionary Algorithm Machine,http://www.soc.napier.ac.uk/~benp/dream/dream.htm,DREAM,301,http://www.soc.napier.ac.uk/~benp/dream/dream.htm
526,Microsystem awareness and dissemination (and business development),http://www.europractice.com,AWARDIS,200,
529,Development of a genomic dna bank of iga nephropathy (igan) patients and family members. new trends in genetics for the early diagnosis of familial igan,http://www.igan.net,IGAN-CONSORTIUM,200,
540,"Excellence centre of advanced material research and technology at the institute of solid state physics, university of latvia",http://www.cfi.lu.lv,,200,
541,Mathematics in information society,http://www.renyi.hu,,200,
542,Center for advanced manufacturing technologies,http://www.camt.pl,,200,
544,Centre of excellence,http://www.pan.olsztyn.pl/cenexfood/,,200,
546,European integration of the romanian mathematical research activity,http://pompeiu.imar.ro/~eurrommat/Programme.php3,,200,
549,"Support for transport approximation, zilina, slovakia",http://www.utc.sk/cetra/,,301,http://www.utc.sk/cetra/
550,Centre for sustainable development and management of the black sea region,http://www.io-bas.bg/cesum-bs/,,200,
552,Network of Excellence in distributed and dependable computing systems,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,CABERNET,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
554,Multiple Intimate Media Environments,http://www.mimeproject.org/,MIME,200,
558,GaAs-based emitters for fibre-optical data and telecommunication,http://noplace.com/,GIFT,301,http://noplace.com/
559,"Evolution Scenarios for emerging Mobile Commerce services: New Policy, Market Dynamics, Methods of Work and Business Models",http://www.mobiforum.org/cgi-bin/mobi/mobi.cgi,MOBICOM,200,
562,NANOELECTRONIC DEVICES AND FAULT-TOLERANT ARCHITECTURES,http://www.imel.demokritos.gr/projects/fracture/fracture.htm,FRACTURE,200,
563,"System for the development, management and support of strategic alliances",http://www.smart-europe.org/,SMART,200,
564,Distributed Work support through component based SPAtial Computing Environments,http://www.daimi.au.dk/workspace/index.htm,WORKSPACE,200,
565,CORTEX: COoperating Real-time senTient objects: architecture and EXperimental evaluation,http://cortex.di.fc.ul.pt/,CORTEX,200,
569,REAL-time SIMulation for Design of Multi-physics Systems,http://www.ida.liu.se/labs/pelab/projects/?REALSIM,REALSIM,301,http://www.ida.liu.se/labs/pelab/projects/?REALSIM
570,Tools for Process Improvements Based on Corporate Knowledge Management,https://www.atb-bremen.de:443/projects/pick/index.html,PICK,301,https://www.atb-bremen.de:443/projects/pick/index.html
571,European Knowledge Management Forum,http://www.knowledgeboard.com,KM FORUM,200,
572,Platform for Interactive Networked Games,http://www.pingproject.org/,PING,200,
577,"Innovative High-performance Motion Simulation System For Entertainment, Research And Training Applications",http://www.cps.unizar.es/~laimuz/simusys/,SIMUSYS,200,
584,MObile Teamwork Infrastructure for Organisations Network,http://srvweb02.softeco.it/redmine/login?back_url=http%3A%2F%2Fsrvweb02.softeco.it%2Fredmine%2F,MOTION,302,http://srvweb02.softeco.it/redmine/login?back_url=http%3A%2F%2Fsrvweb02.softeco.it%2Fredmine%2F
590,Extrovert Gadgets,http://www.extrovert-gadgets.net,E-GADGETS,200,
592,New Methods of Working for Information Society Technologies Programme Promotion to Commonwealth of Independent Stated,http://www.ednes.org/wistcis/,WISTCIS,200,
594,Continuous Constraints: Updating the Technology,http://www.mat.univie.ac.at/~neum/glopt/coconut/index.html,COCONUT,200,
595,Achieving Sustainability by using Substitutive Information Society Technologies,http://ecoplan.org/assist/,ASSIST,301,http://ecoplan.org/assist/
596,the Sounding Object,http://www.soundobject.org/,SOB,200,
597,"InterLiving - Designing Interactive, Intergenerational Interfaces for Living Together",http://interliving.kth.se/,INTERLIVING,200,
598,Paper++,http://www.paperplusplus.net/,PAPER++,200,
603,An Integrated Art Analysis and Navigation Environment,http://users.ecs.soton.ac.uk/km/projs/artiste/,ARTISTE,302,http://users.ecs.soton.ac.uk/km/projs/artiste/
607,"Ecological city transport system. demonstration, evaluation and research project of hydrogen fuel cell bus transportation system of the future (ECTOS)",http://www.ectos.is/,ECTOS,200,
609,Arctic technology laboratories,http://www.arcteclab.de,ARCTECLAB,200,
610,European vlbi network via the joint institute for vlbi in europe,http://www.evlbi.org/,EVN-ACCESS,302,http://www.evlbi.org/
615,Interactive Museum Tele-presence Through Robotic Avatars,http://www.ics.forth.gr/tourbot/,TOURBOT,301,http://www.ics.forth.gr/tourbot/
621,"Dissemination of InFormal and Formal Useful Specifications and Experiences to research, technology development & demonstration communities",http://www.switzerlandhotel24.com/en/diffuse.html,DIFFUSE,301,http://www.switzerlandhotel24.com/en/diffuse.html
622,Intelligent Personalised Catalogues to innovate and boost Business to Business E-Commerce (applied within the domain of electrical equipment components),HTTP://www.b2b-ecom.org/,B2B-ECOM,200,
624,Access to Scientific Space Heritage,http://virtualcontrolroom.org/,ASH,301,http://virtualcontrolroom.org/
626,An Open Personalised Electronic Information Commerce System,http://www.opelix.org,OPELIX,200,
627,Forest fire fighting method with explosive hoses filled with an extinguishing agent (FIMEX),http://www.wagner.de,FIMEX,200,
634,Smart Antenna Technology in Universal bRoadband wireless Networks,http://www.ist-saturn.org,SATURN,200,
635,Micromechanical widely tunable VCSEL for WDM telecommunication systems,http://noplace.com/,TUNVIC,301,http://noplace.com/
636,The European Schools Treasury Browser,http://etb.eun.org,ETB,200,
639,NEgotiating through SPOken Language in E-commerce,http://www.fbk.eu/,NESPOLE!,301,http://www.fbk.eu/
640,Broadcast Restoration of Archives through Video Analysis,http://brava.ina.fr/,BRAVA,200,
