acronym,title,projectUrl
EXACT,Effects of the oxidation of aromatic compounds in the troposphere,0
PACE,Parameterization of the aerosol indirect climatic effect,0
CORE,Climate biosphere interactions,0
TERN,Volcanic activity monitoring system in tenerife canary islands implementing a geophysical radon detector array,0
GOODLIFE,Global optimisation of disc cutter tool life for tunnel boring machines,0
ROSE,Recovery of organic solvents in edible oil extraction by nanofiltration ROSE,0
INCOOP,Integrated process unit control and plantwide optimisation,0
CLEANPLAST,Environmentally complying plastic components moulding and surface treatment technologies CLEANPLAST,0
PARMENIDE,Piezoelectric array for medical imaging and non destructive control using integrated micromechanical devices,0
3DS,Digital die design system,0
DRYCOMFORT,Membrane dehumidification for energy saving and comfort efficient air handling systems in fixed and mobile applications DRYCOMFORT,0
STR,Small turbomachinery research,0
LICYMIN,Life cycle assessment of mining projects for waste minimisation and long term control of rehabilitated sites LICYMIN,0
SUPROPHAR,Clean supercritical technology as a production method for improved pharmaceutical products,0
SCANMAP,A validated simulation support system for the optimal design of steel shaped can manufacturing processes SCANMAP,0
ADTECH FOR CARDS,Advanced manufacturing technology for dual interface smart cards,0
MICROMAKING,Microscale fabrication of graded materials components MICROMAKING,0
PRONUTRA,Product engineering for nutraceuticals with superior quality,0
CYCLOP,Cyclic operation of trickle bed reactors,0
CRICE,Common rail based improved combustion for low emissions CRICE,0
D-LEVEL,Diesel low emission levels by engine modelling,0
ART-DEXA,Advanced regeneration technologies for diesel exhaust particulate aftertreatment ART DEXA,0
OPTIPOD,Optimal design and implementation of azimything pods for a safe and efficient propulsion ships OPTIPOD,0
PLANET,Platform on auto ignition numerical engine simulation tools,0
NEDENEF,New diesel engines and new diesel fuels influence of future fuel formulations on emissions and performance of new di diesel technology,0
MOBISHIP,Model based initial and basic ship design MOBISHIP,0
SAFETY FIRST,Design for safety ship fire engineering analysis toolkit,0
HYDROTUBE,Reduction of co2 impact by weight reduction achieved by bending and hydroforming of steel and aluminium tubular parts for body and chassis applications,0
IDD,Integrated design process for on board diagnosis IDD,0
HYCOPROD,Design of an advanced composite production process for the systematic manufacture of very large monocoque hybrid sandwich structures for transport sectors hycoprod,0
KNOWNOX,Development of continuous catalytic nox reduction for lean burn cars,0
I-LEVELS,Injector flows low emission levels by engine modeling I LEVELS,0
ROROPROB,Probabilistic rules based optimal design of ro ro passenger ships,0
MESA,Magnetostrictive equipment and systems for more electric aircraft MESA,0
DOLSIG,Development of lightweight stiff static sheet structures in gamma titanium aluminide DOLSIG,0
EM-HAZ,Methods and technologies for aircraft safety and protection against electromagnetic hazards,0
ASL,Aircraft service logistics ASL,0
HIRETT,High reynolds number tools and techniques for civil transport aircraft design HIRETT,0
TURBONOISECFD,Turbomachinery noise source cfd models for low noise aircraft engine designs TURBONOISECFD,0
WAFS,Welding of airframes by friction stir WAFS,0
PARTEMIS,Measurement and predictions of the emission of aerosols and gaseous precursors from gas turbine engines PARTEMIS,0
MAGNETUDE,Scanning probe research on nanoscale magnetism of advanced materials for high resolution recording,0
PLASTRONIX,Low cost all polymer integrated circuits for low end high volume identification applications PLASTRONIX,0
CARBEN,Carbon nanostructures and nanotubes for energy storage electrochemistry and field emission applications,0
PORELEASE,Tissue engineered bone formation substitution and regeneration application of porous calcium phosphate scaffold materials and growth factors,0
OPTIMISE,Optimising powder in tube tapes in mri systems as ice breaker for hts socio economic benefits,0
HYDROSTAR,High performance industrial polymers based on modified starch,0
SPARKCIBA,Novel sps processing of nanoscale ceramics for industrial and biomedical applications,0
JOTSUP,Development of advanced joining technologies for supermartensitic stainless steel line pipes JOTSUP,0
ACTRADEL,Active controlled transdermal drug delivery systems,0
ALUSI,Development of alumina forming ods ferritic superalloys as new biomaterials for surgical implant ALUSI,0
SILACOR,Nanometric silica as a new surface treatment for the corrosion protection of steels and galvanised steels,0
HYBRID,Rapid and low cost deposition of coating through a novel hybrid plasma source HYBRID,0
ADIPO-REGENERATION,Novel technologies for soft tissue reconstruction a tissue engineering solution based on biocmpatible polymers and adipocytes precursors cells ADIPO REGENERATION,0
HYPERCER,High performance ceramics by near net shape forming processes HYPERCER,0
ECOPRESS,Economical and safe design of pressure vessels applying new modern steels ECOPRESS,0
MAGJOIN,New joining techniques for light magnesium components MAGJOIN,0
NANOPTT,Conductive nanowires for applications in microwave magnetic and chemical sensing devices based on polymer track etched templates NANOPTT,0
ECOTISSUE,Ecotissue by gas phase surface modification of lignocellulosic fibers,0
DEACTIVATION,Development of accelerated tests of catalyst deactivation for predicting long term catalyst activity and selectivity DEACTIVATION,0
FULPEC,Functional life prediction of elastomeric components,0
AMORE,Advanced magnetic oxides for responsive engineering AMORE,0
VIRCAST,The virtual cast house development of a process chain model of aluminium direct chill casting of tailored products VIRCAST,0
HIPER-CRACK,High performance approach to fatigue crack analysis and life prediction,0
ISCE-MOCVD,Online monitoring and in situ control of epitaxy metal organic chemical vapor deposition isce mocvd,0
SILICROTHANE,Silicone cross linked polyurethane materials for thrombus and biodegradation resistant small diameter vascular grafts and coating of blood contacting devices,0
MULTICELLS,Improvement of european traceability in temperature measurements below 0 c using permanently sealed transportable multicell standards MULTICELLS,0
ULT DISSEMINATION,Dissemination of the european ultra low temperature scale ULT DISSEMINATION,0
EUPIGCLASS,Standardisation of pig carcass classification in the eu through improved statistical procedures and new technological developments EUPIGCLASS,0
HOLOAUTHENTIC,Holographic authenticity sensors HOLOAUTHENTIC,0
ESQUI,X ray expert system for electronic films quality improvement ESQUI,0
ISCAP,In situ characterisation of acoustical properties ISCAP,0
IBDMODELS,Inflammatory bowel disease analysis of environmental immunological and genetic influences using model systems,0
VASCAN-2000,3 dimensional analysis of vascular structure function and receptor distribution using confocal laser scanning microscopy,0
DNA REPAIR DISORDERS,Ultraviolet sensitive genetic disorders associated with defects in dna repair and transcription,0
TAGAPO,Targeting genes and pathways in chronic immunopathologies,0
MUTANT P53 IN CANCER,Mutant p53 gain of function activities as determinants for tumor prognosis and therapy,0
MONODIAB,The blood monocyte as a tool for the prediction of type 1 diabetes,0
CONNEXINS & DISEASES,Intercellular signalling through connexin channels a key to the understanding of cardiovascular research,0
PATOLLOGY,Human toll like receptor family in chronic and degenerative diseases,0
FRIEDREICH'S ATAXIA,Molecular and biochemical pathogenesis of friedreich s ataxia search for treatments,0
INDUCIBLE MELANOMA M,Development of anti melanoma therapies the animal model stage,0
HFER,Regulation of expresssion and function of hfe a novel regulatory protein of iron homeostasis production of new tools to hereditary hemochromatosis and associated chronic diseases,0
CAUSES OF TYPE 2 DIABE,Phenotypes and genes linked to insulin resistance and risk for type 2 diabetes,0
APOPTOSIS MECHANISMS,Fundamental mechanisms of apoptosis cell death regulation in normal and cancer cells,0
ACETYLON,Histone acetyl transferases and deacetylases new target for cancer therapy,0
MYO-CLUSTER,Genetic resolution of myopathies european cluster,0
SILENT,Signal transduction pathways in leukocyte transendothelial migration,0
LYSYL-TRNA IN DISEAS,A functional genomics study of lysyl trna synthesis as a target for the diagnosis and treatment of microbial infections and mitochondrial myopathies,0
GENOME->IMMUNOGEN,Genomes translated into predictions of immune recognition,0
SEX DETERMINATION,Genetic dissection of gonad formation and sex determination,0
CANCER GENES AT 11Q2,Cancer anatomy of chromosome 11q23 identification mutation expression and functional analyses of tumor susceptibility genes,0
GENE-X CONSORTIUM,A complete collection of x chromosome genes an important tool for systematic expression studies and disease gene identification,0
EUREXPRESS,Eurexpress a european consortium for large scale gene expression analysis by rna in situ hybridization,0
FINGER,Functional analysis of introns and gene regulatory sequences aimed at targeted modulation of gene expression,0
REALIS,Molecular Strategies for Adaptation the Survival Postgenomic Analysis of the Lifestyles of Listeria Monocytogenes in the Environment the the Infected Host,0
NAPPY,Network analysis of hippocampal memory processing,0
FUNCTION OF P75NTR,Novel mechanisms of cell communication in the nervous system physiology and function of the p75 neurotrophin receptor,0
LIFE/DEATH SIGNALS,Signalling for death and survival in neurons,0
EXCITATORY SYNAPSES,Excitatory synapses in the neocortex a calcium study imagining of pre and post synaptic elements with a molecular characterization by single cell rt multiplexpcr,0
NEUROGENERATOR,A database generator for the neuroimaging community neurogenerator,0
KCNQ CHANNELS,Properties and functions of neuronal kcnq m type potassium channels mutated in human disease,0
LTP EXPRESSION,Expression mechanisms of long term potentiation ltp from molecules to memory,0
NETS AND REPRESENTAT,Principles of areal interactions in primate visual cortex,0
2-PHOTON EXCITATION,Enhanced multiphoton excitation methods for neuroscience,0
D3R AND DRUG ADDICTI,Dopamine d3 receptor ligands a novel approach to the treatment of drug addiction,0
CASE,Heroin addicts and their children a prospective longitudinal cohort study of treatment outcomes,0
RATIONING,Rationing of medical services in europe an empirical study,0
ETHICATT; 27.5.99,Systematic study of general ethical principles involved in end of life decisions for patients in european intensive care units,0
LSES,Life sciences in european society,0
COELIAC-EU/CLUSTER,Evaluation of the prevalence of the coeliac disease and its genetic components in the european population,0
GLUCOCORTICOIDS ANAL,Food safety screening synthetic glucocorticoids,0
ANTHOCYANIN BIOACTIV,Functional properties bioactivities and bioavailability of phytochemicals especially anthocyanins form processed foods,0
FOOD BRAND,Bound residues and nitrofuran detection,0
FOOD-PCR,Validation and standardisation of diagnostic polymerase chain reaction for detection of food borne pathogens FOOD PCR,0
POULTRY-CHECK,Multi residue screening for coccidiostatic compounds used in poultry production,0
FEMMES,Evaluation of the safety and efficacy of iron supplementation in the pregnant women,0
SPONGE,Technology for the production of health related substances by marine sponges,0
PLASTID FACTORY,The plastid factory,0
EUROFUND,Designing and improving health and food related production processes using filamentous fungal cell factories,0
LENTIVIRAL VECTORS,Lentiviral vectors for gene therapy of the hematopoietic system development from bench to bedside,0
MONLCD,Predictive 3d micro model simulations for monitor lcds MONLCD,0
INSUMAT,Development of insulation materials with specially designed properties for builing renovation INSUMAT,0
PERMOD,Molecular midelling for the competitive molecular design of polymer materials with controlled permeability properties PERMOD,0
RETURN,Between work and welfare improving return to work strategies for long term absent employees,0
ETGACE,Education and training for governance and active citizenship in europe analysis of adult learning and design of formal non formal and informal educational intervention strategies,0
FERP,The future of europe s rural periphery the role of entrepreneurship in responding to employment problems and social marginalisation,0
EU-COMMITTEES,Governance by committee the role of committees in european policy making and in policy implementation,0
GENDERQUAL,Gender and qualification transcending gendered features of key qualifications for improving options for career choice and enhancing human resource potential,0
PENREF,Public participation and the pension policy process the citizen and pension reform,0
UHP VRLA BATTERY,Ultra high power valve regulated lead acid vrla batteries for ups applications uhp vrla battery,0
IRTMBA,Improved radiation transport modelling for borehole applications IRTMBA,0
MICROSENSOR,Construction of miniaturised free flow electrophoresis mffe incorporating dedicated sensors for real time analysis of food contaminants,0
SAFOTEST,New methods for the safety testing of transgenic food,0
FFACC,Functional food ingredients against colorectal cancer development of a genomics and proteomics based screening assay,0
OSTEODIET,Optimal nutrition towards osteoporosis prevention impact of diet and gene nutrient interactions on calcium and bone metabolipm,0
GMOCARE,New methodologies for assessing the potential of unintended effects in genetically modified food crops,0
CARAFE,A risk assessment of cryptosporidium parvum an emerging pathogen in the food and water chain in europe,0
HEPADNA,Development of assays for the detection and prediction of co and anti mutagenic constituents in food with cells of human origin,0
VITAGE,Fat soluble vitamin status and metabolism during ageing functional and nutritional consequences,0
CREAM,Cartridges with molecularly imprinted recognition elements for antibiotic residues monitoring in milk,0
SAFE ORGANIC VEGETAB,Safe organic vegetables and vegetable products by reducing risk factors and sources of fungal contaminants throughout the production chain the carrot alternaria model,0
DETOX-FUNGI,Early detection and control of toxigenic fusarium species and ochratoxigenic fungi in plant products,0
CORONAVIRUS VECTORS,Generic coronavirus vaccine vectors for protection of farm animals against mucosal infections,0
BRUCELLA VACCINE,Development of an efficacious vaccine against animal brucellosis that is harmless for humans,0
EUROAMP,European euro network for development of novel safe vaccines based on new generation amplicons amp and other defective hsv 1 derived vectors as foreign antigen delivery systems,0
VACCINES,Pathogenesis Epidemiology Immunopathology the Diagnosis of Pmws an Emerging Disease Caused By a New Porcine Circovirus Develop of Recombinant,0
SALVAC,Multi component salmonella livev vaccines optimising molecular cellular and immunological parameters to enhance vaccine safety and immunogenicity,0
CTL DELIVERY,Non replicating particles as immunogen carrier,0
HCVACC,Hepatitis c virus hcv prevention and treatment of infection and disease,0
MENB VACCINE,A new vaccine strategy against serogroup b meningococcal infection from antigen discovery to clinical trials,0
RSV VAC,Reverse genetics of respiratory syncytial virus generation of attenuated vaccine candidates,0
PORCINE CIRCOVIRUSES,Novel circovirus infections of pigs a target for vaccination porcine circoviruses,0
RATIONALLY DESIGNED,Rational design and delivery of vaccines against infectious diseases in pigs rapid identification of immunoprotective prv antigens and optimal antigen delivery systems,0
VACAT,Detoxified adenylate cyclase toxin a major improvement for the development of safe efficient and multipurpose vaccines,0
PROTEASES,Vaccination and the control of abomasal nematodoses in ruminants,0
THERAVACC,Development of therapeutic vaccines for chronic infections caused by the hepatitis c virus,0
EUROVAC,European vaccine effort against hiv aids,0
INTELLTHERMCONTROL,Enhanced intelligent processing of food and related wastes using thermophilic populations,0
POLYENG,Polysaccharide molecular engineering the use of mannuronan c 5 epimerases for the upgrading of alginates and artificial heteromannuronans,0
BIO-HUG,Novel bioprocesses for hemicellulose up grading,0
GENOVA,Glycosylation engineering for novel antobiotics,0
AMMONIA REMOVAL,Development of selective catalytic oxidation sco technology and other high temperature nh3 removal processes for gasification power plant AMMONIA REMOVAL,0
MINI-GRID-KIT,Mini grid construction kit for rural electrification with renewable energies MINI GRID KIT,0
HEEC,High efficiency energy convertor HEEC,0
PROCON,Decentralized power generation plants based on planar sofc technology proof of concept PROCON,0
0,Rapid intelligent sensing and control of forest fires,0
0,Probes for environmental research on the sediments of european seas,0
0,Formal indicators of social urban sustainability,0
0,Events to achieve the greater participation of the castings sector in framework v,0
0,Performance of three information days and brokerage activities within the ippo awareness campaign in germany,0
0,Thermal treatment of scrap tyres to produce re usable carbon black,0
0,Verfahren zur abdichtung von gestein bzw baumaterial und vorrichtung dazu z b im tunnelbau,0
0,Development of an on line ultrasonic rheological sensor for non invasive and non destructive evaluation of dough,0
0,Versalite tooling for roll bending of sections,0
0,High shear mixing to recycle vulcanized rubber by devulcanization,0
0,Palestinian european cooperation in research,0
0,Publication and dissemination of the proceedings of the eu funded indo european symposium micronutrients maternal and child health,0
0,Seminar on health research ethics in africa,0
0,From research to action in the field of reproductive health,0
0,Global aquaculture identification of key international research themes,0
0,Development of health and working conditions network in south east asia,0
FOSIE,Food safety in europe risk assessment of chemicals in food and diet,0
0,Diet and cancer the explanatory value of dietary patterns,0
0,Programme EVA European Vaccine against Aids centralised facility for Aids reagents,0
0,Cord blood as an allogeneic source of stem cell for clinical use,0
MINIMOB,Miniaturized Modules for different Biosignals by using enhanced integrated digital circuits,0
AMEF,Analysis and future trends of microsystems within the European framework,0
PCKMAN,Production cases on knowledge management tools implementation based on intelligent agents technology,0
0,Improving dialogue between eu regulatory bodies and national metrology institutes,0
MYCOREM,The use of mycorrhizal fungi in phytoremediation projects,0
C-RET DRUG DISCOVERY,The c ret receptor tyrosine kinase as a target for drug discovery,0
EX OVO OMNIA,In vitro production of high quality mammalian oocytes for biotechnology assisted reproduction breeding and toxicology teratology purposes,0
TARGETED GENE VECTOR,Targeted vectors for cancer gene therapy receptor and tran scriptional targeting of retroviral lentiviral and adenoviral vectors,0
BIONOSE FOR ANIMAL C,Electronic noses for non invasive quality safety and in process control of industrial animal cell culture processes,0
CLINIPORATOR,Cliniporator a new adaptative generator for dna electrotransfer in vivo for gene therapy,0
EUPNA,Development of high throughput pna based molecular diagnostic systems,0
BITES,Biomechanical interactions in tissue engineering and surgical repair,0
NEURAL TISS.ENG,Tissue engineered nerve repair devices development of european medical implantable devices and research training focus,0
MEGA-TOP,Metabolic engineering of glycopeptide antibiotics technology optimization and production,0
EXPORTERRS,Exploitation of a novel sec independent secretion pathway for protein production,0
BNCT,Therapeutic strategies for boron neutron capture therapy BNCT,0
ORGANOMERCURIALS,Novel remediation technology for vaccine production effluents containing organomercurials,0
GEN-AIR,Molecular changes and genetic susceptibility in relation to air pollution and environmental tobacco smoke,0
EU-PEAL,European prospective study of environment allergy and the lung preferred name European community respiratory health survey II,0
HELIOS,Biomarkers for the non invasive assessment of acute and chronic effects of air pollutants of the respiratory epithelium development and application to adults and children along a north south gradient,0
RANTIV,Development of methods for predictive toxicity testing with reference to neurotoxic volatile chemicals,0
SUSCEPTSTYRENE,Genetic polymorphisms and biomonltorlng of styrene,0
PARSIFAL,Prevention of allergy risk factors for sensitisation in children related to farming and anthroposophic life style,0
ENVIR. REPROD.HEALTH,Increasing incidence of human male reproductive health disorders in relation to environmental effects on growth and sex steroid induced alterations in programmed development,0
DIOXIN RISK ASSESSME,Comprehensive risk analysis of dioxins development of methodology to assess genetic susceptibility to developmental disturbances and cancer,0
HEPMEAP,Health effects of particles from motor engine exhaust and ambient air pollution a european collaborative project,0
PREVENTION BIOMARKER,New bio markers of oxidative stress to humans a role in developing new strategies for human protection agains environmental uva damage to skin,0
FIBRETOX,Mechanisms of toxicity of asbestos substitute mineral fibres new approaches to hazard and risk assessment,0
VIRUS DETECTOR,Improved diagnostic tools for the certification of strawberry propagation material,0
DNAGE,Role of oxidative dna damage and repair in ageing,0
CYTOKINES DESTR OA,Role of cytokines and growth factors in cartilage destruction in osteoarthritis,0
GENERALE,Genetic and behavioural risk factors for ageing related coronary and cerebrovascular disease in europe a prospective interdiciplinary european multi centre study,0
LSDE,Connectivity in language rehabilitation in stroke,0
PISDAP,Prevention of iron storage disease in the ageing population,0
FLUVAC,European comparative genetic resource,0
CYGD,Comprehensive yeast genome database,0
CADENOX,Catalytic abatement of n2o and nox from combustion power plants CADENOX,0
CLEANAIR,Dedicated electronic noses for enhanced performance of medium large size air conditioning systems CLEANAIR,0
SACS2,Saline aquifer co2 storage 2 demonstration in the sleipner field sacs2,0
CIS FA?ADE MODULE,Development of semi transparent cis modules for fa ade applications CIS FA ADE MODULE,0
INFLATCOM,Industrialisation of ultra flat concentrator module of high efficiency INFLATCOM,0
PV2GO,Production and verification of the 2nd generation of ac modules PV2GO,0
FIRMWIND,Towards high penetration and firm power from wind energy FIRMWIND,0
FAST-IQ,Fast inline characterisation tools for crystalline silicon material and cell process quality control in the pv industry FAST IQ,0
CLEVERFARM,Advanced management and surveillance of wind farms CLEVERFARM,0
SUBARO,Substrate and barrier layer optimisation for cvd grown thin film crystalline silicon solar cells SUBARO,0
TESSAS,High temperature thermal energy storage in saturated sans layers with vertical heat exchangers TESSAS,0
THE REV,A thermophotovoltaic power generator for hybrid electric vehicles the rev,0
SOLICE,Solar influences on climate and the environment,0
TRANSPLANT,Extinction risks and the re introduction of plant species in a fragmented europe,0
CUT-ICE,Chemistry of the upper troposphere laboratory studies of heterogeneous processes on ice,0
CASCADE,Securing gene conservation adaptive breeding potential and utilisation of a model multipurpose tree species castanea sativa mill in a dynamic environment,0
EUROSPICE,European project on stratospheric processes and their impact on climate and the environment,0
ADMIRA,Actinic flux determination from measurements of irradiance,0
PROMISE,Predictability and variability of monsoons and the agricultural and hydrological impacts of climate change,0
ERA-40,A forty year european re analysis of the global atmosphere,0
FORCAST,Forest carbon nitrogen trajectories,0
STACCATO,Influence of stratosphere troposphere exchange in a changing climate on atmospheric transport and oxidation capacity,0
EUROCS,European project on cloud systems in climate models,0
ECO2CLEAN,Electronics cleaned using environmentally friendly supercritical co2 cleaning technology ECO2CLEAN,0
PADS,High performance piesoelectric array devices for digital loudspeakers and steered array antennas PADS,0
ECOWIRETEC,Rtd of a new eco efficient technology to manufacture enamelled copper wire without noixous emission of solvents to the atmosphere ECOWIRETEC,0
BIOWOOL,Enzymatic modification of wool BIOWOOL,0
STERIPLAS,Study and validation of an advanced plasma sterilisation process STERIPLAS,0
BPT,Continous biopretreatment of cellulosic fibers,0
INTECT,Integrated cost effective and clean treatment of eaf dust intect,0
CUTTER,Enhanced design and production of wear resistant rock cutting tools for construction machinery CUTTER,0
RECY-CHROM,Acid chromic recycling from rinse water in galvanic plants by electro electrodialasis RECY CHROM,0
HARP,Hard photon processing HARP,0
DROPLET WELD,Droplet Weld an Environmentally Friendly Lead Free Joining Technology Using Metal Droplets,0
AMADEUS,Reduction of manual finishing by automated manufacturing of dies and moulds AMADEUS,0
ROB TANK INSPEC,In service inspection robot for structural integrity of tanks filled with hazardous liquids,0
VALIBAT,Recycling of primary and secondary lithium batteries VALIBAT,0
IRMA,A configurable virtual reality system for multi purpose industrial manufacturing application IRMA,0
RESOURCE,Research to separate out upgrade and recycle contaminants within calcium carbonate used in flue gas decontamination RESOURCE,0
LOTUS,Low temperature active urea based selective catalytic reduction of nox LOTUS,0
ACES,Optimal acoustic equivalent source descriptors for automotive noise modelling,0
