,title,projectUrl,acronym
319,Comparative analysis of manufacturing technologies in goldsmithing and silversmithing from the vii to the i centuty b.c in the mediterranean area,http://www.ejtn.org,
328,European network on safety assessment of genetically modified food crops,http://www.entransfood.com,ENTRANSFOOD
333,Evaluating the Performance of an Object oriented Modelling bAsed on interneT,http://www.epomat.com,EPOMAT
334,3D Measurement and Virtual Reconstruction of Ancient Lost Worlds of Europe,http://dea.brunel.ac.uk/project/murale/,3D-MURALE
335,Web Technologies Supporting Direct Participation in Democratic Processes,http://www.webocrat.org,WEBOCRACY
338,High pressure: a competitive method for the advancement of multi-disciplinary research and industrial applications,http://www.unipress.waw.pl,
339,Physics and fabrication of low dimensional structures for technologies of future generations,http://info.ifpan.edu.pl/celdis/,
340,Centre of exellence for deltas and wetlands,http://www.indd.tim.ro/Excelenta/Centru.htm,
341,Kfki-condensed matter research centre,http://www.kfki.hu/~cmrc,
346,Engineering of the cellular quality control systems in bacillus subtilis for the production of high value-added proteins,http://www.ncl.ac.uk/ebsg,BACELL FACTORY
387,Policies for ecological tax reform: analysis of social responses,http://www.soc.surrey.ac.uk/petras/,PETRAS
388,Developing effective and efficient product information schemes. assessing and expanding product information schemes between voluntary and mandatory approaches.,http://w3.uniroma1.it/deep/intro.htm,DEEP
389,An european flood forecasting system,http://effs.wldelft.nl,EFFS
391,Strategic integrated assessment of dynamic carbon emission reduction policies,http://www.pik-potsdam.de/dept/soc/siadcero/welcome.html,SIADCERO
398,Development of a european multi-model ensemble system for seasonal to interannual prediction,http://www.ecmwf.int/research/demeter,DEMETER
403,Environmental controls on mound formation along the european margin,http://www.geomar.de/projekte/ecomound/ecomoundstart/,ECOMOUND
404,The mound factory - internal controls,http://geomound.ucd.ie/,GEOMOUND
405,New means to promote pedestrian traffic in cities,http://www.vtt.fi/yki/yki4/prompt.htm,PROMPT
406,Promoting action for sustainability through indicators at the local level in europe,http://www.lse.ac.uk/Depts/geography/Pastille,PASTILLE
407,"Transport planning, land use and sustainability",http://www.isis-it.com/transplus.htm,TRANSPLUS
408,Indicators system to assess new urban services. improving decision making through evaluation.,http://www.project-ianus.org/,IANUS
416,Sensor array for fast explosion proof gas monitoring (SAFEGAS),http://www.nmrc.ie/projects/safegas/,SAFEGAS
422,Dry stamping and dry machining of difficult to-cut materials by means of superhard nanocomposite coatings (NACODRY),http://www.nacodry.com,NACODRY
483,Synbiotics and cancer prevention in humans,http://www.syncan.be,SYNCAN
484,Virus safe seafood,http://www.ifremer.fr/vsseafood/,V-S SEAFOOD
485,"The role of social, genetic and environmental factors in healthy eating: a multicentre analysis of eating disorders and obesity",http://www.eatingresearch.com,FACTORS IN HEALTHY E
570,Socio-economic evaluation of public rtd policies,http://epub.jrc.es/,EPUB
598,"Development of a standard method (protocol) for the measurement of organic contaminants ""tars"" in biomass producer gases",http://www.tarweb.net,TAR PROTOCOL
608,New policy rationales for the support of public research in the eu,http://www.researchineurope.org/,NPRNET
609,Foresight for regional development network,http://foren.jrc.es/,FOREN
618,Propagation of european pines via somatic embryogenesis,http://www.vbsg.slu.se/sep/,SEP
628,Key nutrient transport mechanisms important for the prediction of nutrient and p¿hytoplankton concentrations in european standing waters,http://www.tcd.ie/Zoology/Project.BUFFER/homepage.html,BUFFER
629,Passive in-situ remediation of acidic mine / industrial drainage,http://www.piramid.org/,PIRAMID
630,Data assimilation within a unifying modeling framework for improved river basin water resources management,http://www.dow.wau.nl/whh/daufin/,DAUFIN
631,Molecular tools for assessing the bioremediation potential in organohalogen-contaminated sites,http://mik.gbf.de/maroc/index.html,MAROC
632,Prediction Of Software Error Rates Based On Test And Software Maturity Results,http://www.ist-pets.com,PETS
665,Improved Frontal Impact Protection through a World Frontal Impact Dummy,http://www.wt.tno.nl/FID,FID
680,Evaluation of networking and innovation diffusion as mechanisms for sustainable production,http://www.ctc-cork.ie/INNET,INNET
681,"Systematic, palaeoflood and historical data for the improvement of flood risk estimation",http://www.ccma.csic.es/dpts/suelos/hidro/sphere/index.html,SPHERE
682,Natural biofilms as high-tech conditioners for drinking water,http://www.bio.uva.nl/onderzoek/aot/eu/biofilms/,BIOFILMS
684,Modelling ecological quality of urban rivers: ecotoxicological factors limiting restoration of fish populations.,http://www.biosciences.bham.ac.uk/labs/taylor/CITYFISH.htm,CITYFISH
686,Composition of dissolved organic matter and its interaction with metals and ultraviolet radiation in river-ocean systems: impact on the microbial food web.,http://www.nioz.nl/projects/COMET,COMET
687,Long-term performance of permeable reactive barriers used for the remediation of contaminated groundwater,http://www.perebar.bam.de/,PEREBAR
693,Significance of external / anthropogenic nitrogen for central baltic sea n-cycling,http://www.io-warnemuende.de/projects/signal/index.html,SIGNAL
694,Sustainable urban tourism: involving local agents and partnerships for new forms of governance,http://sut.itas.fzk.de/,SUT-GOVERNANCE
695,Sustainable urban transportation,http://www.ess.co.at/SUTRA/,SUTRA
697,Development of high-performance fabrics based on industrial cold plasma technology,http://www.tut.fi/units/ms/teva/plasmafab,PLASMAFAB
731,Internet-site for european strong-motion data,http://www.isesd.cv.ic.ac.uk,ISESD
732,"Urban development programme, urban governance, social inclusion and urban sustainability",http://www.ufsia.ac.be/ugis,UGIS
733,Inspektoren - sustainable refurbishment europe,http://www.sureuro.com/,SUREURO
734,Communicating urban growth and green: assessment of planning concepts and policy instruments for sustainable development of the urban landscape,http://www.greenscom.com,GREENSCOM
736,Dynamics of plant dispersal-related traits in fragmented european habitats: consequences for species survival and landscape management,http://www.plant.wageningen-ur.nl/projects/plantdispersal/,PLANT DISPERSAL
741,Stochastic analysis of well head protection and risk assessment,http://www.diiar.polimi.it/franz/EU-W-SAHaRA/,W-SAHARA
742,Integrated concept for groundwater remediation,http://www.umweltwirtschaft-uw.de/incore/,INCORE
764,Optical-infared co-ordination network for astronomy,http://www.astro.opticon.org,OPTICON
768,Reserach infrastructure cooperation network hydralab-ii,http://www.wldelft.nl/hydralab,HYDRALAB-II
769,European network for arctic-alpine multidiciplanary environmental research,http://www.npolar.no/envinet,ENVINET
770,European natural history specimen information network,http://www.nhm.ac.uk/science/rco/enhsin/,ENHSIN
773,Study and conference on improving public access to science through science shops.,http://www.bio.uu.nl/living-knowledge/,SCIPAS
774,Scenarios for the evolution of the european science and technology policy,http://www.obs-ost.fr/ost_en/europolis_project.htm,EUROPOLIS
828,Torrent hazard control in the european alps. practical tools and methodologies for hazard assessment and risk mitigation,http://www.geol.unipd.it/convegni/EUtharmit.htm,THARMIT
829,Integrated water resource management for important deep european lakes and their catchment areas,http://pcs0.hydromod.de/Eurolakes/index.html,EUROLAKES
831,Development of technologies using the activity of sulphate- and metal l-reducing bacteria (smrb) to remove heavy metals and metalloids from ground waters and soils,http://metalbioreduction.brgm.fr/default.htm,METALBIOREDUCTION
832,Greenhouse gas emission control strategies,http://www.upmf-grenoble.fr/iepe/GECS/,GECS
836,Oceanographic applications to eutrophication in regions of restricted exchange,http://www.napier.ac.uk/,OAERRE
837,Construction and city related sustainability indicators (CRISP),http://crisp.cstb.fr/,CRISP
838,European thematic network on practical recommendations for sustainaible construction (PRESCO),http://www.jbase208.eunet.be,PRESCO
848,"Sensors for monitoring water pollution from contaminated land, landfills and sediments",http://www.cranfield.ac.uk/biotech/senspol.htm,SENSPOL
859,Deep geodynamic laboratory - gulf of corinth (DGLAB-CORINTH),http://corinth.DT.INSU.CNRS.fr,DGLAB-CORINTH
861,Developing existing earthquake data infrastructures towards a mediterranean-european rapid earthquake data information and archiving network (MEREDIAN),http://orfeus.knmi.nl/meredian,MEREDIAN
894,Environmental management of hazardous mining wastes and effluents,http://www.labmet.ntua.gr/enviman,ENVIMAN
912,Deepwater flowline and riser insulation systems (DEFRIS),http://www.merl-ltd.co.uk\defris,DEFRIS
913,Analysis of time lapse seismic data for improved management of hydrocarbon reservoirs (ATLASS),http://iptibm3.ipt.ntnu.no/atlass/,ATLASS
919,Cost management system for greening electrical and electronic equipment (GREEEN),http://www.grEEEn.it,GREEEN
921,"Faulf, fractures and fluids : gulf of corinth (3F-CORINTH)",http://www.corinth-rift-lab.org,3F-CORINTH
926,Prostate disorders : procurement of biomarkers and pharmaceuticals,http://www-igbmc.u-strasbg.fr/Projets/ProCureBioPharm/,PROCURE BIOPHARM
962,Hydrographic monitoring - neva bight,http://www.brockmann-consult.de/hymne,HYMNE
979,"The policy implications of contamination of rural water between source and point-of-use in kenya, south africa and zimbabwe.",http://www.fen.bris.ac.uk/engmgt/swg/research/aquapol/index.html,AQUAPOL
982,Implementation and networking of large-scale long-term marine biodiversity research in europe (BIOMARE),http://www.biomareweb.org/,BIOMARE
1009,European network on scientific input to public policy,http://www.ucc.ie/ensipp/,ENSIPP
1010,A bridge for scholarship between east and west (local talent - regional tradition - european quality - global connection),http://www.colbud.hu/main/index.html,
1011,"Regional centre of excellence in new functional materials, their design, diagnostics and exploitation",http://www.fi.tartu.ee/ce/introduction.htm,
1012,Building of an information interfaces for rtd co-operation between the european union and russia,http://www.fp5.csrs.ru,
1029,METADATA ENGINE,http://meta-e.uibk.ac.at/,META-E
1030,European Development on Indexing Techniques for Databases with Multidimensional Hierarchies,http://edith.in.tum.de,EDITH
1031,Information Society for All,HTTP://is4all.ics.forth.gr/,IS4ALL
1032,MODELS FOR EUROPEAN DIGITAL ISLANDS,http://www.islandsonline.org/teleinsulaproject/medis/index1000.html,MEDIS
1033,An innovative cyber voting system for Internet terminals and mobile phones,http://www.eucybervote.org,CYBERVOTE
1034,EUROpean CITIes platform for on-line transaction services,http://www.euro-citi.org,EURO-CITI
1035,IMproving PUblic Services,http://www.impulse-project.com,IMPULSE
1036,Delphi Mediation On-line System,http://www.demos.nexus.org/,DEMOS
1037,"European Senior Watch Observatory and Inventory - A market study about the specific IST needs of older and disabled people to guide industry, RTD and policy",http://www.seniorwatch.de,SENIORWATCH
1038,Microcalorimeter Type EDX System Assessment,http://www.sea.rl.ac.uk/NewSEA/newpubs/Mesa/Mesa_synopsis.pdf,MESA
1039,IN LINE SIMS,http://www.sea.rl.ac.uk/NewSEA/newpubs/Ilsims/Ilsims_synopsis.pdf,ILSIMS
1040,Atomic layer chemical vapour deposition for copper dual damascene interconnects,http://www.sea.rl.ac.uk/NewSEA/newpubs/Atol/Atol_synopsis.pdf,ATOL
1043,Central and Eastern European Licensing Information Platform,http://www.eblida.org/cecup/,CELIP
1044,Innovative IST Platforms and Services to Support a Democratic Regional/Urban Planning Process,http://www.agora2000.org,AGORA 2000
1045,Providing Innovative Service Models and Assessment,http://www.prisma-eu.net,PRISMA
1047,"Methodology, Tools, Users's Needs and Practical Applications: Improving the Quality of Existing and Future Classification Systems",http://www.statistics.gov.uk/methods_quality/clamour.asp,CLAMOUR
1048,The Development and Evaluation of New Methods for Editing and Imputation,http://www.cs.york.ac.uk/euredit,EUREDIT
1049,A Software Suite and Extended Mark-up Language (XML) Standard for Intelligent Questionnaires,http://www.epros.ed.ac.uk/iqml,IQML
1050,Spatial Mining for Data of Public Interest,http://www.ccg.leeds.ac.uk/SPIN!/,SPIN!
1051,Multi-agent Integration of Shared Statistical Information over the (inter)Net,http://www.epros.ed.ac.uk/mission,MISSION
1052,XML-based Mediator for Knowledge Extraction and Brokering,http://www.ipsi.fraunhofer.de/oasys/projects/xmlkm/index_e.html,XML-KM
1053,Extended Statistical Information System,http://atkosoft.com/x-statis,X-STATIS
1054,Manufacturing Cluster 4,http://www.csem.ch,MC 4
1055,Creating Learning Organisations with Contextualised Knowledge-Rich Work Artifacts,http://kmi.open.ac.uk/projects/clockwork/,CLOCKWORK
1072,"Mechanical integrity and architecture of bone relative to osteoporosis, ageing and drug treatment",http://www.biomechanics.ie/Miab/,MIAB
1075,Fiber variability of european spruce and wood assortments for improved tmp production,http://www.stfi.se/research/eurofiber.htm,EUROFIBER
1082,Reduction of air emissions at kraft pulp mills,http://www.kcl.fi,REMPULP
1084,Construction and application of a multifunctional and saturaded genetic map for coniferous species,http://www.neiker.net/UHDfor,UHD-MAP-OF FOREST SP
1088,Old age and autonomy: the role of service systems and intergenerational solidarity,http://oasis.haifa.ac.il,OASIS
1092,Sensor encapsulation by silicon bonding (SESIBON),http://www.sensonor.com/sesibon/index.html,SESIBON
1095,Development of advanced tools for the production of artworks using marble powder (INDUSTRIAL WASTES),http://www.ecomarble.com,INDUSTRIAL WASTES
1102,Development of relaxor based improved piezoelectric single crystals (DORIS),http://www.vermon.fr/doris,DORIS
1103,Process integrated thermal-chemical treatment of halogens containing materials as source of halogens free fuels for steel production and residues for noble metal recovery,http://www.haloclean.com/,HALOCLEANCONVERSION
1105,Multipurpose and cross-sectorial modernisation of manufacturing processes through parallel kinematics (MACH 21),http://mach21.fatronik.com/,MACH 21
1113,Floodplain biodiversity and restauration 2: integrated natural science and socio-economic approaches to catchment flow management,http://www.geog.cam.ac.uk/research/projects/flobar2/,FLOBAR2
1122,Water use efficiency in natural vegetation and agricultural areas by remote sensing in the mediterranean basin.,http://www.uv.es/ucg/watermed,WATERMED
1141,Large scale integrated supply chain optimisation software based upon branch&cut and constaint programming methods (LISCOS),http://www.liscos.fc.ul.pt,LISCOS
1142,Intelligent column internals for reactive separations,http://www.cpi.umist.ac.uk/INTINT,INTINT
1154,Debrisfall assessment in mountain catchment for local end-users,http://damocles.irpi.cnr.it,DAMOCLES
1203,Biodiversity assessment tools,http://www.nbu.ac.uk/bioassess/,BIODIVERSITY ASSESSM
1205,A decision support system to quantify cost/benefit relationships of the use of vegetation in the management of heavy metal polluted soils and dredged sediments,http://www.phytodec.nl/,PHYTODEC
1212,"Monitoring urban subsidence, cavities and landslides by remote sensing",http://dude.uibk.ac.at/projects/MUSCL,MUSCL
1214,Integrated assessment tools to gauge local functional status within freshwater ecosystems,http://www.target-eu.org,TARGET
1215,Natural baseline quality in european aquifers: a basis for aquifer management,http://www.bgs.ac.uk/hydrogeology/baseline/europe/home.html,BASELINE
1217,On-site remediation of ground water contaminated by polar organic compounds using novel adsorption technology,http://www.orgonate.com/,ORGONATE
1218,Integrated nitrogen model for european catchments,http://www.rdg.ac.uk/~sgs98ajw/inca_publish/,INCA
1219,Bridging effect assessment of mixtures to ecosystem situations and regulation,http://www.aquatox.uni-bremen.de/beam/,BEAM
1220,Towards an improved risk assessment of the contaminant spreading in factured underground reservoirs,http://www.iceht.forth.gr/projects/trace_fracture/index.html,TRACE-FRACTURE
1221,Freshwater integrated resource management with agents,http://www.cpm.mmu.ac.uk/firma/,FIRMA
1222,Predicting recovery in acidified freshwaters by the year 2010 and beyond.,http://www.mluri.sari.ac.uk/recover/recover2010.htm,RECOVER:2010
1223,Development and testing of an integrated assessment system for the ecological quality of streams and rivers throughout europe using benthic macroinvertebrates,http://www.aqem.de/,AQEM
1224,Groundwater risk assessment at contaminated sites,http://www.uni-tuebingen.de/gracos/,GRACOS
1225,Program for the prevention of diffuse water pollution with phosphorus from degraded and re-wetted peat soils,http://www.agr.uni-rostock.de/bodenk/Seiten/prowater.html,PROWATER
1226,European water regimes and the notion of a sustainable status,http://www.euwareness.nl/,EUWARENESS
1227,Landscape-use optimisation with regards of the groundwater resources protection in the mountain hardrock areas,http://lowrgrep.site-eerie.ema.fr/,LOWRGREP
1228,"Guidelines for the organisation, use and validation of information systems for evaluating aquifer resources and needs",http://neptune.c3ed.uvsq.fr/gouverne/,GOUVERNE
1229,Role of microbial mats in bioremediation of hydrocarbon polluted coastal zones,http://www.univ-pau.fr/RECHERCHE/MATBIOPOL/,MATBIOPOL
1276,Well productivity 2002 (WP-2002),http://www.rf.no/wp2002,WP-2002
1280,Institutional interaction - how to prevent conflicts and enhance synergies between international and eu environmental institutions (INTERACTION),http://www.ecologic.de/english/interaction/inhalt.html,INTERACTION
1283,The involvement of stakeholders to develop and implement tools for sustainable households in the city of tomorrow (TOOLSUST),http://www.toolsust.org,TOOLSUST
1284,"Project ""famto"": ultra-fast atomic movie tools 100 femtosecond time-resolved diffraction installations for the study of ultrafast transient structural changes",http://wwwy.ensta.fr/FAMTO,FAMTO
1293,Noise in completions amelioration for permenent seismic sensors (NICAPSS),http://www.microseismics.com,NICAPSS
1294,"Collaboratory for Annotation, Indexing and Retrieval of Digitised Historical Archive Material",http://www.collate.de,COLLATE
1295,Incorporation of COmponent BAsed software in Laboratory Information Systems,http://www.cortex.be/sgs/ctxweb.nsf/pages/framework_istp.html,COBALIS
1296,AgentLink II: Continuation of a Network of Excellence for Agent-Based Computing,http://www.iam.ecs.soton.ac.uk/projects/agentlink2/,AGENTLINK II
1297,Remote Composition and Documentation of Software Products,http://www.fidia.it/english/research_fr.htm,REINDEER
1298,Interworking of Nomadic Multi-domain Services,http://www.mobile-ip.de/~crist/Data/,INTERNODE
1299,Quality Controlled Component-based Software development,http://www.qccs.org,QCCS
1300,Quality of Service and Pricing Differentiation for IP Services,http://www.ist-tequila.org/workshop2002/cassaigne.pdf,QOSIPS
1301,ComputEr Vision ENables Non-constrained Transmission of Scenarios,http://www.eptron.es/projects/events/,EVENTS
1302,Virtual Reality Surgery Training System,http://hiperttn.upv.es/vrsur,VRSUR
1303,Applied Test Suites Network,http://www.ACATS-FORUM.org,ATS-NETWORK
1304,METAVISION,http://www.ist-metavision.com,METAVISION
1305,Test Execution and Test Management for Numerical Control Software,http://www.isg-stuttgart.de/team,TEAM
1306,Secure Banking Application Assembly using a component based approach,http://www.atc.gr/banksec,BANKSEC
1308,Automated 3D texture content management in large-scale data sets,http://www.connect.slb.com/Docs/ofs/ofs_research_public/ofsr_public_images/locations/ssr/stavanger/T,TRITEX
1309,A proxy Infrastructure for Internet interactive TV,http://www.istproject.com/proxitv/,PROXITV
1310,Software Process Improvement and Capability determination for object-oriented / COmponent-based software dEvelopment,http://www.oospice.com,OOSPICE
1312,SOftware DEvelopment improvement for TELecommunication applications using component-based & quality assurance methodologies,http://www.integrasys-sa.com/Sodetel.html,SODETEL
1313,PErvasive COmponent Systems,http://www.pecos-project.org,PECOS
1314,Application Of component based enGinEERing TecHniques for embedded systems,http://www.fzi.de/esm/projects/Together/Together_uk.html,TOGETHER
1315,Electronic Communication in the Building and Construction Industry: Preparing for the New Internet,http://www.econstruct.org,E-CONSTRUCT
1316,International Standards for Language Engineering,http://www.mpi.nl/ISLE/,ISLE
1317,Wireless IP Network as a Generic Platform for Location Aware Service Support,http://domobili.cselt.it/WineGlass,WINE GLASS
1318,Architecture and authoring tools for prototype for Living Images and new Video Experiments,http://www.tele.ucl.ac.be/PROJECTS/art.live/,ART.LIVE
1323,IPv6 Wireless Internet Initiative,http://www.6winit.org/,6WINIT
1324,A Testbed of terabit IP Routers rUnning MPLS over DWDM,http://www.alcatel.be/atrium/,ATRIUM
1325,"Int IFIP Conf on Feature Modelling in Advanced Design-for-the-lifecycle Systems (E, Valenciennes, 12-14 June 2001)",http://www.univ-valenciennes.fr/sp/FEATS2001/,FEATS 2001
1328,Providing Reports of Usability Evaluation,http://www.usability.serco.com/prue,PRUE
1330,Dynamic on-linE IntErnet Purchasing System based on Intelligent Agents,http://www.deepsia.com,DEEPSIA
1331,Smart organisation for small services,http://www.icie.it,SOSS
1332,Electronic commerce in the cannery industry,http://www.anfaco.es/ecanned,E-CANNED
1333,Fashion Shopping with Individualized Avatars,http://www.fashion-me.com,FASHIONME
1334,Digital On-Line Pilot Project to Help Intermodal Networking & Short-Sea-Shipping,http://www.7dolphins.org,DOLPHINS
1335,Virtual Sales Assistant for the complete Customer Service Process in Digital Markets,http://www.advice.iao.fhg.de,ADVICE
1336,Productivity Engineering for innovative Production Technologies by Knowledge-Based Service Networks,http://www.preserve.iao.fhg.de,PRESERVE
1342,Automated Generation and Execution of test suites for DIstributed component based Software,http://www.agedis.de,AGEDIS
1343,Preservation Technology for European Broadcast Archives,http://presto.joanneum.ac.at/index.asp,PRESTO
1347,Social sciences infrastructure network in a growing european research community,http://www.ssn.msh-paris.fr,SOCIALSCIENCESNET
1348,"Neuroscience serving regional integration, higher education and welfare of the society",http://www.koki.hu/cntrofexc.html,
1349,Excellence in molecular biotechnology - getting european dimension,http://www.ibb.waw.pl/Centr-Dosk/C-D-mol.html,
1350,Centre of excellence for advanced materials and structures : modelling and durability analysis for engineering design,http://www.ippt.gov.pl/amas/,
1351,Institute of mathematics - the stefan banach international mathematical center as a center of excellence,http://www.impan.gov.pl/Excellence/,
1352,Use of nmr spectroscopy in combination with computational methods on systems of biological interest,http://www.ki.si/opisi.html,
1355,European macromolecular crystallography infrastructure network,http://www.dl.ac.uk/max-inf/,MAX-INF
1356,Innovative OpeNMP Tools for Non-Experts,http://www.cepba.upc.es/intone/,INTONE
1357,Bioaccumulation of persistent organic pollutants in small cetaceans in european waters : transport pathways and impact on reproduction (BIOCET),http://www.abdn.ac.uk/biocet/,BIOCET
1358,Towards an operational prediction system for the north atlantic and european coastal zones,http://topaz.nersc.no/,TOPAZ
1363,Management Testing and Reconfiguration of IP based networks using Mobile Software Agents,http://www.ee.surrey.ac.uk/CCSR/IST/Mantrip/,MANTRIP
1364,Distributed Virtual Prototyping,http://www.sener.es,DIVIPRO
1365,Dependable Systems Of Systems,http://www.newcastle.research.ec.org/dsos/,DSOS
1370,EuropeAn COTS User Working Group,http://www.esi.es/ecua/,WG-ECUA
1372,An applied integrated environmental impact assessment framework for the european union (GREENSENSE),http://staff.bath.ac.uk/hssam/greensense/,GREENSENSE
1373,Crop reflectance operational models for agriculture (CROMA),http://www.astrium-space.com/croma,CROMA
1374,Assessment of technologies for the removal of pharmaceuticals and personal care products in sewage and drinking water facilities to improve the indirect potable water reuse (POSEIDON),http://www.eu-poseidon.com,POSEIDON
1375,"Sustainable water uncertainty, risk and vulnerability in europe (SWURVE)",http://www.ncl.ac.uk/swurve/,SWURVE
1376,Tracking the origin of faecal pollution in surface water (TOFPSW),http://www.ub.es/microbiologia/TOFPSW.html,TOFPSW
