title,projectUrl,acronym,return_code,redirect_url
Dynamics of plant dispersal-related traits in fragmented european habitats: consequences for species survival and landscape management,http://www.plant.wageningen-ur.nl/projects/plantdispersal/,PLANT DISPERSAL,timed out,
Stochastic analysis of well head protection and risk assessment,http://www.diiar.polimi.it/franz/EU-W-SAHaRA/,W-SAHARA,404,
Integrated concept for groundwater remediation,http://www.umweltwirtschaft-uw.de/incore/,INCORE,200,
Optical-infared co-ordination network for astronomy,http://www.astro.opticon.org,OPTICON,200,
Reserach infrastructure cooperation network hydralab-ii,http://www.wldelft.nl/hydralab,HYDRALAB-II,302,https://www.deltares.nl/nl/
European network for arctic-alpine multidiciplanary environmental research,http://www.npolar.no/envinet,ENVINET,404,
European natural history specimen information network,http://www.nhm.ac.uk/science/rco/enhsin/,ENHSIN,302,http://www.nhm.ac.uk/
Study and conference on improving public access to science through science shops.,http://www.bio.uu.nl/living-knowledge/,SCIPAS,302,http://www.livingknowledge.org/
Scenarios for the evolution of the european science and technology policy,http://www.obs-ost.fr/ost_en/europolis_project.htm,EUROPOLIS,404,
Torrent hazard control in the european alps. practical tools and methodologies for hazard assessment and risk mitigation,http://www.geol.unipd.it/convegni/EUtharmit.htm,THARMIT,[Errno 113] No route to host,
Integrated water resource management for important deep european lakes and their catchment areas,http://pcs0.hydromod.de/Eurolakes/index.html,EUROLAKES,[Errno -2] Name or service not known,
Development of technologies using the activity of sulphate- and metal l-reducing bacteria (smrb) to remove heavy metals and metalloids from ground waters and soils,http://metalbioreduction.brgm.fr/default.htm,METALBIOREDUCTION,timed out,
Greenhouse gas emission control strategies,http://www.upmf-grenoble.fr/iepe/GECS/,GECS,404,
Oceanographic applications to eutrophication in regions of restricted exchange,http://www.napier.ac.uk/,OAERRE,200,
Construction and city related sustainability indicators (CRISP),http://crisp.cstb.fr/,CRISP,[Errno -2] Name or service not known,
European thematic network on practical recommendations for sustainaible construction (PRESCO),http://www.jbase208.eunet.be,PRESCO,[Errno -2] Name or service not known,
"Sensors for monitoring water pollution from contaminated land, landfills and sediments",http://www.cranfield.ac.uk/biotech/senspol.htm,SENSPOL,404,
Deep geodynamic laboratory - gulf of corinth (DGLAB-CORINTH),http://corinth.DT.INSU.CNRS.fr,DGLAB-CORINTH,timed out,
Developing existing earthquake data infrastructures towards a mediterranean-european rapid earthquake data information and archiving network (MEREDIAN),http://orfeus.knmi.nl/meredian,MEREDIAN,404,
Environmental management of hazardous mining wastes and effluents,http://www.labmet.ntua.gr/enviman,ENVIMAN,500,
Deepwater flowline and riser insulation systems (DEFRIS),http://www.merl-ltd.co.uk\defris,DEFRIS,[Errno -2] Name or service not known,
Analysis of time lapse seismic data for improved management of hydrocarbon reservoirs (ATLASS),http://iptibm3.ipt.ntnu.no/atlass/,ATLASS,[Errno -2] Name or service not known,
Cost management system for greening electrical and electronic equipment (GREEEN),http://www.grEEEn.it,GREEEN,200,
"Faulf, fractures and fluids : gulf of corinth (3F-CORINTH)",http://www.corinth-rift-lab.org,3F-CORINTH,403,
Prostate disorders : procurement of biomarkers and pharmaceuticals,http://www-igbmc.u-strasbg.fr/Projets/ProCureBioPharm/,PROCURE BIOPHARM,404,
Hydrographic monitoring - neva bight,http://www.brockmann-consult.de/hymne,HYMNE,404,
"The policy implications of contamination of rural water between source and point-of-use in kenya, south africa and zimbabwe.",http://www.fen.bris.ac.uk/engmgt/swg/research/aquapol/index.html,AQUAPOL,[Errno 111] Connection refused,
Implementation and networking of large-scale long-term marine biodiversity research in europe (BIOMARE),http://www.biomareweb.org/,BIOMARE,200,
European network on scientific input to public policy,http://www.ucc.ie/ensipp/,ENSIPP,403,
A bridge for scholarship between east and west (local talent - regional tradition - european quality - global connection),http://www.colbud.hu/main/index.html,,404,
"Regional centre of excellence in new functional materials, their design, diagnostics and exploitation",http://www.fi.tartu.ee/ce/introduction.htm,,200,
Building of an information interfaces for rtd co-operation between the european union and russia,http://www.fp5.csrs.ru,,[Errno -2] Name or service not known,
METADATA ENGINE,http://meta-e.uibk.ac.at/,META-E,[Errno -2] Name or service not known,
European Development on Indexing Techniques for Databases with Multidimensional Hierarchies,http://edith.in.tum.de,EDITH,200,
Information Society for All,HTTP://is4all.ics.forth.gr/,IS4ALL,200,
MODELS FOR EUROPEAN DIGITAL ISLANDS,http://www.islandsonline.org/teleinsulaproject/medis/index1000.html,MEDIS,403,
An innovative cyber voting system for Internet terminals and mobile phones,http://www.eucybervote.org,CYBERVOTE,200,
EUROpean CITIes platform for on-line transaction services,http://www.euro-citi.org,EURO-CITI,200,
IMproving PUblic Services,http://www.impulse-project.com,IMPULSE,200,
Delphi Mediation On-line System,http://www.demos.nexus.org/,DEMOS,302,http://www.wornex.com/content/view/16/83/
"European Senior Watch Observatory and Inventory - A market study about the specific IST needs of older and disabled people to guide industry, RTD and policy",http://www.seniorwatch.de,SENIORWATCH,302,http://www.empirica.biz/home.html
Microcalorimeter Type EDX System Assessment,http://www.sea.rl.ac.uk/NewSEA/newpubs/Mesa/Mesa_synopsis.pdf,MESA,timed out,
IN LINE SIMS,http://www.sea.rl.ac.uk/NewSEA/newpubs/Ilsims/Ilsims_synopsis.pdf,ILSIMS,timed out,
Atomic layer chemical vapour deposition for copper dual damascene interconnects,http://www.sea.rl.ac.uk/NewSEA/newpubs/Atol/Atol_synopsis.pdf,ATOL,timed out,
Central and Eastern European Licensing Information Platform,http://www.eblida.org/cecup/,CELIP,404,
Innovative IST Platforms and Services to Support a Democratic Regional/Urban Planning Process,http://www.agora2000.org,AGORA 2000,200,
Providing Innovative Service Models and Assessment,http://www.prisma-eu.net,PRISMA,403,
"Methodology, Tools, Users's Needs and Practical Applications: Improving the Quality of Existing and Future Classification Systems",http://www.statistics.gov.uk/methods_quality/clamour.asp,CLAMOUR,404,
The Development and Evaluation of New Methods for Editing and Imputation,http://www.cs.york.ac.uk/euredit,EUREDIT,301,https://www.cs.york.ac.uk/euredit/
A Software Suite and Extended Mark-up Language (XML) Standard for Intelligent Questionnaires,http://www.epros.ed.ac.uk/iqml,IQML,[Errno -2] Name or service not known,
Spatial Mining for Data of Public Interest,http://www.ccg.leeds.ac.uk/SPIN!/,SPIN!,404,
Multi-agent Integration of Shared Statistical Information over the (inter)Net,http://www.epros.ed.ac.uk/mission,MISSION,[Errno -2] Name or service not known,
XML-based Mediator for Knowledge Extraction and Brokering,http://www.ipsi.fraunhofer.de/oasys/projects/xmlkm/index_e.html,XML-KM,[Errno -2] Name or service not known,
Extended Statistical Information System,http://atkosoft.com/x-statis,X-STATIS,200,
Manufacturing Cluster 4,http://www.csem.ch,MC 4,302,http://www.csem.ch/site/
Creating Learning Organisations with Contextualised Knowledge-Rich Work Artifacts,http://kmi.open.ac.uk/projects/clockwork/,CLOCKWORK,404,
"Mechanical integrity and architecture of bone relative to osteoporosis, ageing and drug treatment",http://www.biomechanics.ie/Miab/,MIAB,404,
Fiber variability of european spruce and wood assortments for improved tmp production,http://www.stfi.se/research/eurofiber.htm,EUROFIBER,404,
Reduction of air emissions at kraft pulp mills,http://www.kcl.fi,REMPULP,200,
Construction and application of a multifunctional and saturaded genetic map for coniferous species,http://www.neiker.net/UHDfor,UHD-MAP-OF FOREST SP,500,
Old age and autonomy: the role of service systems and intergenerational solidarity,http://oasis.haifa.ac.il,OASIS,200,
Sensor encapsulation by silicon bonding (SESIBON),http://www.sensonor.com/sesibon/index.html,SESIBON,404,
Development of advanced tools for the production of artworks using marble powder (INDUSTRIAL WASTES),http://www.ecomarble.com,INDUSTRIAL WASTES,Server Error,
Development of relaxor based improved piezoelectric single crystals (DORIS),http://www.vermon.fr/doris,DORIS,301,http://www.vermon.fr/doris/
Process integrated thermal-chemical treatment of halogens containing materials as source of halogens free fuels for steel production and residues for noble metal recovery,http://www.haloclean.com/,HALOCLEANCONVERSION,200,
Multipurpose and cross-sectorial modernisation of manufacturing processes through parallel kinematics (MACH 21),http://mach21.fatronik.com/,MACH 21,[Errno -2] Name or service not known,
Floodplain biodiversity and restauration 2: integrated natural science and socio-economic approaches to catchment flow management,http://www.geog.cam.ac.uk/research/projects/flobar2/,FLOBAR2,200,
Water use efficiency in natural vegetation and agricultural areas by remote sensing in the mediterranean basin.,http://www.uv.es/ucg/watermed,WATERMED,404,
Large scale integrated supply chain optimisation software based upon branch&cut and constaint programming methods (LISCOS),http://www.liscos.fc.ul.pt,LISCOS,200,
Intelligent column internals for reactive separations,http://www.cpi.umist.ac.uk/INTINT,INTINT,404,
Debrisfall assessment in mountain catchment for local end-users,http://damocles.irpi.cnr.it,DAMOCLES,200,
Biodiversity assessment tools,http://www.nbu.ac.uk/bioassess/,BIODIVERSITY ASSESSM,[Errno -2] Name or service not known,
A decision support system to quantify cost/benefit relationships of the use of vegetation in the management of heavy metal polluted soils and dredged sediments,http://www.phytodec.nl/,PHYTODEC,200,
"Monitoring urban subsidence, cavities and landslides by remote sensing",http://dude.uibk.ac.at/projects/MUSCL,MUSCL,[Errno -2] Name or service not known,
Integrated assessment tools to gauge local functional status within freshwater ecosystems,http://www.target-eu.org,TARGET,[Errno -2] Name or service not known,
Natural baseline quality in european aquifers: a basis for aquifer management,http://www.bgs.ac.uk/hydrogeology/baseline/europe/home.html,BASELINE,200,
On-site remediation of ground water contaminated by polar organic compounds using novel adsorption technology,http://www.orgonate.com/,ORGONATE,[Errno -2] Name or service not known,
Integrated nitrogen model for european catchments,http://www.rdg.ac.uk/~sgs98ajw/inca_publish/,INCA,404,
Bridging effect assessment of mixtures to ecosystem situations and regulation,http://www.aquatox.uni-bremen.de/beam/,BEAM,[Errno -2] Name or service not known,
Towards an improved risk assessment of the contaminant spreading in factured underground reservoirs,http://www.iceht.forth.gr/projects/trace_fracture/index.html,TRACE-FRACTURE,404,
Freshwater integrated resource management with agents,http://www.cpm.mmu.ac.uk/firma/,FIRMA,[Errno -2] Name or service not known,
Predicting recovery in acidified freshwaters by the year 2010 and beyond.,http://www.mluri.sari.ac.uk/recover/recover2010.htm,RECOVER:2010,302,http://www.macaulay.ac.uk/recover/
Development and testing of an integrated assessment system for the ecological quality of streams and rivers throughout europe using benthic macroinvertebrates,http://www.aqem.de/,AQEM,200,
Groundwater risk assessment at contaminated sites,http://www.uni-tuebingen.de/gracos/,GRACOS,404,
Program for the prevention of diffuse water pollution with phosphorus from degraded and re-wetted peat soils,http://www.agr.uni-rostock.de/bodenk/Seiten/prowater.html,PROWATER,[Errno -2] Name or service not known,
European water regimes and the notion of a sustainable status,http://www.euwareness.nl/,EUWARENESS,200,
Landscape-use optimisation with regards of the groundwater resources protection in the mountain hardrock areas,http://lowrgrep.site-eerie.ema.fr/,LOWRGREP,403,
"Guidelines for the organisation, use and validation of information systems for evaluating aquifer resources and needs",http://neptune.c3ed.uvsq.fr/gouverne/,GOUVERNE,[Errno -2] Name or service not known,
Role of microbial mats in bioremediation of hydrocarbon polluted coastal zones,http://www.univ-pau.fr/RECHERCHE/MATBIOPOL/,MATBIOPOL,404,
Well productivity 2002 (WP-2002),http://www.rf.no/wp2002,WP-2002,[Errno -2] Name or service not known,
Institutional interaction - how to prevent conflicts and enhance synergies between international and eu environmental institutions (INTERACTION),http://www.ecologic.de/english/interaction/inhalt.html,INTERACTION,404,
The involvement of stakeholders to develop and implement tools for sustainable households in the city of tomorrow (TOOLSUST),http://www.toolsust.org,TOOLSUST,[Errno -2] Name or service not known,
"Project ""famto"": ultra-fast atomic movie tools 100 femtosecond time-resolved diffraction installations for the study of ultrafast transient structural changes",http://wwwy.ensta.fr/FAMTO,FAMTO,301,http://wwwy.ensta.fr/FAMTO/
Noise in completions amelioration for permenent seismic sensors (NICAPSS),http://www.microseismics.com,NICAPSS,301,https://altcom.co.uk/services/microseismics/
"Collaboratory for Annotation, Indexing and Retrieval of Digitised Historical Archive Material",http://www.collate.de,COLLATE,200,
Incorporation of COmponent BAsed software in Laboratory Information Systems,http://www.cortex.be/sgs/ctxweb.nsf/pages/framework_istp.html,COBALIS,404,
AgentLink II: Continuation of a Network of Excellence for Agent-Based Computing,http://www.iam.ecs.soton.ac.uk/projects/agentlink2/,AGENTLINK II,200,
Remote Composition and Documentation of Software Products,http://www.fidia.it/english/research_fr.htm,REINDEER,404,
Interworking of Nomadic Multi-domain Services,http://www.mobile-ip.de/~crist/Data/,INTERNODE,404,
Quality Controlled Component-based Software development,http://www.qccs.org,QCCS,[Errno -2] Name or service not known,
Quality of Service and Pricing Differentiation for IP Services,http://www.ist-tequila.org/workshop2002/cassaigne.pdf,QOSIPS,302,https://www.ist-tequila.org/workshop2002/cassaigne.pdf
ComputEr Vision ENables Non-constrained Transmission of Scenarios,http://www.eptron.es/projects/events/,EVENTS,301,http://www.eptron.es/
Virtual Reality Surgery Training System,http://hiperttn.upv.es/vrsur,VRSUR,301,http://hiperttn.upv.es/vrsur/
Applied Test Suites Network,http://www.ACATS-FORUM.org,ATS-NETWORK,[Errno -2] Name or service not known,
METAVISION,http://www.ist-metavision.com,METAVISION,timed out,
Test Execution and Test Management for Numerical Control Software,http://www.isg-stuttgart.de/team,TEAM,307,http://www.isg-stuttgart.de/de/portal.html
Secure Banking Application Assembly using a component based approach,http://www.atc.gr/banksec,BANKSEC,404,
Automated 3D texture content management in large-scale data sets,http://www.connect.slb.com/Docs/ofs/ofs_research_public/ofsr_public_images/locations/ssr/stavanger/T,TRITEX,302,http://www.slb.com/
A proxy Infrastructure for Internet interactive TV,http://www.istproject.com/proxitv/,PROXITV,[Errno 113] No route to host,
Software Process Improvement and Capability determination for object-oriented / COmponent-based software dEvelopment,http://www.oospice.com,OOSPICE,Server Error,
SOftware DEvelopment improvement for TELecommunication applications using component-based & quality assurance methodologies,http://www.integrasys-sa.com/Sodetel.html,SODETEL,404,
PErvasive COmponent Systems,http://www.pecos-project.org,PECOS,200,
Application Of component based enGinEERing TecHniques for embedded systems,http://www.fzi.de/esm/projects/Together/Together_uk.html,TOGETHER,404,
Electronic Communication in the Building and Construction Industry: Preparing for the New Internet,http://www.econstruct.org,E-CONSTRUCT,200,
International Standards for Language Engineering,http://www.mpi.nl/ISLE/,ISLE,200,
Wireless IP Network as a Generic Platform for Location Aware Service Support,http://domobili.cselt.it/WineGlass,WINE GLASS,[Errno -2] Name or service not known,
Architecture and authoring tools for prototype for Living Images and new Video Experiments,http://www.tele.ucl.ac.be/PROJECTS/art.live/,ART.LIVE,[Errno -2] Name or service not known,
IPv6 Wireless Internet Initiative,http://www.6winit.org/,6WINIT,200,
A Testbed of terabit IP Routers rUnning MPLS over DWDM,http://www.alcatel.be/atrium/,ATRIUM,404,
"Int IFIP Conf on Feature Modelling in Advanced Design-for-the-lifecycle Systems (E, Valenciennes, 12-14 June 2001)",http://www.univ-valenciennes.fr/sp/FEATS2001/,FEATS 2001,404,
Providing Reports of Usability Evaluation,http://www.usability.serco.com/prue,PRUE,404,
Dynamic on-linE IntErnet Purchasing System based on Intelligent Agents,http://www.deepsia.com,DEEPSIA,200,
Smart organisation for small services,http://www.icie.it,SOSS,200,
