acronym,title,foundProjectUrl1,classification
ATMNUCLE,Atmospheric nucleation from molecular to global scale,https://www.atm.helsinki.fi/m/atmnucle/images/project/ATMNUCLE_SciencePlan.pdf,0
SSRR,Smart Structured Rotating Reactors,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
INTIF,Inorganic nanotubes and fullerene like materials new synthetic strategies lead to new materials,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
APPROXNP,Approximation of NP hard optimization problems,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
SOCATHES,Solid State Cold Atom Hybrid Quantum Devices,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
EBSSYN,A joint EC NEA EBS project synthesis report,https://www.oecd-nea.org/rwm/reports/2010/ebssyn-final-report_en.pdf,0
CONTENT,Convergence of wireless Optical Network and iT rEsources iN supporT of cloud services,http://www.ait.gr/export/sites/default/ait_web_site/pdf_projects/CONTENT__Project.pdf,0
WELCOME II,Promoting the Return of Researchers to ERA,https://www.google.com.au/,0
PISA,Procedures In Simple Arithmetic neural implementation and development,https://www.google.com.au/,0
RAVEN,Research into Various Exact and Numerical Aspects of Critical Phenomena,http://users.complexity-coventry.org/~kenna/,0
CLIMBING,Climate and nutrient impacts on lake biodiversity and ecosystem functioning,http://www.annualreviews.org/eprint/fzUZd7Z748TeHmB7p8cn/full/10.1146/annurev-marine-041911-111611,0
IMPRESSIONS,Impacts and risks from higher end scenarios Strategies for innovative solutions,http://impressions-project.eu/,1
SFM,Supervision in Factor Models Improving Economic Forecasts,https://www.google.com.au/,0
PRIPAR,Early Modern Private Partnerships and Company Law in the Meuse Rhine Region,https://law.maastrichtuniversity.nl/research/pripar-early-modern-private-partnerships-and-company-law-in-the-meuse-rhine-region/,1
ALTERNATIVE OXIDASE,Investigating the roles of the mitochondrial alternative oxidase of Ciona intestinalis,http://www.thefreedictionary.com/oxidase,0
REGENESYS,Multi source regenerative systems power conversion REGENESYS,http://www.cleansky.eu/sites/default/files/documents/grc_3_-_regenesys.pdf,0
PICS,Development of innovative ALD materials and tools for high density 3D integrated capacitors,http://www.fp7-pics.eu/objectives.html,1
ATYPICALWORKPATTERNS,Atypical Works in Pre Industrial Europe Pluriactivity Mobility and Social Identities,http://www.2020-horizon.com/UNIVERSITA-DEGLI-STUDI-DI-ROMA-LA-SAPIENZA-p326g3.html,0
IRMFC,Development of a Portable Internal Reforming Methanol High Temperature PEM Fuel Cell System,http://www.fch.europa.eu/project/development-portable-internal-reforming-methanol-high-temperature-pem-fuel-cell-system,1
TA101-GOCLIN,Clinical development of TA 101 for the treatment of rheumatoid arthritis,https://ta101goclin.wordpress.com/,1
HELENLP,Heterogeneous Learning for Natural Language Processing,http://eeas.europa.eu/delegations/israel/documents/eu_israel/list_of_projects_7th_rtd_framework_programme_en.xls,0
CARDIAC ABC'S,Role of the ATP Binding Cassette Transporter Abcg2 in Cardiac Regeneration,http://www.science.gov/topicpages/a/abc+atp-binding+cassette.html,0
ORIGIN,The model plant system Trithuria Hydatellaceae a new window into the origin of flowering plants and gene function,http://www.gigantopteroid.org/html/systematics.htm,0
COTEVOS,Concepts Capacities and Methods for Testing EV systems and their interOperability within the Smartgrids,http://www.rse-web.it/progettieu/progetto/592,0
PERSEUS,3D modelling of the performance and variability of high electron mobility transistors for future digital applications,http://www.swansea.ac.uk/esdc/nanoelectronic-devices-computational-group/,0
TESTHEMAS,Design and Implementation of a Load Simulator Rig and Ground Test Bench Adaptation Kit for a HEMAS Test Rig,http://www.cleansky.eu/sites/default/files/documents/grc_3_-_testhemas.pdf,0
URBEN,Linking urban design and health issues an interdisciplinary approach,https://en.wikipedia.org/wiki/Rural_sociology,0
SODSAT,Remote precision management of turf grass sod production by means of artificial intelligence and satellite imaging,http://sodsat-project.com/,1
EULOSAM,Design and Manufacturing of Baseline Low Speed Low Sweep Wind Tunnel Model,http://www.ibk-innovation.de/index.php/en/researchprojects/eulosam,0
SMARTCAT,Systematic Material oriented Approach using Rational design to develop break Through Catalysts for commercial automotive PEMFC stacks,http://www.fch.europa.eu/project/systematic-material-oriented-approach-using-rational-design-develop-break-through-catalysts,1
AQUAPHAGE,Network for the development of phage therapy in aquaculture,http://aquaphage.weebly.com/uploads/5/3/9/1/5391129/agenda_for_aquaphage_meeting.pdf,0
PVICOKEST,INTERNATIONAL COOPERATIVE PROGRAMME FOR PHOTOVOLTAIC KESTERITE BASED TECHNOLOGIES,http://www.2020-horizon.com/PVICOKEST-INTERNATIONAL-COOPERATIVE-PROGRAMME-FOR-PHOTOVOLTAIC-KESTERITE-BASED-TECHNOLOGIES(PVICOKEST)-s19100.html,0
NICAIA,Nature Inspired Computation and its Applications,http://www.i-sense.org/projects.html,1
AGGREGATION,Cellular protein damage control interactomic analyses of MOAG 4 in C elegans,http://photophysics-optoelectronics.nl/_images/Post%20Europe%2048%20December%202012%20and%20January%202013.pdf,0
AIM,A novel architecture for modelling virtualising and managing the energy consumption of household appliances,http://www.ict-aim.eu/,1
PIMIC,Power and Institutions in Medieval Islam and Christendom An integrated training in research and diffusion for comparative history,http://lamop.univ-paris1.fr/IMG/pdf/PIMIC_ERs_call.pdf,0
SAGT,Self adjusting gravity table using imaging analysis for quality control,https://videometer.com/Home/tabid/36/PageID/9/PgrID/508/Default.aspx,0
SUSPHOS,A European Training Network for Sustainable Phosphorus Chemistry,http://www.b-value.com/info.php?jobid=671,0
ATTOTRON,Attosecond Electron Processes in Solids,http://www.en.uni-muenchen.de/about_lmu/research/collaborations/eu_proj/7frp_completed/en_7frp_pe/en_abgeschl_7frp_pe_intdim/index.html,0
INTERACTIONS,Investigation of the interaction between external stimulation and ongoing brain activity in cortical networks analysis modeling and empirical corroboration,http://cbc.upf.edu/projects,0
3DPRESENCE,3DPresence,http://3dpresence.eu/,0
QUANTIP,Quantum integrated photonics,http://seis.bris.ac.uk/~phmgt/quantip/About_QUANTIP.html,1
EVOLVDSO,Development of methodologies and tools for new and evolving DSO roles for efficient DRES integration in distribution networks,http://www.evolvdso.eu/,1
SMARTPRODUCTS,Proactive knowledge for smart products,http://www.smartproducts-project.eu/index.php/proactive-knowledge,1
FLHEA,FLAX AND HEMP ADVANCED FIBER BASED COMPOSITES,http://flhea.eu/,1
CESSAMAG,CERN EC Support for SESAME Magnets,http://cessamag.web.cern.ch/,1
WATERS,Strategic partnership for improved basin scale water quality parameter retrieval from optical signatures,http://mywaters.eu/,1
AQUAEXCEL,AQUAculture infrastructures for EXCELLence in European Fish research,http://www.aquaexcel.eu/,1
BIOMED,New Horizons Biomedical Informatics Observatories in Mediterranean Region,https://www.linkedin.com/title/medical-assistant-pathology,0
SECURE-R2I,Reinforcing cooperation with Eastern Partnership countries on bridging the gap between research and innovation for inclusive and secure societies,http://secure-r2i.eu/,1
NANODATACENTERS,Nano data centres,http://www.2020-horizon.com/NANODATACENTERS-Nano-data-centres(NANODATACENTERS)-s14065.html,0
PROSE,Promoting standardisation for embedded systems,http://www.2020-horizon.com/PROSE-Promoting-standardisation-for-embedded-systems(PROSE)-s13979.html,0
PRISM,Privacy aware Secure Monitoring,http://www.fp7-prism.eu/,1
MEMI,Micro mirror enhanced micro imaging,http://www.ipms.fraunhofer.de/content/dam/ipms/common/products/SLM/memi-e.pdf,0
MD3,Material development for double exposure and double patterning,http://www.demokritos.gr/Contents.aspx?CatId=122,0
PII,Pan European laboratory infrastructure implementation,http://www.panlab.net/fileadmin/documents/Publications/02_PII_Flyer.pdf,0
HATS,Highly adaptable and trustworthy software using formal models,http://www.hats-project.eu/,1
VISMASTER CA,Visual analytics Mastering the information age,http://www.vismaster.eu/,1
ISURF,An interoperability service utility for collaborative supply chain planning across multiple domains supported by RFID devices,http://www.srdc.com.tr/projects/isurf/,0
LOCON,Platform for an inter working of embedded localisation and communication systems,http://www.researchgate.net/publication/224567068_LocON_-_A_Platform_for_an_Inter-Working_of_Embedded_Localisation_and_Communication_Systems,0
HERMES,High density integration by embedding chips for reduced size modules and electronic systems,http://www.ecpe.org/news-projects/european-projects/current/details/?tx_ttnews%5Btt_news%5D=227&cHash=0cbd844edc472e126098478502f03bc4,1
SWIFT,Secure widespread identities for federated Telecommunications,http://ist-swift.sit.fraunhofer.de/,1
EPAL,Extending professional active life,http://projectotio.net/archives/2635,0
FOX,Foundations of XML safe processing of dynamic data over the Internet,http://www.cs.ox.ac.uk/projects/FOX/,0
DRIVER II,Digital repository infrastructure vision for European research,http://research.kb.nl/DRIVERII/resources/DRIVER_II_D4_3-M2_demonstrator_LTP__final_1_0_.pdf,0
DIADEM,Distributed information acquisition and decision making for environmental management,http://www.iip.kit.edu/english/1064_1654.php,0
UNILHC,UNIFICATION IN THE LHC ERA,http://www.cpht.polytechnique.fr/rtn_aef/Web_page_UNILHC/itn.html,0
QWECI,Quantifying Weather and Climate Impacts on Health in Developing Countries,https://www.liverpool.ac.uk/qweci/,1
STAR,Science in Trieste And Researchers,http://www.icgeb.org/news_English/items/european-researchers-night-trieste-italy.html,0
PROSIT,Science and everyday life in Trieste,http://www.iuses.eu/news.html,0
CERES,CEI Research Fellowship Programme,http://www.cei.int/CERES,1
ULTRATENDER,Non Invasive high power ultrasound HPU processing method for meat tenderization,http://www.lincis.com/index.php?option=com_k2&view=item&id=159:ultratender&lang=pt,1
HST-FOOD-TRAIN,Science based precision processing for future healthy structured and tasteful fruit and vegetable based foods an integrated research and training program,http://hstfoodtrain-itn.eu/home/,1
WATERGOLF,Wireless distributed intelligent system for irrigation optimisation and early turf disease prevention and treatment on Golf Courses,http://marg-project.eu/watergolf-wireless-distributed-intelligent-system-for-irrigation-optimisation-and-early-turf-disease-prevention-and-treatment-on-golf-courses/,1
UNDERSAFE,Wireless intelligent system for environmental evaluation safety monitoring and guidance for recreational and Ecotourism underground activities,https://prezi.com/sbpmsi65xors/undersafe-review-meeting-wp9/,0
MAVEN,Management and Authenticity Verification of multimedia contENts,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=7169825,0
TACMON2,Development of a very low cost Interactive Graphical Tactile Display as advanced user interface for visually impaired,http://www.tacmon.eu/new/,1
RENEWX,Development and demonstration of compact multi source heat eXchanger technologies for renewable energy applications,http://www.renewx.eu/,1
MOVE,Methods for the improvement of Vulnerability Assessment in Europe,http://www.move-fp7.eu/index.php?module=main,1
CATALYST,Capacity Development for Hazard Risk Reduction and Adaptation,http://www.catalyst-project.eu/,1
EMBRACE,Building Resilience Amongst Communities in Europe,http://www.embrace-eu.org/,1
SUCCESS,Industrial steam generation with 100 carbon capture and insignificant efficiency penalty Scale Up of oxygen Carrier for Chemical looping combustion using Environmentally SuStainable materials,http://www.clc-success.eu/fileadmin/Deliverables/D9.2_Project_information_flyer.pdf,0
GRID+,Supporting the Development of the European Electricity Grids Initiative EEGI,http://www.gridplus.eu/Documents/Deliverables/GRID+_D3.4_r0.pdf,0
AGRICAB,A framework for enhancing EO capacity for Agriculture and Forest Management in Africa as a contribution to GEOSS,http://www.wageningenur.nl/en/show/agricab-1.htm,0
MIRACLES,Multi product Integrated bioRefinery of Algae from Carbon dioxide and Light Energy to high value Specialties,http://miraclesproject.eu/,1
DIBBIOPACK,DEVELOPMENT OF INJECTION AND BLOW EXTRUSION MOLDED BIODEGRADABLE AND MULTIFUNCTIONAL PACKAGES BY NANOTECHNOLOGY IMPROVEMENT OF STRUCTURAL AND BARRIER PROPERTIES SMART FEATURES AND SUSTAINABILITY,http://www.dibbiopack.eu/,1
MERITS,More Effective use of Renewables Including compact seasonal Thermal energy Storage,https://www.tno.nl/media/3859/merits_rhc_dublin_tno_final_130422.pdf,0
BIOMARGIN,Biomarkers of renal graft injuries in kidney allograft recipients,http://www.news-medical.net/news/20130429/BIOMARGIN-research-project-aims-to-prevent-diagnose-lesions-in-transplanted-kidneys.aspx,0
DEVCOCAST,GEONETCast for and by Developing countries,http://www.devcocast.eu/,1
O4S,Sustainable surfactant production from renewable resources through natural fermentation for applications in natural organically certified products,http://www.ecorioja.com/sites/default/files/documentos/publishable_summary_final_report_1.pdf,0
CHEMWATER,Coordinating European Strategies on Sustainable Materials Processes and Emerging Technologies Development in Chemical Process and Water Industry across Technology Platforms,http://chemwater.eu/,1
OCEAN-CERTAIN,Ocean Food web Patrol Climate Effects Reducing Targeted Uncertainties with an Interactive Network,http://www.uib.no/sites/w3.uib.no/files/attachments/oceancertain.pdf,0
DEMCAMER,Design and Manufacturing of Catalytic Membrane Reactors by developing new nano architectured catalytic and selective membrane materials,http://demcamer.org/,1
SOLUTIONS,Solutions for present and future emerging pollutants in land and water resources management,http://www.solutions-project.eu/wp-content/uploads/2014/04/SOLUTIONS_Factsheet.pdf,0
NAMETECH,Development of intensified water treatment concepts by integrating nano and membrane technologies,http://www.eugris.info/DisplayProject.asp?P=4699&t=Development%20of%20intensified%20water%20treatment%20concepts%20by%20integrating%20nano-%20and%20membrane%20technologies,1
STALLION,Safety Testing Approaches for Large Lithium Ion battery systems,https://batterystandards.vito.be/node/1176,0
EUROECOTOX,EUROPEAN NETWORK FOR ALTERNATIVE TESTING STRATEGIES IN ECOTOXICOLOGY,https://sites.google.com/a/euroecotox.eu/networkeuroecotox/HOME/about-euroecotox,1
HETMOC,Highly Efficient Tubular Membranes for Oxy Combustion,http://www.2020-horizon.com/HETMOC-Highly-Efficient-Tubular-Membranes-for-Oxy-Combustion(HETMOC)-s3561.html,0
LUMAN,Land Use Modelling and Analysis Network,http://www.shahumyan.org/index.php/projects/80-luman,1
MARCOPOLO,Monitoring and Assessment of Regional air quality in China using space Observations Project Of Long term sino european co Operation,http://www.marcopolo-panda.eu/,1
RAMSES,Reconciling Adaptation Mitigation and Sustainable Development for Cities,http://www.ramses-cities.eu/,1
STEP-UP,STEP UP Strategies Towards Energy Performance and Urban Planning,http://www.stepupsmartcities.eu/,1
S2BIOM,Delivery of sustainable supply of non food biomass to support a resource efficient Bioeconomy in Europe,http://www.s2biom.eu/,1
4FUN,The FUture of FUlly integrated human exposure assessment of chemicals Ensuring the long term viability and technology transfer of the EU FUNded 2 FUN tools as standardised solution,http://4funproject.eu/,1
MAT4BAT,Advanced materials for batteries,http://mat4bat.eu/,1
WATER4CROPS,Integrating bio treated wastewater with enhanced water use efficiency to support the Green Economy in EU and India,http://www.water4crops.org/,1
EUFAR2,European Facility for Airborne Research in Environmental and Geo sciences,http://eufar.net/,1
COPHES,European coordination action on human biomonitoring,http://eu-hbm.info/cophes/human-biomonitoring,1
INFLUENCE,Interfaces of Fluid Electrodes New Conceptual Explorations,http://fp7-influence.eu/,0
GOODWATER,RESEARCH TRAINING FOR GOOD EUROPEAN GROUND WATER RESOURCES,http://www.kuleuven.be/research/researchdatabase/researchteam/50000580.htm,0
NANOPUR,Development of functionalized nanostructured polymeric membranes and related manufacturing processes for water purification,https://nanopur.vito.be/,0
E4WATER,Economically and Ecologically Efficient Water Management in the European Chemical Industry,http://www.e4water.eu/,1
AMCOR,Additive Manufacturing for Wear and Corrosion Applications,http://www.amcor-project.eu/,1
ELYGRID,Improvements to Integrate High Pressure Alkaline Electrolysers for Electricity H2 production from Renewable Energies to Balance the Grid,http://www.elygrid.com/,0
CONDUCTMEM,Development of a conductive membrane that generates oxidising surface to prevent biofilm formation and fouling,http://www.igb.fraunhofer.de/en/competences/physical-process-technology/process-and-wastewater-purification/conductmem.html,1
AXLR8,Accelerating the transition to a toxicity pathway based paradigm for chemical safety assessment through internationally coordinated research and technology development,http://axlr8.eu/,1
BIOINTENSE,Mastering bioprocess Integration and intensification across scales,http://www.lentikats.eu/en/news/74-project-biointense-mastering-bioprocess-integration-and-intensification-across-scales,1
AIRBEAM,AIRBorne information for Emergency situation Awareness and Monitoring,"http://uvs-info.com/phocadownload/03_5ec_Relevant_Information/Block-2_Spaces_EC-(FP5,FP6,FP7)_AIRBEAM.pdf",0
ALAS,Adaptive laser cladding system with variable spot sizes,http://www.silloptics.de/english/downloads/description_alas.pdf,0
PHOSFARM,Process for sustainable phosphorus recovery from agricultural residues by enzymatic process to enable a service business for the benefit of European farm community,http://www.phosfarm.eu/,1
INFORM,Improved monitoring and forecasting of ecological status of European INland waters by combining Future earth ObseRvation data and Models,http://www.copernicus-inform.eu/,1
REFRASORT,Innovative Separation Technologies for High Grade Recycling of Refractory Waste using non destructive technologies,https://esites.vito.be/sites/refrasort,0
IRCOW,Innovative Strategies for High Grade Material Recovery from Construction and Demolition Waste,http://www.ircow.eu/,1
ADVOCATE,Advancing Sustainable In Situ Remediation for Contaminated Land and Groundwater,http://www.theadvocateproject.eu/,1
EUFAR,EUROPEAN FACILITY FOR AIRBORNE RESEARCH IN ENVIRONMENTAL AND GEOSCIENCE,http://www.researchgate.net/publication/260904027_EUFAR_the_European_Facility_for_Airborne_Research_becomes_10,0
INFLAME,Indoor Contamination with Flame Retardant Chemicals Causes and Impacts,http://www.birmingham.ac.uk/research/activity/inflame/index.aspx,0
IP4PLASMA,Industrial innovations based on EU intellectual property assets in the field of atmospheric plasma technology,http://ip4plasma.eu/,1
OFFICAIR,On the reduction of health effects from combined exposure to indoor air pollutants in modern offices,http://www.officair-project.eu/,1
HIGHROC,High spatial and temporal resolution Ocean Colour coastal water products and services,http://www.highroc.eu/,1
CERAWATER,Fouling resistant ceramic honeycomb nanofilters for efficient water treatment,http://www.cerawater.eu/,1
BIOCONSEPT,Integration of Bio Conversion and Separation Technology for the production and application of platform chemicals from 2nd generation biomass,http://www.cbp.fraunhofer.de/en/Projects/project_4.html,1
SEISMIC,SEiSMiC Societal Engagement in Science Mutual learning in Cities,http://jpi-urbaneurope.eu/about/what/seismic/,1
QUALITYNANO,A pan European infrastructure for quality in nanomaterials safety testing,http://www.qualitynano.eu/,1
AQUAREHAB,Development of rehabilitation technologies and approaches for multipressured degraded waters and the integration of their impact on river basin management,http://newweb.riminifiera.it/upload_ist/AllegatiProgrammaEventi/Bastiaensv2_368512.pdf,0
BERST,BioEconomy Regional Strategy Toolkit,http://www.berst.eu/,0
RESFOOD,RESOURCE EFFICIENT AND SAFE FOOD PRODUCTION AND PROCESSING,http://www.resfood.eu/web/,1
AQUAFIT4USE,Water in Industry Fit for Use Sustainable Water Use in Chemical Paper textile and Food Industry,http://www.aquafit4use.eu/userdata/file/Publications/FINAL%20BROCHURE-AquaFit4Use.pdf,0
APPRAISAL,Air Pollution Policies foR Assesement of Integrated Strategies At regional and Local scales,http://en.unibs.it/research/research-financing/international-financing/international-research-projects/appraisal-air-pollution-policies-assesement-integrated-strategies-regional-and-local-scales,0
