,acronym,title,foundProjectUrl1,classification
140,MOVE,Methods for the improvement of Vulnerability Assessment in Europe,http://www.move-fp7.eu/index.php?module=main,1
141,CATALYST,Capacity Development for Hazard Risk Reduction and Adaptation,http://www.catalyst-project.eu/,1
142,EMBRACE,Building Resilience Amongst Communities in Europe,http://www.embrace-eu.org/,1
146,MIRACLES,Multi product Integrated bioRefinery of Algae from Carbon dioxide and Light Energy to high value Specialties,http://miraclesproject.eu/,1
147,DIBBIOPACK,DEVELOPMENT OF INJECTION AND BLOW EXTRUSION MOLDED BIODEGRADABLE AND MULTIFUNCTIONAL PACKAGES BY NANOTECHNOLOGY IMPROVEMENT OF STRUCTURAL AND BARRIER PROPERTIES SMART FEATURES AND SUSTAINABILITY,http://www.dibbiopack.eu/,1
150,DEVCOCAST,GEONETCast for and by Developing countries,http://www.devcocast.eu/,1
152,CHEMWATER,Coordinating European Strategies on Sustainable Materials Processes and Emerging Technologies Development in Chemical Process and Water Industry across Technology Platforms,http://chemwater.eu/,1
154,DEMCAMER,Design and Manufacturing of Catalytic Membrane Reactors by developing new nano architectured catalytic and selective membrane materials,http://demcamer.org/,1
156,NAMETECH,Development of intensified water treatment concepts by integrating nano and membrane technologies,http://www.eugris.info/DisplayProject.asp?P=4699&t=Development%20of%20intensified%20water%20treatment%20concepts%20by%20integrating%20nano-%20and%20membrane%20technologies,1
158,EUROECOTOX,EUROPEAN NETWORK FOR ALTERNATIVE TESTING STRATEGIES IN ECOTOXICOLOGY,https://sites.google.com/a/euroecotox.eu/networkeuroecotox/HOME/about-euroecotox,1
160,LUMAN,Land Use Modelling and Analysis Network,http://www.shahumyan.org/index.php/projects/80-luman,1
161,MARCOPOLO,Monitoring and Assessment of Regional air quality in China using space Observations Project Of Long term sino european co Operation,http://www.marcopolo-panda.eu/,1
162,RAMSES,Reconciling Adaptation Mitigation and Sustainable Development for Cities,http://www.ramses-cities.eu/,1
163,STEP-UP,STEP UP Strategies Towards Energy Performance and Urban Planning,http://www.stepupsmartcities.eu/,1
164,S2BIOM,Delivery of sustainable supply of non food biomass to support a resource efficient Bioeconomy in Europe,http://www.s2biom.eu/,1
165,4FUN,The FUture of FUlly integrated human exposure assessment of chemicals Ensuring the long term viability and technology transfer of the EU FUNded 2 FUN tools as standardised solution,http://4funproject.eu/,1
166,MAT4BAT,Advanced materials for batteries,http://mat4bat.eu/,1
167,WATER4CROPS,Integrating bio treated wastewater with enhanced water use efficiency to support the Green Economy in EU and India,http://www.water4crops.org/,1
168,EUFAR2,European Facility for Airborne Research in Environmental and Geo sciences,http://eufar.net/,1
169,COPHES,European coordination action on human biomonitoring,http://eu-hbm.info/cophes/human-biomonitoring,1
173,E4WATER,Economically and Ecologically Efficient Water Management in the European Chemical Industry,http://www.e4water.eu/,1
174,AMCOR,Additive Manufacturing for Wear and Corrosion Applications,http://www.amcor-project.eu/,1
176,CONDUCTMEM,Development of a conductive membrane that generates oxidising surface to prevent biofilm formation and fouling,http://www.igb.fraunhofer.de/en/competences/physical-process-technology/process-and-wastewater-purification/conductmem.html,1
177,AXLR8,Accelerating the transition to a toxicity pathway based paradigm for chemical safety assessment through internationally coordinated research and technology development,http://axlr8.eu/,1
178,BIOINTENSE,Mastering bioprocess Integration and intensification across scales,http://www.lentikats.eu/en/news/74-project-biointense-mastering-bioprocess-integration-and-intensification-across-scales,1
181,PHOSFARM,Process for sustainable phosphorus recovery from agricultural residues by enzymatic process to enable a service business for the benefit of European farm community,http://www.phosfarm.eu/,1
182,INFORM,Improved monitoring and forecasting of ecological status of European INland waters by combining Future earth ObseRvation data and Models,http://www.copernicus-inform.eu/,1
184,IRCOW,Innovative Strategies for High Grade Material Recovery from Construction and Demolition Waste,http://www.ircow.eu/,1
185,ADVOCATE,Advancing Sustainable In Situ Remediation for Contaminated Land and Groundwater,http://www.theadvocateproject.eu/,1
188,IP4PLASMA,Industrial innovations based on EU intellectual property assets in the field of atmospheric plasma technology,http://ip4plasma.eu/,1
189,OFFICAIR,On the reduction of health effects from combined exposure to indoor air pollutants in modern offices,http://www.officair-project.eu/,1
190,HIGHROC,High spatial and temporal resolution Ocean Colour coastal water products and services,http://www.highroc.eu/,1
191,CERAWATER,Fouling resistant ceramic honeycomb nanofilters for efficient water treatment,http://www.cerawater.eu/,1
192,BIOCONSEPT,Integration of Bio Conversion and Separation Technology for the production and application of platform chemicals from 2nd generation biomass,http://www.cbp.fraunhofer.de/en/Projects/project_4.html,1
193,SEISMIC,SEiSMiC Societal Engagement in Science Mutual learning in Cities,http://jpi-urbaneurope.eu/about/what/seismic/,1
194,QUALITYNANO,A pan European infrastructure for quality in nanomaterials safety testing,http://www.qualitynano.eu/,1
197,RESFOOD,RESOURCE EFFICIENT AND SAFE FOOD PRODUCTION AND PROCESSING,http://www.resfood.eu/web/,1
200,REAPOWER,Reverse Electrodialysis Alternative Power Production,http://www.reapower.eu/,1
203,ECODISTR-ICT,Integrated decision support tool for retrofit and renewal towards sustainable districts,http://ecodistr-ict.eu/,1
204,RESELYSER,Hydrogen from RES pressurised alkaline electrolyser with high efficiency and wide operating range,http://www.fch.europa.eu/project/hydrogen-res-pressurised-alkaline-electrolyser-high-efficiency-and-wide-operating-range,1
206,INDIA SI HOUSE,INDIA EU JOINT HOUSE FOR SCIENCE INNOVATION,http://www.indiasihouse.eu/,1
207,BAT4MED,Boosting Best Available Techniques in the Mediterranean Partner Countries,http://bat4med.org/en/project,1
208,UPSOIL,Sustainable Soil Upgrading by Developing Cost effective Biogeochemical Remediation Approaches,http://www.upsoil.eu/,1
209,CITY-ZEN,City zen a balanced approach to the city of the future,http://smartcities-infosystem.eu/projects/city-zen,1
211,S3C,Smart Consumer Smart Customer Smart Citizen,http://www.s3c-project.eu/,1
212,ADDRESS,Active Distribution networks with full integration of Demand and distributed energy RESourceS,http://www.addressfp7.org/,1
213,NEWSPEC,New cost effective and sustainable polyethylene based carbon fibres for volume market applications,http://www.newspec.eu/,1
218,SAHYOG,Strengthening networking on BiomAss researcH and biowaste conversion biotechnologY for EurOpe India inteGration,http://www.sahyog-europa-india.eu/,1
219,RAPID,Reactive Atmospheric Plasma processIng eDucation network,http://www.rapid-itn.eu/,1
220,A-TEAM,ADVANCED TOOLS FOR EXPOSURE ASSESSMENT AND BIOMONITORING,http://www.aces.su.se/research/projects/advanced-tools-for-exposure-assessment-and-biomonitoring-ateam,1
222,ELECTRA,European Liaison on Electricity Committed Towards long term Research Activities for Smart Grids,http://www.electrairp.eu/,1
226,EUNAMUS,European national museums Identity politics the uses of the past and the European citizen,http://www.ep.liu.se/eunamus/,1
230,ACCEPT PLURALISM,Tolerance Pluralism and Social Cohesion Responding to the Challenges of the 21st Century in Europe,http://accept-pluralism.eu/Events/ACCEPTPLURALISMMeetings/FirstMeeting.aspx,1
231,INTEGRIM,Integration and international migration pathways and integration policies,http://www.integrim.eu/,1
233,PIREDEU,Providing an Infrastructure for Research on Electoral Democracy in the European Union,http://www.piredeu.eu/,1
234,COEURE,Cooperation for European Research in Economics,http://www.coeure.eu/,1
235,RESL.EU,Reducing Early School Leaving in the EU,https://www.uantwerpen.be/en/projects/resl-eu/,1
239,UP-KAT,Understanding Public Knowledge and Attitudes towards Trafficking in Human Beings A Cross National Study,https://cps.ceu.edu/research/trafficking-in-human-beings,1
240,RESOCEA,Regime and Society in Eastern Europe 1956 1989 From Extended Reproduction to Social and Political Change,http://resocea.uni-sofia.bg/,1
241,ENVIROGRIDS,Building Capacity for a Black Sea Catchment Observation and Assessment System supporting Sustainable Development,http://envirogrids.net/,1
244,FRICTIONS,Frictions in the Financial System,http://www.ceu.edu/project/frictions-frictions-financial-system,1
247,PETAF,Perspectival Thoughts and Facts,http://www.ub.edu/petaf/,1
248,BEUCITIZEN,All Rights Reserved Barriers towards EUropean CITIZENship,http://beucitizen.eu/,1
252,CHANGING BEHAVIOUR,Contextualising behavioural change in energy programmes involving intermediaries and policymaking organizations working towards changing BEHAVIOUR,http://www.energychange.info/,1
254,EUCELLEX,Cell based regenerative medicine new challenges for EU legislation and governance,https://www.eucellex.eu/,1
255,CRISP,CReating Innovative Sustainability Pathways,https://www.ceu.edu/project/crisp-creating-innovative-sustainability-pathways,1
258,NANOPLAT,Development of a Platform for Deliberative Processes on Nanotechnology in the European Consumer Market,http://www.nanoplat.org/,1
263,EDUMIGROM,Ethnic Differences in Education and Diverging Prospects for Urban Youth in an Enlarged Europe,http://www.edumigrom.eu/,1
265,BARENERGY,Barriers for energy changes among end consumers and households,http://barenergy.eu/,1
266,LIMITS,Low climate IMpact scenarios and the Implications of required Tight emission control Strategies,http://www.feem-project.net/limits/,1
273,GRACE,GMO Risk Assessment and Communication of Evidence,http://www.grace-fp7.eu/,1
274,MALSIG,Signalling in life cycle stages of malaria parasites,http://www.malsig.lille.inserm.fr/,1
277,PREGVAX,Plasmodium Vivax Infection in Pregnancy,http://www.pregvax.net/PregVax_Project.htm,1
278,SEFCUMPAQ,A NOVEL BIOPROCESS COUPLING WASTEWATER TREATMENT WITH ELECTRICITY PRODUCTION TO REMEDIATE METAL POLLUTED AQUATIC ENVIRONMENTS,http://www.2020-horizon.com/UNESCO-IHE-INSTITUTE-FOR-WATER-EDUCATION-p6545g1.html,1
279,HYLOW,Hydropower converters with very low head differences,http://www.hylow.eu/,1
285,IRIS,Integrating research in interactive storytelling,http://iris.interactive-storytelling.de/,1
288,MODERN,MODeling the EnviRonmental and human health effects of Nanomaterials MODERN,http://www.euussciencetechnology.eu/content/modeling-environmental-and-human-health-effects-nanomaterials,1
293,ACTION-GRID,International cooperative action on grid computing and biomedical informatics between the European Union Latin America the Western Balkans and North Africa,http://wbc-inco.net/object/project/8074,1
295,RADICAL,Road mapping technology for enhancing security to protect medical and genetic data,https://www.biomedtown.org/biomed_town/VPH/VPHnews/radical,1
296,GIGAS,GEOSS Inspire and GMES an action in support,http://www.thegigasforum.eu/project/project.html,1
297,ECO-FCE,A whole systems approach to optimising feed efficiency and reducing the ecological footprint of monogastrics,http://www.thepigsite.com/articles/4528/ecofce-a-wholesystems-approach-to-optimising-feed-efficiency-and-reducing-the-ecological-footprint-of-monogastrics/,1
300,FESTA,Field opErational teSts supporT Action,http://www.transport-research.info/project/field-operational-tests-support-action,1
301,EUFORIA,EU fusion for ITER applications,http://www.euforia-project.eu/EUFORIA/,1
302,FEMTOBLUE,Blue Femtosecond laser implemented with group III nitrides,http://femtoblue.epfl.ch/,1
303,CORNER,Correlated noise effects in quantum information processing,http://corner.fizyka.umk.pl/,1
308,OGF-EUROPE,Mobilising and integrating communities on grid standards and best practices globally,http://www.danielelezzi.it/projects/,1
311,EUROINDIA,Euro India ICT Co operation,http://www.ercim.eu/activity/projects/122-euro-india.html,1
313,DIGITALWORLD,Digital world forum on accessible and inclusive ICT,http://digitalworld.ercim.eu/,1
314,MED-SPRING,Mediterranean Science Policy Research Innovation Gateway,http://www.medspring.eu/,1
317,WSF,Welfare State Futures,http://www.norface.net/,1
319,EU-PLF,Bright Farm by Precision Livestock Farming,http://www.eu-plf.eu/,1
320,PROS,Priorities for Road Safety Research in Europe,http://www.pros-project.eu/,1
321,DYNAMIC,DYNamic feedbacks of climate impacts on current Adaptation and Mitigation Investment Choice,http://www.iccic.org.il/,1
322,BIO TRIANGLE,Streamlining bio research in Australia Canada New Zealand and the United States with Europe through multilateral cooperation activities,http://biotriangle.apre.it/,1
323,NEWCOMPACTISM,New Urbanism vs Compact City Investigation of the relationships between urban micro and macro scale effects on travel behaviour,http://transport-research.info/project/new-urbanism-vs-compact-city-investigation-relationships-between-urban-micro-and-macro-scale,1
326,LGMD2A,Development of a strategy to treat limb girdle muscular dystrophy LGMD2A using combined cell and gene therapy strategies,http://www.genetherapynet.com/research-institutes.html,1
328,ENVRI,Common Operations of Environmental Research Infrastructures,http://envri.eu/,1
334,MYWEAR,Customized Green Safe Healthy and Smart Work and Sports Wear,http://www.mywearproject.info/,1
337,DIAMOND,Diagnosis aided control for SOFC power systems,http://www.diamond-sofc-project.eu/,1
342,ARCTIC DOMUS,Arctic Domestication Emplacing Human Animal Relationships in the Circumpolar North,http://arcticdomus.org/,1
343,KYROBIO,The discovery development and demonstration of biocatalysts for use in the industrial synthesis of chiral chemicals,http://www.kyrobio.eu/Project-summary.html,1
344,PROMYSE,Products from methanol by synthetic cell factories,http://www.sintef.no/Projectweb/PROMYSE/,1
345,ICAD,Advancing Knowledge Systems to Inform Climate Adaptation Decisions,http://www.icad.leeds.ac.uk/,1
347,DNAMAP,Nanofluidic Methods for Mapping Epigenetic and Genomic Variation,http://www.2020-horizon.com/DNAMAP-Nanofluidic-Methods-for-Mapping-Epigenetic-and-Genomic-Variation(DNAMAP)-s4144.html,1
350,ACCENT-PLUS,Atmospheric Composition Change the European Network Policy Support and Science,http://www.accent-network.org/,1
351,EURO-BIOIMAGING,Euro BioImaging Research infrastructure for imaging technologies in biological and biomedical sciences,http://www.eurobioimaging.eu/,1
353,CEMCAST,Centre of Excellence for Modern Composites Applied in Aerospace and Surface Transport Infrastructure,http://cemcast.pollub.pl/index/strona/id/2,1
354,RESPONSES,European responses to climate change deep emissions reductions and mainstreaming of mitigation and adaptation,http://www.responsesproject.eu/,1
363,ULICE,Union of Light Ion Centres in Europe,http://ulice.web.cern.ch/ULICE/cms/index.php?file=home,1
364,CHARISMA,Cultural heritage Advanced Research Infrastructures Synergy for a Multidisciplinary Approach to Conservation Restoration,http://www.charismaproject.eu/,1
365,ESWIRP,European Strategic Wind Tunnels Improved Research Potential,http://www.eswirp.eu/,1
367,EUROGEOSS,European approach to GEOSS,http://www.eurogeoss.eu/,1
368,NET - HERITAGE,European network on Research Programme applied to the Protection of Tangible Cultural Heritage,http://www.netheritage.eu/index.asp,1
370,SEALINKS,Bridging continents across the sea Multi disciplinary perspectives on the emergence of long distance maritime contacts in prehistory,http://www.homepages.ucl.ac.uk/%7Etcrndfu/sealinks/sealink1.htm,1
372,CREATE,Creating a joint Research Agenda for ICT Innovation in the Creative Industries across Europe,http://eravisions.eu/stocktaking/39,1
374,TOPAG,Toxic protein aggregation in neurodegeneration,http://www.topag.mpg.de/INTRODUCTION,1
378,HELMHOLTZ,Holistic evaluation of light and multiwave applications to high resolution imaging in ophthalmic translational research revisiting the helmholtzian synergies,http://www.vision-research.eu/index.php?id=909,1
379,BLACKHOLECAM,Imaging the Event Horizon of Black Holes,http://blackholecam.org/,1
390,Q-MAC,Frontiers in Quantum Materials Control,http://www.q-mac.eu/,1
391,NEXUS1492,NEXUS 1492 New World Encounters in a Globalising World,http://www.nexus1492.eu/,1
393,INCOMERA,Innovation and Commercialisation in the NMP thematic area,http://www.incomera.eu/,1
394,STREPSYNTH,Rewiring the Streptomyces cell factory for cost effective production of biomolecules,http://www.strepsynth.eu/,1
395,POWER2YOUTH,Freedom dignity and justice A comprehensive approach to the understanding of youth exclusion and the prospects for youth inclusion and overall change in the South and East Mediterranean,http://www.power2youth.eu/project,1
397,ODASP,Ontology driven analysis of nominal systematic polysemy in WordNet,http://www.loa.istc.cnr.it/projects/ODASP,1
399,CHREACT,Chain Reaction A Sustainable Approach to Inquiry Based Science Education,http://www.chreact.eu/,1
400,RISIS,Research infrastructure for research and innovation policy studies,http://risis.eu/,1
401,ESASTAP PLUS,Strengthening Technology Research and Innovation Cooperation between Europe and South Africa,http://esastap.org.za/,1
404,PRI-SCI-NET,Networking Primary Science Educators as a means to provide training and professional development in Inquiry Based Teaching,http://prisci.net/,1
405,NEURO-RESCUE,NEUROsciences RESearch Clusters of Excellence,http://www.medtech-pharma.de/english/services/cooperations/eu-project-neuro-rescue.aspx,1
406,AFRESH,Countering diet related diseases through competitive regional food and physical activity clusters,http://www.agropolis.org/project-management/afresh.php,1
407,STAR-IDAZ,Global Strategic Alliances for the Coordination of Research on the Major Infectious Diseases of Animals and Zoonoses,http://portal.nifa.usda.gov/web/crisprojectpages/429354.php,1
408,SPICE,Space Internetworking Center,http://www.spice-center.org/,1
413,GREENET,Globally Recoverable and Eco friendly E equipment Network with Distributed Information Service Management,http://conferences.computer.org/icebe/2013/GREENetworkshop13.htm,1
422,MESMA,Monitoring and Evaluation of Spatially Managed Areas MESMA,http://mesma.org/,1
423,CLIMATEWATER,Bridging the gap between adaptation strategies of climate change impacts and European water policies,http://climatewater.org/,1
426,SATORI,Stakeholders Acting Together On the ethical impact assessment of Research and Innovation,http://satoriproject.eu/the-project/,1
427,PASTEUR4OA,Open Access Policy Alignment STrategies for European Union Research,http://www.pasteur4oa.eu/,1
430,REFRESCO,Towards a REgulatory FRamework for the usE of Structural new materials in railway passenger and freight CarbOdyshells,http://www.refresco-project.eu/,1
433,SPRAWLESCAPES,Sprawlescapes A comparative study of landscape discourses of urban sprawl in Sweden and Germany,http://www.sprawlescapes.eu/,1
434,GREAT,Governance of REsponsible innovATion,http://www.great-project.eu/,1
435,WE@EU,Water Efficiency in European Urban Areas,http://www.weateu.eu/,1
436,SUWANU,Sustainable Water treatment and Nutrient reuse options,http://suwanu.eu/,1
437,REMCAP,Resource Efficient Maritime Capacity,http://www.remcap.eu/,1
439,EUCARD-2,Enhanced European Coordination for Accelerator Research Development,http://eucard2.web.cern.ch/,1
440,ADHOPHTA,Adopting Hospital Based Health Technology Assessment in EU,http://www.adhophta.eu/,1
442,CARBONCOMP,High throughput development of carbon polymer nanocomposites for marine applications,http://www.carboncomp.eu/,1
443,INTERACTIVE,Innovative Concept Modelling Techniques for Multi Attribute Optimization of Active Vehicles,http://www.fp7interactive.eu/,1
444,FLEXBOT,Flexible object manipulation based on statistical learning and topological representations,http://www.nada.kth.se/~danik/research.html,1
445,EUCLIDS,The genetic basis of meningococcal and other life threatening bacterial infections of childhood,http://www.euclids-project.eu/,1
449,X10D,Efficient low cost stable tandem organic devices,http://www.x10d-project.eu/public,1
452,ROBOTASK,Action words Learning in a Humanoid Robot by Discovering Tool Affordances via Statistical Inference,http://www.robotask.eu/index.html,1
453,SYNSIGNAL,Synthetic Cellular Signaling Circuits,http://synsignal.eu/,1
454,INTELLI-FLUE,Intelligent combustion management of flue gases for solid fuel domestic heating systems,http://www.intelli-flue.eu/,1
456,SWIP,New innovative solutions components and tools for the integration of wind energy in urban and peri urban areas,http://swipproject.eu/,1
458,GRAIN 2,GReener Aeronautics International Networking 2,http://www.transport-research.info/project/greener-aeronautics-international-networking-2,1
459,APSE,Use of eco friendly materials for a new concept of Asphalt Pavements for a Sustainable Environment,http://apseproject.eu/,1
460,COBALT,COntributing to Building of Awareness Learning and Transfer of knowledge on sustainable use of raw materials,http://www.cobalt-fp7.eu/,1
461,PHASEPLIT,Two phase Acid Gas Anaerobic Reactor for Industrial Wastewater of Food Drink SME industries,http://sites.fct.unl.pt/bioeng/pages/european-projects,1
469,ENSEA,European North Sea Energy Alliance,http://www.ensea.biz/,1
470,ITRIBIS,Improving Translational Research Potential at the Institute of Biomedicine of Seville,https://itribis.ibis-sevilla.es/,1
471,MIRRI,Microbial Resource Research Infrastructure MIRRI,http://mirri.org/home.html,1
481,TREES4FUTURE,Designing Trees for the future,http://www.trees4future.eu/,1
482,LAGOONS,Integrated water resources and coastal zone management in European lagoons in the context of climate change,http://lagoons.biologiaatua.net/,1
485,WHEXPERS,Study and manufacturing of a Wasted Heat Exchanger and a hot air Piston Engine Recuperation System,http://www.bricker-project.com/Network/Initiatives.kl,1
488,PROMITHEAS-4,Knowledge transfer and research needs for preparing mitigation adaptation policy portfolios,http://www.increast.eu/en/1496.php,1
489,NANOHITEC,Nano structured High efficiency Thermo Electric Converters,http://www.nanohitec.eu/,1
494,GEOCODE,Genomic Epigenomic Complex Disease Epidemiology,http://kemdiabetes.org/News-new.html,1
496,SYNER-G,Systemic Seismic Vulnerability and Risk Analysis for Buildings Lifeline Networks and Infrastructures Safety Gain,http://www.vce.at/SYNER-G/,1
500,POLALAS,Novel photonic nanostructures for polariton lasers,http://www.dur.ac.uk/polalas/,1
501,HYACINTH,HYdrogen ACceptance IN the Transition pHase,http://www.engineering.leeds.ac.uk/eri/HYACINTH-HydrogenAcceptanceintheTransitionPhase-EnergyResearchInstitute.shtml,1
503,VADER,Vaccine Design and Immune Responses,http://www.vadereugrant.com/index.html,1
510,PHEME,Computing Veracity Across Media Languages and Social Networks,http://www.pheme.eu/,1
512,SMARTSOIL,Sustainable farm Management Aimed at Reducing Threats to SOILs under climate change,http://www.ccri.ac.uk/smartsoil/,1
514,PREDEMICS,Preparedness Prediction and Prevention of Emerging Zoonotic Viruses with Pandemic Potential using Multidisciplinary Approaches,http://predemics.biomedtrain.eu/,1
516,WHATER,Water Harvesting Technologies Revisited Potentials for Innovations Improvements and Upscaling in Sub Saharan Africa,http://whater.eu/,1
517,CLIMAFRICA,Climate change predictions in Sub Saharan Africa impacts and adaptations,http://www.climafrica.net/index_en.jsp,1
518,BAMMBO,Sustainable production of biologically active molecules of marine based origin,http://www.bammbo.eu/,1
519,BIOTREAT,BIOTREATMENT OF DRINKING WATER RESOURCES POLLUTED BY PESTICIDES PHARMACEUTICALS AND OTHER MICROPOLLUTANTS,http://biotreat-eu.org/,1
520,WINDUR,Small Wind Turbine for Urban Environments,http://www.project-windur.eu/,1
522,DIFFER,Diagonal Interventions to Fast Forward Enhanced Reproductive Health,https://www.ucl.ac.uk/igh/research/a-z/differ,1
523,FASHION-ABLE,Development of new technologies for the flexible and eco efficient production of customized healthy clothing footwear and orthotics for consumers with highly individualised needs,http://www.fashionable-project.eu/,1
524,D-RAIL,Development of the Future Rail Freight System to Reduce the Occurrences and Impact of Derailment,http://www.d-rail-project.eu/,1
525,APRAISE,Assessment of Policy Impacts on Sustainability in Europe,http://apraise.org/,1
529,BIOECOSIM,An innovative bio economy solution to valorise livestock manure into a range of stabilised soil improving materials for environmental sustainability and economic benefit for European agriculture,http://www.bioecosim.eu/index.html,1
533,CESAR,CO2 Enhanced Separation and Recovery,http://www.co2cesar.eu/,1
534,I-TOUR,i TOUR intelligent Transport system for Optimized URban trips,http://www.transport-research.info/project/i-tour-intelligent-transport-system-optimized-urban-trips,1
535,PACE-NET,Pacific EU Network for science and Technology,https://pacenet.eu/,1
536,AUTO-STACK,Automotive Fuel Cell Stack Cluster Initiative for Europe,http://www.fch.europa.eu/project/automotive-fuel-cell-stack-cluster-initiative-europe-ii,1
537,EU-BALKANVEGETABLES,Balkan Vegetables Research Centre for transfer of European knowledge research and practice,http://www.balkanvegetables.eu/en/participants,1
538,ERINHA,European Research Infrastructure on Highly Pathogenic Agents,http://www.erinha.eu/,1
539,RAMIRI 2,Realising and Managing International Research Infrastructures 2,http://www.elettra.eu/comunicazione/events/ramiri-2-for-planning-and-managing-international-research-infrastructures.html,1
541,COLTS,Casting of Large Ti Structures,http://www.colts-project.eu/,1
542,COACH,Coordination of projects on new approaches to replace current repeated dose systemic toxicity testing of cosmetics and chemicals,http://www.seurat-1.eu/pages/cluster-projects/coach.php,1
544,MALAREO,EO in Malaria Vector Control and Management,http://www.copernicus.eu/projects/malareo,1
545,MYCOPTER,Enabling Technologies for Personal Air Transport Systems,http://www.mycopter.eu/,1
546,EXPEER,Distributed Infrastructure for EXPErimentation in Ecosystem Research,http://expeeronline.eu/,1
