acronym,title,projectUrl,,,,,,,,,,,,,,,,,,,,,,
NULL,Sistema Avançado de Vigilância de Tráfego Rodoviário,,,,,,,,,,,,,,,,,,,,,,,
NULL,QUEST - Algoritmos Essenciais para Solvabilidade e Optimização,,,,,,,,,,,,,,,,,,,,,,,
NULL,Algoritmos para optimização de dimensionamento e gestão de recursos em redes de telecomunicações,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sintonia Automática de Controladores PID utilizando Redes Neuronais e Algoritmos Genéticos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Fusão de Dados Funcionais e Morfológicos para a Localização de Focos Epileptogéneos em Epilepsias Severas: Desenvolvimento e validação de uma metodologia não-invasiva,,,,,,,,,,,,,,,,,,,,,,,
NULL,DARE - Estudo de Metodologias para o Desenvolvimento de Agentes Robóticos Emocionais,,,,,,,,,,,,,,,,,,,,,,,
NULL,Análise não-linear e sistemas dinâmicos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Descarregadores não Convencionais com Soleiras em Degraus. Funcionamento Hidráulico e Estudo da sua Aplicação a Barragens de Pequena e Média Dimensão,,,,,,,,,,,,,,,,,,,,,,,
NULL,TMO - Seguimento de Objectos Móveis com Métodos Baseados em Multi-Modelos,,,,,,,,,,,,,,,,,,,,,,,
NULL,"DICOMO - Concorrência, Distribuição e Mobilidade",,,,,,,,,,,,,,,,,,,,,,,
NULL,"PÂNCREAS BIO-ARTIFICIAL: Estudos preliminares de hemocompatibilidade, difusão e isolamento imunológico",,,,,,,,,,,,,,,,,,,,,,,
NULL,MOBISNAP - Gestão de Vistas de Bases de Dados em Ambiente Móvel,,,,,,,,,,,,,,,,,,,,,,,
NULL,IOPGIS - Interoperabilidade em Sistemas de Informação Geográfica,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Modelação, Teste e Identificação de Dano em Estruturas Construídas em Materiais Compósitos com Lâminas Piezoléctricas",,,,,,,,,,,,,,,,,,,,,,,
NULL,Um eléctrodo activo para registo de electroencefalogramas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Novos Materiais para Revestimentos Resistentes ao Desgaste (NOMATER),,,,,,,,,,,,,,,,,,,,,,,
NULL,"Propriedades Termofísicas de Metais Fundidos - Medição, Correlação e Interpretação",,,,,,,,,,,,,,,,,,,,,,,
NULL,Materiais Cerâmicos Ferroeléctricos para Aplicações Piezoeléctricas e Electro-Ópticas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Tecnologia ultrassónica aplicada à caracterização de papeis de impressão e escrita,,,,,,,,,,,,,,,,,,,,,,,
NULL,Síntese de novos materiais poliméricos biodegradáveis do tipo CAPA,,,,,,,,,,,,,,,,,,,,,,,
NULL,A importância de dominios não catalíticos e das interações sinérgicas no funcionamento de cellulases e hemicellulases utilizadas na alimentação animal.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Modelos Numéricos para a Análise do comportamento Não Linear deEstruturas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Processos Geomorfológicos e Biofísicos e Unidades de Paisagem em Ambiente de Montanha Mediterrânea. Aplicação à Serra da Estrela - ESTRELA,,,,,,,,,,,,,,,,,,,,,,,
NULL,Controlo geodinâmico e caracterização sísmica da região do Algarve,,,,,,,,,,,,,,,,,,,,,,,
NULL,Materiais para membranas de separação de oxigénio,,,,,,,,,,,,,,,,,,,,,,,
NULL,Regulação do desenvolvimento muscular em mamíferos por um novo factor de transcripção com domínio bHLH e sua interacção com o sistema de sinal Notch.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Tempo de colisão e sinistralidade rodoviária: Estudo da situação de colisão frontal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desigualdade Salarial,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sistema Automático de Controlo da Isotropia de Mantos de Fibras a produzir por Agulhagem,,,,,,,,,,,,,,,,,,,,,,,
NULL,Reconhecimento Óptico de Música Antiga (ROMA),,,,,,,,,,,,,,,,,,,,,,,
NULL,Transporte de maltotriose por Saccharomyces Cerevisiae e espécies relacionadas: um estudo integrado,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo da biodiversidade vegetal em Angola: uma base de dados da família Leguminosae,,,,,,,,,,,,,,,,,,,,,,,
NULL,O papel da hormona relacionada com a hormona Paratiróide (PTHRP) e dos produtos da familia do gene da prolactina na regulação do cálcio na Dourada (Sparus aurata),,,,,,,,,,,,,,,,,,,,,,,
NULL,Evolução Quaternária Recente do Estuário do Douro e Plataforma Continental Adjacente,,,,,,,,,,,,,,,,,,,,,,,
NULL,Impacto hidrodinâmico na sobrevivência dos primeiros estados de desenvolvimento de pequenos peixes pelágicos na costa oeste da Península Ibérica,,,,,,,,,,,,,,,,,,,,,,,
NULL,Silício policristalino por CVD rápido e “lift-off” para aplicações fotovoltaicas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Revestimentos com selectividade espectral para aplicações solares,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de Estirpes de Bacérias Lácticas que sejam Deficientes em Ribonucleases para Processamento de Alimentos nas Indústrias Lácteas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Efeitos clínicos e imunológicos do tratamento com aminosidina em cães experimentalmente infectados com Leishmania infantum,,,,,,,,,,,,,,,,,,,,,,,
NULL,Perdas de carga em tês de derivação de sistemas de tubagens,,,,,,,,,,,,,,,,,,,,,,,
NULL,Transformações não-lineares de ondas marítimas em zonas costeiras,,,,,,,,,,,,,,,,,,,,,,,
NULL,Avaliação do estado de conservação do Património Cultural construído por métodos não destrutivos (NDTMONUMENTS),,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo Geomecânico de Solos Moles e Residuais Graníticos e Rocha Branda,,,,,,,,,,,,,,,,,,,,,,,
NULL,Informação Assimétrica e a Sequência de Decisões Económicas,,,,,,,,,,,,,,,,,,,,,,,
NULL,TGV - Técnicas para a Verificação da Funcionalidade Global de Sistemas Digitais Complexos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Transporte e Dispersão de Poluentes em Meio Marinho: Parametrização dos Efeitos e Avaliação de Impactos Ambietais,,,,,,,,,,,,,,,,,,,,,,,
NULL,Impacto de não-linearidades da fibra óptica em sistemas WDM duo-binário,,,,,,,,,,,,,,,,,,,,,,,
NULL,Melhoramento de metodos e protocolos para preparação de culturas de arranque de bactérias lácticas e outras probióticos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Controlo óptimo de Ssistemas não lineares com restrições,,,,,,,,,,,,,,,,,,,,,,,
NULL,Análise do Conforto Térmico e da Qualidade do Ar Interior em Sistemas de Ventilação por Deslocamento,,,,,,,,,,,,,,,,,,,,,,,
NULL,Projecto Óptimo de Implantes Ortopédicos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Optimização da Produção de Esboços por Soldadura Laser para a Fabricação de Componentes da Indústria Automóvel,,,,,,,,,,,,,,,,,,,,,,,
NULL,Escalonamento e Re-projecto de Instalações de Operação Semi-descontínua,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento Rápido de Catalisadores para Transformação de Hidrocarbonetos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Biodespoluição de solos contaminados com hidrocarbonetos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sujeito e passividade,,,,,,,,,,,,,,,,,,,,,,,
NULL,Dinâmica da Quebra de Simetria na Transição de Fase Supercondutora,,,,,,,,,,,,,,,,,,,,,,,
NULL,Formação de padrões através de mecanismo de reacção-difusão,,,,,,,,,,,,,,,,,,,,,,,
NULL,Efeito de impurezas em fenómenos cooperativos de dieléctricos polares,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Alterações climáticas em Portugal, cenários, impactes e medidas de adaptação (SIAM)",,,,,,,,,,,,,,,,,,,,,,,
NULL,"Crença num mundo justo, percepção de vitimização e categorização social: consequências para a vitimização secundária",,,,,,,,,,,,,,,,,,,,,,,
NULL,Culturas de Segurança e Memória de Acidentes,,,,,,,,,,,,,,,,,,,,,,,
NULL,Validação dos Materiais e sistemas de colagem / Impregnação de estruturas de madeira,,,,,,,,,,,,,,,,,,,,,,,
NULL,HIPOCRATES - Sistema Robusto para o Controlo de Bloqueio Neuromuscular,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de Conversores Digital / Analógico de Alta Velocidade em Tecnologias CMOS,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sistema de Transmissão de Elevado Ganho de Processamento para Canais de Ruído Selectivo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mapas Multimodais para Robótica Móvel,,,,,,,,,,,,,,,,,,,,,,,
NULL,MICRA : Um modelo para o desenvolvimento de aplicações de missão-crítica,,,,,,,,,,,,,,,,,,,,,,,
NULL,MS-AGENCY : Controlo de Sistemas de Manufactura utilizando Sociedades de Agentes Evolutivos,,,,,,,,,,,,,,,,,,,,,,,
NULL,"A interacção do péptido de fusão da proteína de membrana do HIV-1, gp41, com biomembranas e a sua inibição",,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de um processo integrado para produção de Xilo-oligossacáridos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de um modelo de infestação in vitro r in vivo adaptado ao estudo das interacções hospedeiro / parasita entre as espécies Ruditapes decussatus e Perkinsus atlanticus: obtenção de informação directamente aplicável em moluscicultura,,,,,,,,,,,,,,,,,,,,,,,
NULL,Diagnóstico de Avarias nos Enrolamentos de Transformadores Trifásicos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Processo integrado para recuperação e reutilização de metais pesados,,,,,,,,,,,,,,,,,,,,,,,
NULL,Uma Filosofia no Feminino,,,,,,,,,,,,,,,,,,,,,,,
NULL,Filmes dieléctricos dopados com semicondutores com aplicações em optoelectrónica,,,,,,,,,,,,,,,,,,,,,,,
NULL,Deposição de semicondutores de grande hiato por laser pulsado,,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de um Novo Método de Microscopia Confocal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Optimização em Física,,,,,,,,,,,,,,,,,,,,,,,
NULL,Conversores Matriciais na Qualidade da Energia Eléctrica-fase II,,,,,,,,,,,,,,,,,,,,,,,
NULL,Integração de um sistema de sensor de radar,,,,,,,,,,,,,,,,,,,,,,,
NULL,AXEL - Aceleração de Algoritmos Computacionalmente Intensivos usando Sistemas Computacionais Configuráveis,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Biotecnologia do gelano: via biossintética, manipulação genética e ambiental, e relações estrutura/propriedades",,,,,,,,,,,,,,,,,,,,,,,
NULL,Métodos Automáticos para Actualização Cartográfica utilizando Imagens de Satélite (AUTOCARTIS),,,,,,,,,,,,,,,,,,,,,,,
NULL,"Análise On-Line da Regularidade de Fio Têxtil, com Elevada Resolução",,,,,,,,,,,,,,,,,,,,,,,
NULL,Respostas Moleculares ao Stress hídrico em Algas com Elevada Tolerância à Salinidade e Dessecação,,,,,,,,,,,,,,,,,,,,,,,
NULL,Caracterização das interacções proteína-proteína e proteína-DNA mediadas pela proteína portal do bacteriófago SPP1 durante a morfogénese viral,,,,,,,,,,,,,,,,,,,,,,,
NULL,Filmes Magnéticos Nanoestruturados de efeito túnel com matrix isoladora. Física e Aplicações.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Optimização das Condições de Processamento de Materiais Argilosos Usados na Concepção de Filtros para Purificação de Água e Remoção de Metais Pesados,,,,,,,,,,,,,,,,,,,,,,,
NULL,Actividade angiogénica e Imunomodulação do endométrio equino,,,,,,,,,,,,,,,,,,,,,,,
NULL,Betão Reforçado com Fibras de Vidro - Aplicações Estruturais,,,,,,,,,,,,,,,,,,,,,,,
NULL,Simulação Geoestatística e Fractal da Rede de Fracturação de Maciços Rochosos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Controlo e Pré-Tratamento de Descargas Intermitentes de Águas Residuais em Meios Receptores,,,,,,,,,,,,,,,,,,,,,,,
NULL,Provisão de Liquidez e Crises Financeiras,,,,,,,,,,,,,,,,,,,,,,,
NULL,Análise matemática e simulação numérica de modelos de fluidos não-Newtonianos com aplicações na tecnologia dos polímeros líquido-cristalinos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Fucosiltransferases humanas: organização na membrana e regulação da actividade in vivo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Aplicação de novos métodos de obtenção de fases á exploração da diversidade estrutural da família dos citrocromos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Exploração de solutos de organismos hipertermofílicos com vista à sua utilização como estabilizantes de Enzimas,,,,,,,,,,,,,,,,,,,,,,,
NULL,"SUBSTRATE - Modelação e Simulação dos Efeitos do Acoplamento via Substrato, SUBSTRATE - Modelação e Simulação dos Efeitos do Acoplamento via Substrato",,,,,,,,,,,,,,,,,,,,,,,
NULL,Remoção de metais pesados de águas contaminadas utilizando musgos aquáticos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Um Sistema de Informação com base na Web para acesso à Jurisprudência,,,,,,,,,,,,,,,,,,,,,,,
NULL,CASSILDE - Design de Iluminação Assistido por Computador,,,,,,,,,,,,,,,,,,,,,,,
NULL,Modelação e Simulação de Sistemas com Estrutura Dinâmica,,,,,,,,,,,,,,,,,,,,,,,
NULL,A.L.C.INE - Aprendizagem em Linha em Controlo Inteligente,,,,,,,,,,,,,,,,,,,,,,,
NULL,Fundamentos e Aplicações de Subtipagem por Construtores,,,,,,,,,,,,,,,,,,,,,,,
NULL,Efeitos de tensio-activos na transferência de massa em contactores de bolhas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Jactos Confinados por uma Parede Cónica - Aplicação a Processos de Separação por Membranas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo de efeitos do sujamento em escoamentos gás-líquido num tubo horizontal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Heidegger em Português. Investigação e edição da obra de Martin Heidegger.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Propriedades de Fermiões Pesados dos Sistemas (UxTh1-x)2Pt2In e (UxTh1-x)2Pd2Sn,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Água Virtual, Um Ambiente Virtual para a Aprendizagem da Física e da Quimica",,,,,,,,,,,,,,,,,,,,,,,
NULL,Atlas Agroclimatológico do Entre Douro e Minho,,,,,,,,,,,,,,,,,,,,,,,
NULL,Química biológica do vanadio - aplicações e implicações,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sintese de Heterociclos de Azoto com base numa previsão da sua actividade assistida por computador,,,,,,,,,,,,,,,,,,,,,,,
NULL,Função dos receptores A2a da adenosina no hipocampo: modulação de neuromoduladores?,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mecanismos moleculares da amiloidogenese por transtirretina.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Caracterização molecular dos mecanismos de tradução não padrão na levedura patogénica Candida albicans,,,,,,,,,,,,,,,,,,,,,,,
NULL,Alterações genéticas e do ciclo celular no esófago de Barrett: Evidência para uma origem clonal e efeito da terapêutica intensiva do refluxo,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Património Urbano, Espaço Público e Protagonismo das Cidades. As Metrópoles de Lisboa e do Porto no dealbar do sec.XXI",,,,,,,,,,,,,,,,,,,,,,,
NULL,Métodos Estatísticos e Algoritmos para Avaliação do Desempenho de Optimizadores Multiobjectivo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Processamento de informação visual: Ao encontro dum algoritmo para a diferenciação do movimento,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo teórico do comportamento de ácidos monopróticos em solventes mistos água/álcool,,,,,,,,,,,,,,,,,,,,,,,
NULL,Patogenia molecular da infecção por gammaherpesvirus-68 em Murganhos,,,,,,,,,,,,,,,,,,,,,,,
NULL,Fisiopatologia da disfunção diastólica: Do modelo animal à prática clínica.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mecanismos moleculares e iónicos subjacentes à secreção pulsátil de insulina,,,,,,,,,,,,,,,,,,,,,,,
NULL,O Óxido Nítrico é um factor determinante na insulino-resistência secundária a lesão do sistema parassimpático hepático,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Glicosilação das mucinas na mucosa gástrica normal, metaplasia intestinal, carcinoma gástrico e linhas celulares de carcinoma gástrico: papel das glicosiltransferases e das apomucinas",,,,,,,,,,,,,,,,,,,,,,,
NULL,GANESH - Ambiente Modular e Distribuído de Ensino de Ciência de Computadores,,,,,,,,,,,,,,,,,,,,,,,
NULL,Reacções Nucleares de Nucleosíntese Primordial e Estelar: Estudo Experimental e Teórico,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudos de microemulsões por técnicas de óptica não linear,,,,,,,,,,,,,,,,,,,,,,,
NULL,Concepção de processos: Desenvolvimento de sistema pericial para a concepção de processos de tratamentos de águas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Caracterização dinâmica de juntas por análise de sub-estruturas,,,,,,,,,,,,,,,,,,,,,,,
NULL,A formação das elites e redes clientelares. Uma observação centrada em Évora (séculos XIV - XV),,,,,,,,,,,,,,,,,,,,,,,
NULL,"Sobre os Mecanismos que Governam a Activação do Regulador Transcricional oG Específico do Presporo, Durante o Desenvolvimento em Bacillus Subtillis",,,,,,,,,,,,,,,,,,,,,,,
NULL,Resolução Eficiente de Modelos de Optimização Disjunctiva Convexa,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mobilização colectiva e cooperação interorganizacional no caso dos projectos de urbanismo comercial.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Relação estrutura-função de hidrolases de serina em meios não convencionais,,,,,,,,,,,,,,,,,,,,,,,
NULL,Ética do Desporto (1974 - 1997). Análise Sociológica aos Valores Orientadores da Acção no Sistema Desportivo Português.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Processos Sedimentares e Conservação de Sapais no Estuário do Tejo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Função Ecológica dos Sapais do Estuário do Tejo e Respostas a Constrangimentos Futuros,,,,,,,,,,,,,,,,,,,,,,,
NULL,Metodologias para o Desenvolvimento do Parque Natural Hidrogeológico de Moura,,,,,,,,,,,,,,,,,,,,,,,
NULL,A Autonomia Visível das Raparigas e a Desafectação dos Rapazes na Escola ?,,,,,,,,,,,,,,,,,,,,,,,
NULL,A Auditoria de Género como Instrumento de Mainstreaming: Uma Estratégia de Igualdade de Oportunidades Inovadora em Portugal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mulheres e Cidadania: A Construção do Gender Gap,,,,,,,,,,,,,,,,,,,,,,,
NULL,Novas Paisagens: um estudo de caso sobre os condomínios fechados na área da Grande Lisboa,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Intermediários Culturais, Espaço Público e Cultura Urbana. Um estudo sobre a influência dos circuitos culturais globais em algumas cidades portuguesas.",,,,,,,,,,,,,,,,,,,,,,,
NULL,Perna-Longa (Himamtopus himantopus) como Bioindicador da Poluição por Mercúrio em Zonas Húmidas Costeiras,,,,,,,,,,,,,,,,,,,,,,,
NULL,Saturnismo em Populações Portuguesas de Anatídeos e Ralídeos. Impacto nas suas Taxas de Sobrevivência e Acumulação de Chumbo nas Rapinas suas Predadoras,,,,,,,,,,,,,,,,,,,,,,,
NULL,Delineamento de Métodos de Selecção de Áreas para Conservação da Biodiversidade em Portugal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Adaptação de Sistemas Tradicionais de Protecção dos Rebanhos para a Conservação da Natureza: A Recuperação dos Cães de Gado,,,,,,,,,,,,,,,,,,,,,,,
NULL,Dicionário no Feminino - Séculos XIX - XX,,,,,,,,,,,,,,,,,,,,,,,
NULL,Promoção do Ensino da Língua Portuguesa em Moçambique: Práticas Pedagógicas e Materiais Curriculares,,,,,,,,,,,,,,,,,,,,,,,
NULL,Metodologia de avaliação do risco ecológico,,,,,,,,,,,,,,,,,,,,,,,
NULL,Processamento automático e estratégico na fobia social,,,,,,,,,,,,,,,,,,,,,,,
NULL,Catálise Estereosselectiva de Reacções de Hidroformilação e Hidrogenação por Transferência de Hidrogénio de Olefinas Proquirais: Preparação de Produtos com Interesse Farmacológico,,,,,,,,,,,,,,,,,,,,,,,
NULL,Sintese Orgânica em Liquidos Iònicos de Temperatura Ambiente,,,,,,,,,,,,,,,,,,,,,,,
NULL,Papel da dopamina e 5-hidroxitriptamina no metabolismo hidroelectrolítico na doença inflamatória intestinal humana e no rato,,,,,,,,,,,,,,,,,,,,,,,
NULL,Doença residual mínima em produtos hematopoiéticos de doentes com carcinoma da mama submetidos a transplantação autóloga,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo transcultural da depressão pós parto em sistemas de saúde europeus: concertação de métodos de investigação e promoção da saúde materno-infantil ( estudo relativo a Portugal),,,,,,,,,,,,,,,,,,,,,,,
NULL,Codificação e Transmissão de Vídeo em Redes Sem Fios,,,,,,,,,,,,,,,,,,,,,,,
NULL,QoS II - Qualidade de Serviço em Sistemas de Comunicação por Computador,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Avaliação das Dependências Temporais de Sistemas de Tempo-Real Distribuídos e Tolerantes a Falhas, Avaliação das Dependências Temporais de Sistemas de Tempo-Real Distribuídos e Tolerantes a Falhas",,,,,,,,,,,,,,,,,,,,,,,
NULL,Tabelação e revisão num ambiente prolog distribuído,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mnemosyne - Reciclagem Automática de Memória em Sistemas Distribuídos Transaccionais com Objectos Persistentes,,,,,,,,,,,,,,,,,,,,,,,
NULL,Especificidade de Toxinas Peptídicas e sua Relação com a Estrutura Membranar,,,,,,,,,,,,,,,,,,,,,,,
NULL,Produção de Sensores para Aplicação em Redes Inteligentes de Controlo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Expressão Genética em 4 dimensões,,,,,,,,,,,,,,,,,,,,,,,
NULL,Física e Química das Nano-Estruturas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Transições a Dois Fotões em Sistemas Atómicos Multi-Electrónicos,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Produção de Partículas em Colisões Hadrónicas, Produção de Partículas em Colisões Hadrónicas",,,,,,,,,,,,,,,,,,,,,,,
NULL,Cálculo das Propriedades dos Hadrões em QCD não perturbativa,,,,,,,,,,,,,,,,,,,,,,,
