acronym,title,projectUrl
SIE2,Science in Europe 2,
SUNLIGHT,Solution-processed nanocrystal photovoltaics from environmentally benign and earth-abundant elements,
CIA4OPM,Optimising the policy mix by the development of a common methodology for the assessment of (socio-) economic impacts of RTDI public funding,
DECOST,Diesel Engine Cold Start and Transient Improvement,
COEL,Numerical study of dynamics and magnetic properties of strongly correlated electron systems,
ELECTROWEAK,ELECTROWEAK PROCESSES IN SYSTEMS BOUND BY THE STRONG INTERACTION,
WARP-5,Coherent Broadband Networks Embedding Smart Photonics for Cost-Effective Quintuple-Play,
TROJA,Targeting Receptors Of Jointly Assembled Ligand-Drug Constructs,
STEM CELLS FOR DMD,Novel strategies for the cell therapy of muscular dystrophies,
SPATIODIVERSITY,Towards a Unified Spatial Theory of Biodiversity,
TICE,TRANSCRIPTOMICS IN CANCER EPIDEMIOLOGY,
VIRNA,Cellular biology of virus infection,
POPPHYL,Population phylogenomics: linking molecular evolution to species biology,
SYSARC,Systems Biology to understand Plant Architecture,
CELLDOCTOR,Quantitative understanding of a living system and its engineering as a cellular organelle,
ALK7,"Metabolic control by the TGF-² superfamily receptor ALK7: A novel regulator of insulin secretion, fat accumulation and energy balance",
CONTACTS,Traces of contact: Language contact studies and historical linguistics,
INFRAVEC,Research capacity for the implementation of genetic control of mosquitoes,
CORYPHEE,"Cold Rydbergs: photoionization, electronic spectroscopy and electrostatic trapping",
DARE,Soil   Foundation   Structure  Systems Beyond  Conventional Seismic    Failure   Thresholds: Application  to  New  or  Existing Structures  and  Monuments,
OUTREACH,"Overlooked Unresolved Toxic Organic Pollutants: Resolution, Identification, Measurement and Toxicity:OUTREACH",
TMSS,Topology of Moduli Spaces and Strings,
MASC,MASC: Materials that Impose Architecture within Stem Cell Populations,
NEW ORGANOMETALLICS,Preparation of polyfunctional organometallics: new key intermediates for synthetic organic chemistry,
TRAFFIC IN SKM,Study of the involvement of secretory pathway in skeletal muscle differentiation,
HERL,Large Scale Machine Learning for Simultaneous Heterogeneous Tasks,
QORE,Quantum Correlations,
REGAIP,AIP gene regulation and its implications in pituitary tumorigenesis,
CARHAY2011,"""Design, Manufacturing and Impact Testing of Advanced Composite Materials""",
RETROMER,The mechanism of retrograde trafficking by retromer,
LIBPR,Liberating Programming,
VR STROKE REHAB,Virtual Reality Intervention for Stroke Rehabilitation,
ATMNUCLE,Atmospheric nucleation: from molecular to global scale,
SSRR,Smart Structured Rotating Reactors,
INTIF,Inorganic nanotubes and fullerene-like materials: new synthetic strategies lead to new materials,
APPROXNP,Approximation of NP-hard optimization problems,
SOCATHES,Solid State/Cold Atom Hybrid Quantum Devices,
EBSSYN,A joint EC/NEA EBS project synthesis report,
HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de
IRMA,Industrial Research Monitoring and Analysis,
EUFRAT,European Facility for innovative reactor and transmutation neutron data,
CONTENT,Convergence of wireless Optical Network and iT rEsources iN supporT of cloud services,
WELCOME II,Promoting the Return of Researchers to ERA,
PISA,"Procedures In Simple Arithmetic: 
neural implementation and development",
MICROSOCIOGENOMYX,Quantifying the roles that evolutionary forces play in shaping genomic and social divergence in natural populations of the cooperative bacterium Myxococcus xanthus,
GUTENCODE,Decoding the transcriptional networks controlling the adult Drosophila midgut compartmentalization,
FUNCTOPROLASYMMCAT,Application of Functionalised Oligoprolines in Asymmetric Catalysis,
MOLCHARAVITIS,Study of the molecular mechanisms involved in the beneficial effect of high CO2 levels to preserve table grape quality during the storage at low temperature,
RAVEN,Research into Various Exact and Numerical Aspects of Critical Phenomena,
CLIMBING,Climate and nutrient impacts on lake biodiversity and ecosystem functioning,
ULTRADEX,Ultrafast energy transfer and dissipation in electronically excited materials: calculations from first principles,
XENO-AUTOANTIBODIES,Immune Recognition of Xeno-Glycans,
IMPRESSIONS,Impacts and risks from higher-end scenarios: Strategies for innovative solutions,
SFM,Supervision in Factor Models: Improving Economic Forecasts,
PRIPAR,Early Modern Private Partnerships and Company Law in the Meuse-Rhine Region,
NOTOX,Predicting long-term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu
HEAR-EU,High-resolution image-based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu
ALTERNATIVE OXIDASE,Investigating the roles of the mitochondrial alternative oxidase of Ciona intestinalis,
REGENESYS,Multi-source regenerative systems power conversion - REGENESYS,
PICS,Development of innovative ALD materials and tools for high density 3D integrated capacitors,
ATYPICALWORKPATTERNS,"""Atypical Works in Pre-Industrial Europe. Pluriactivity, Mobility and Social Identities""",
IRMFC,Development of a Portable Internal Reforming Methanol High Temperature PEM Fuel Cell System,
TA101-GOCLIN,Clinical development of TA-101 for the treatment of rheumatoid arthritis,
HELENLP,Heterogeneous Learning for Natural Language Processing,
CARDIAC ABC'S,Role of the ATP-Binding Cassette Transporter Abcg2 in Cardiac Regeneration,
ORIGIN,"""The model plant system Trithuria (Hydatellaceae), a new window into the origin of flowering plants and gene function""",
COTEVOS,"""Concepts, Capacities and Methods for Testing EV systems and their interOperability within the Smartgrids""",
PERSEUS,3D modelling of the performance and variability  of high electron mobility transistors for future digital applications,
TESTHEMAS,Design and Implementation of a Load Simulator Rig and Ground Test Bench Adaptation Kit for a HEMAS Test Rig,
URBEN,Linking urban design and health issues: an interdisciplinary approach,
MIDPREP,Preparing for MID-SKA receiving concepts in South-Africa,
SODSAT,Remote precision management of turf grass sod production by means of artificial intelligence and satellite imaging,
EULOSAM,"""Design and Manufacturing of Baseline Low-Speed, Low-Sweep Wind Tunnel Model""",
VELO MOLO_780,VEry LOw jitter MOde LOcked laser at 780nm for optical sampling applications,
SMARTCAT,"""Systematic, Material-oriented Approach using Rational design to develop break-Through Catalysts for commercial automotive PEMFC stacks""",
ANGIOBLOCK,Testing a novel target for anti-angiogenesis therapy in the eye,
E4-CRITMAT,Engineering of Energy Efficient Extraction of Critical Materials- Application to the Processing of Niobium and Tantalum Minerals,
GAMMA,Global ATM security management,http://www.gamma-project.eu/
AQUAPHAGE,Network for the development of phage therapy in aquaculture,
PVICOKEST,INTERNATIONAL COOPERATIVE PROGRAMME FOR PHOTOVOLTAIC KESTERITE BASED TECHNOLOGIES,
NICAIA,Nature Inspired Computation and its Applications,
AGGREGATION,Cellular protein damage control: interactomic analyses of MOAG-4 in C. elegans,
ODYSSEY,Strategic pan-European ballistics intelligence platform for combating organised crime and terrorism,http://odyssey-project.eu
AIM,"A novel architecture for modelling, virtualising and managing the energy consumption of household appliances",
PIMIC,Power and Institutions in Medieval Islam and Christendom. An integrated training in research and diffusion for comparative history,
SAGT,Self-adjusting gravity table using imaging analysis for quality control,
SUSPHOS,A European Training Network for Sustainable Phosphorus Chemistry,
ATTOTRON,Attosecond Electron Processes in Solids,
HIPPOCAMP,High-power Impulse Plasma Process Operations for the Creation of Advanced Metallic Parts,http://www.hippocamp.eu/
AEVIOM,Advanced experimentally validated integrated OLED model for a breakthrough in high-performance OLED technology,http://www.aeviom.eu
INTERACTIONS,"""Investigation of the interaction between external stimulation and ongoing brain activity in cortical networks: analysis, modeling and empirical corroboration""",
PEROXISCOPY,Morphogenesis of de novo peroxisome formation,
NAVICHEB,NEW ADVANCED VACCINES IN CHRONIC HEPATITIS B,
3DPRESENCE,3DPresence,
QUANTIP,Quantum integrated photonics,
EVOLVDSO,Development of methodologies and tools for new and evolving DSO roles for efficient DRES integration in distribution networks,
SMARTPRODUCTS,Proactive knowledge for smart products,
FLHEA,FLAX AND HEMP ADVANCED FIBER BASED COMPOSITES,
CESSAMAG,CERN-EC Support for SESAME Magnets,
COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://www.ncp-space.net
WATERS,Strategic partnership for improved basin-scale water quality parameter retrieval from optical signatures,
AQUAEXCEL,AQUAculture infrastructures for EXCELLence in European Fish research,
SIEAVD,Systems Imaging of Emerging Asymmetry in Vertebrate Development,
BIOMED,New Horizons Biomedical Informatics Observatories in Mediterranean Region,
SECURE-R2I,Reinforcing cooperation with Eastern Partnership countries on bridging the gap between research and innovation for inclusive and secure societies,
NANODATACENTERS,Nano data centres,
HYPOLED,High-performance OLED-microdisplays for mobile multimedia HMD and micro-projection applications,http://www.hypoled.org/
PROSE,Promoting standardisation for embedded systems,
PRISM,Privacy-aware Secure Monitoring,
MEMI,Micro-mirror enhanced micro-imaging,
20-20 3D MEDIA,20-20 3D Media: Spatial sound and vision,
HELIUM3D,High efficiency laser-based multi-user multi-modal 3D display,http://www.cse.dmu.ac.uk/~mutedusr/
MD3,Material development for double exposure and double patterning,
PII,Pan-European laboratory infrastructure implementation,
HATS,Highly adaptable and trustworthy software using formal models,
VISMASTER CA,Visual analytics - Mastering the information age,
VAALID,Accessibility and usability validation framework for AAL interaction design process,
MINISURG,Miniaturized stereoscopic distal imaging sensor for minimally invasive surgery,http://minisurg.org/
GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/
ISURF,An interoperability service utility for collaborative supply chain planning across multiple domains supported by RFID devices,
SELF-NET,Self- management of cognitive future internet elements,
LOCON,Platform for an inter-working of embedded localisation and communication systems,
HERMES,High density integration by embedding chips for reduced size modules and electronic systems,
IMVIS,Immersive multi-view system for co-located collaboration,http://www.imvis-eu.org/
SWIFT,Secure widespread identities for federated Telecommunications,
EPAL,Extending professional active life,
FOX,Foundations of XML - safe processing of dynamic data over the Internet,
DRIVER II,Digital repository infrastructure vision for European research,
DIADEM,Distributed information acquisition and decision-making for environmental management,
UNILHC,UNIFICATION IN THE LHC ERA,
QWECI,Quantifying Weather and Climate Impacts on Health in Developing Countries,
STAR,Science in Trieste And Researchers,
PROSIT,Science and everyday life in Trieste,
CERES,CEI Research Fellowship Programme,
FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/
ULTRATENDER,Non-Invasive high power ultrasound (HPU) processing method for meat tenderization,
HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/
PLEASURE,"""Novel Processing approaches for the development of food products Low in fAt, Salt and sUgar""",http://www.pleasure-fp7.com/
SHOCKMEAT,Development of Shock Wave Technology for Packed Meat,http://www.shockmeat.eu
RECAPT,Retailer and Consumer Acceptance of Promising Novel Technologies and Collaborative Innovation Management,http://www.recapt.org
HST-FOOD-TRAIN,"""Science based precision processing for future healthy, structured and tasteful fruit and vegetable based foods:  an integrated research and training program.""",
WATERGOLF,Wireless distributed intelligent system for irrigation optimisation and early turf disease prevention and treatment on Golf Courses,
UNDERSAFE,"""Wireless intelligent system for environmental evaluation, safety monitoring and guidance for recreational and Ecotourism underground activities""",
TACMON,DEVELOPMENT OF A LOW-COST INTERACTIVE GRAPHICAL TACTILE DISPLAY CAPABLE OF DISPLAYING TEXTUAL AND GRAPHICAL INFORMATION AS ADVANCED USER INTERFACE FOR THE VISUALLY IMPAIRED,http://www.tacmon.eu/new/
MAVEN,Management and Authenticity Verification of multimedia contENts,
TACMON2,Development of a very low-cost Interactive Graphical Tactile Display as advanced user interface for visually impaired,
EAGLE,"""Development and demonstration of a dynamic, web-based, renewable energy rating platform""",http://www.eagle-fp7.eu
RENEWX,"""Development and demonstration of compact, multi-source heat eXchanger technologies for renewable energy applications""",
CLICO,"""Climate Change, Hydro-conflicts and Human Security""",http://www.clico.org/
MOVE,Methods for the improvement of  Vulnerability Assessment in Europe,
CATALYST,"Capacity Development for Hazard Risk Reduction and
Adaptation",
EMBRACE,Building Resilience Amongst Communities in Europe,
ACRIMAS,Aftermath Crisis Management System-of-systems Demonstration,http://www.acrimas.eu/
FUTURENANONEEDS,Framework to respond to regulatory needs of future nanomaterials and markets,http://www.futurenanoneeds.eu
SUCCESS,Industrial steam generation with 100% carbon capture and insignificant efficiency penalty - Scale-Up of oxygen Carrier for Chemical-looping combustion using Environmentally SuStainable materials,
GRID+,Supporting the Development of the European Electricity Grids Initiative (EEGI),
AGRICAB,A framework for enhancing EO capacity for Agriculture and Forest Management in Africa as a contribution to GEOSS,
HI-FRE,Efficient membrane filtration units with integrated High Frequency Backpulsing device,http://www.hi-fre.eu
MIRACLES,Multi-product Integrated bioRefinery of Algae: from Carbon dioxide and Light Energy to high-value Specialties,
DIBBIOPACK,"""DEVELOPMENT OF INJECTION AND BLOW EXTRUSION MOLDED BIODEGRADABLE AND MULTIFUNCTIONAL PACKAGES BY NANOTECHNOLOGY: IMPROVEMENT OF STRUCTURAL AND BARRIER PROPERTIES, SMART FEATURES AND SUSTAINABILITY""",
MS.MONINA,Multi-scale Service for Monitoring NATURA 2000 Habitats of European Community Interest,http://www.ms-monina.eu/home
MERITS,More Effective use of Renewables Including compact seasonal Thermal energy Storage,
PASODOBLE,Promote Air Quality Services integrating Observations – Development Of Basic Localised Information for Europe,http://www.myair-eu.org/
BIOMARGIN,Biomarkers of renal graft injuries in kidney allograft recipients,
DEVCOCAST,GEONETCast for and by Developing countries,
O4S,"""Sustainable surfactant production from renewable resources through natural fermentation for applications in natural, organically-certified products""",
CHEMWATER,"""Coordinating European Strategies on Sustainable Materials, Processes and Emerging Technologies Development in Chemical Process and Water Industry across Technology Platforms""",
PROSPARE,PROgress in Saving Proteins And Recovering Energy,http://www.prospare.eu/
OCEAN-CERTAIN,Ocean Food-web Patrol – Climate Effects: Reducing Targeted Uncertainties with an Interactive Network,
DEMCAMER,Design and Manufacturing of Catalytic Membrane Reactors by developing new nano-architectured catalytic and selective membrane materials,
SOLUTIONS,Solutions for present and future emerging pollutants in land and water resources management,
NAMETECH,Development of intensified water treatment concepts by integrating nano- and membrane technologies,
STALLION,Safety Testing Approaches for Large Lithium-Ion battery systems,
EUROECOTOX,EUROPEAN NETWORK FOR ALTERNATIVE TESTING STRATEGIES IN ECOTOXICOLOGY,
TDSEXPOSURE,Total Diet Study Exposure,http://www.tds-exposure.eu/
HETMOC,Highly Efficient Tubular Membranes for Oxy-Combustion,
LUMAN,Land Use Modelling and Analysis Network,
OBELIX,OBesogenic Endocrine disrupting chemicals: LInking prenatal eXposure to the development of obesity later in life,http://www.theobelixproject.org
MARCOPOLO,"""Monitoring and Assessment of Regional air quality in China using space Observations,
Project Of Long-term sino-european co-Operation""",
RAMSES,"""Reconciling Adaptation, Mitigation and Sustainable Development for Cities""",
FC-DISTRICT,New µ-CHP network technologies for energy efficient and sustainable districts,http://www.fc-district.eu
STEP-UP,STEP-UP - Strategies Towards Energy Performance and Urban Planning,
S2BIOM,Delivery of sustainable supply of non-food biomass to support a “resource-efficient” Bioeconomy in Europe,
4FUN,The FUture of FUlly integrated human exposure assessment of chemicals: Ensuring the long-term viability and technology transfer of the EU-FUNded 2-FUN tools as standardised solution,
MAT4BAT,Advanced materials for batteries,
WATER4CROPS,Integrating bio-treated wastewater with enhanced water use efficiency to support the Green Economy in EU and India,
EUFAR2,European Facility for Airborne Research in Environmental and Geo-sciences,
E-HUB,Energy-Hub for residential and commercial districts and transport,http://www.e-hub.org/
ISAC,Information Service on Agricultural Change,http://www.gmes-isac.info/index.html
COPHES,European coordination action on human biomonitoring,
INFLUENCE,Interfaces of Fluid Electrodes: New Conceptual Explorations,
WHEY2FOOD,Enhanced protein fractionation from protein sources for their use in special food applications,http://www.whey2food.eu/
GOODWATER,RESEARCH TRAINING FOR GOOD EUROPEAN GROUND WATER RESOURCES,
NANOPUR,Development of functionalized nanostructured polymeric membranes and related manufacturing processes for water purification,
INNOCUOUS,Innovative Oxygen Carriers Uplifting chemical-looping combustion,
E4WATER,Economically and Ecologically Efficient Water Management in the European Chemical Industry,
AMCOR,Additive Manufacturing for Wear and Corrosion Applications,
ELYGRID,Improvements to  Integrate High Pressure Alkaline Electrolysers for Electricity/H2 production from Renewable Energies to Balance the Grid,
ELECTROENZEQUEST,BioElectrochemical system for Enzyme catalyzed CO2 sEquestration for the recovery of commercially viable carbonated water and methanol,
CONDUCTMEM,Development of a conductive membrane that generates oxidising surface to prevent biofilm formation and fouling,
AXLR8,Accelerating the transition to a toxicity pathway-based paradigm for chemical safety assessment through internationally coordinated research and technology development,
BIOINTENSE,Mastering bioprocess Integration and intensification across scales,
AIRBEAM,AIRBorne information for Emergency situation Awareness and Monitoring,
ALAS,Adaptive laser cladding system with variable spot sizes,
BIO-ELECTRO-ETHYLENE,Integrated Bio-Electrochemical Production of Ethylene through CO2 sequestration,
PHOSFARM,Process for sustainable phosphorus recovery from agricultural residues by enzymatic process to enable a service business for the benefit of European farm community,
INFORM,Improved monitoring and forecasting of ecological status of European INland waters by combining Future earth ObseRvation data and Models,
NOSHAN,Sustainable Production of Functional and Safe Feed from Food Waste,http://www.noshan.eu/index.php/en/
GEOLAND2,geoland2 - towards an operational GMES Land Monitoring Core Service,http://www.gmes-geoland.info
NANOVALID,"""Development of reference methods for hazard identification, risk assessment and LCA of engineered nanomaterials""",http://www.nanovalid.eu
SUCCIPACK,"""Development of active, intelligent and sustainable
food PACKaging using PolybutyleneSUCCInate""",http://www.succipack.eu
REFRASORT,Innovative Separation Technologies for High Grade Recycling of Refractory Waste using non destructive technologies,
IRCOW,Innovative Strategies for High-Grade Material Recovery from Construction and Demolition Waste,
ADVOCATE,Advancing Sustainable In Situ Remediation for Contaminated Land and Groundwater,
EUFAR,EUROPEAN FACILITY FOR AIRBORNE RESEARCH IN ENVIRONMENTAL AND GEOSCIENCE,
INFLAME,Indoor Contamination with Flame Retardant Chemicals: Causes and Impacts,
BACCHUS,Beneficial effects of dietary bioactive peptides and polyphenols on cardiovascular health in humans,http://www.bacchus-fp7.eu/
IP4PLASMA,Industrial innovations based on EU intellectual property assets   in the field of atmospheric plasma technology,
IMPACTMIN,Impact Monitoring of Mineral Resources Exploitation,
OFFICAIR,On the reduction of health effects from combined exposure to indoor air pollutants in modern offices,
HIGHROC,High spatial and temporal resolution Ocean Colour coastal water products and services,
CERAWATER,Fouling resistant ceramic honeycomb nanofilters for efficient water treatment,
BIOCONSEPT,Integration of Bio-Conversion and Separation Technology for the production and application of platform chemicals from 2nd generation biomass,
SEISMIC,"""SEiSMiC, Societal Engagement in Science, Mutual learning in Cities""",
QUALITYNANO,A pan-European infrastructure for quality in nanomaterials safety testing,
AQUAREHAB,Development of rehabilitation technologies and approaches for multipressured degraded waters and the integration of their impact on river basin management,
BERST,BioEconomy Regional Strategy Toolkit,
RESFOOD,RESOURCE EFFICIENT AND SAFE FOOD PRODUCTION AND PROCESSING,
HYDRO-COAT,Novel high-pressure water hydraulic equipment for application in the construction and mining sector,http://www.hydrocoat.eu
AQUAFIT4USE,"""Water in Industry, Fit-for-Use Sustainable Water Use in Chemical, Paper, textile and Food Industry""",
APPRAISAL,Air Pollution Policies foR Assesement of Integrated Strategies At regional and Local scales,
PLASMANICE,Atmospheric Plasmas for Nanoscale Industrial Surface Processing,http://hlab.ee.tut.fi/plasmanice/
REAPOWER,Reverse Electrodialysis Alternative Power Production,
SMARTGRIDS ERA-NET,SmartGrids ERA-NET,
PASTA,PHYSICAL ACTIVITY THROUGH SUSTAINABLE TRANSPORT APPROACHES,
ECODISTR-ICT,Integrated decision support tool for retrofit and renewal towards sustainable districts,
RESELYSER,Hydrogen from RES: pressurised alkaline electrolyser with high efficiency and wide operating range,
GARNET-E,GMES for Africa: Regional Network for Information Exchange and Training in Emergencies,http://www.gmes-garnete.net/
LNG BLUE CORRIDORS,LNG-BC: Liquefied Natural Gas Blue Corridors,
INDIA SI HOUSE,INDIA-EU JOINT HOUSE FOR SCIENCE & INNOVATION,
BAT4MED,Boosting Best Available Techniques in the Mediterranean Partner Countries,
UPSOIL,"""Sustainable Soil Upgrading by Developing Cost-effective, Biogeochemical Remediation Approaches""",
ARTS,Accelerating and Rescaling Transitions to Sustainability,
CITY-ZEN,"""City-zen, a balanced approach to the city of the future""",
MINOTAURUS,"""Microorganism and enzyme Immobilization: NOvel Techniques and Approaches for Upgraded Remediation of Underground-, wastewater and Soil""",
S3C,Smart Consumer - Smart Customer – Smart Citizen,
ADDRESS,Active Distribution networks with full integration of Demand and distributed energy RESourceS,
NACLIM,North Atlantic Climate: Predictability of the climate in the North Atlantic/European sector related to North Atlantic/Arctic sea surface temperature and sea ice variability and change,http://www.naclim.eu
SOLVER,Solvent purification and recycling in the process industry using innovative membrane technology,
NEWSPEC,New cost-effective and sustainable polyethylene based carbon fibres for volume market applications,
SIGMA,Stimulating Innovation for Global Monitoring of Agriculture and its Impact on the Environment in support of GEOGLAM (SIGMA),
2BFUNTEX,BOOSTING COLLABORATION BETWEEN RESEARCH CENTRES AND INDUSTRY TO ENHANCE RAPID INDUSTRIAL UPTAKE OF INNOVATIVE FUNCTIONAL TEXTILE STRUCTURES AND TEXTILE RELATED MATERIALS IN A MONDIAL MARKET,
BCRRFPW,Bioelectrochemical CO2 Reduction and Renewable Fuels Production from Wastewater,
MICRO-FAST,"""A FAST process and production system for high-throughput, highly flexible and cost-efficient volume production of miniaturised components made of a wide range of materials""",
SAHYOG,Strengthening networking on BiomAss researcH and biowaste conversion – biotechnologY for EurOpe India inteGration,
RAPID,Reactive Atmospheric Plasma processIng - eDucation network,
DEMOCLOCK,Demonstration of a cost effective medium size Chemical Looping Combustion through packed beds using solid hydrocarbons as fuel for power production with CO2 capture,
A-TEAM,ADVANCED TOOLS FOR EXPOSURE ASSESSMENT AND BIOMONITORING,
IMAGINES,Implementation of Multi-scale Agricultural Indicators Exploiting Sentinels,http://www.fp7-imagines.eu
RESILIENT,"""coupling REnewable, Storage and ICTs, for Low carbon Intelligent Energy maNagemenT at district level""",
CORE-CLIMAX,COordinating Earth observation data validation for RE-analysis for CLIMAte ServiceS,http://coreclimax.itc.nl/
N2P,FLEXIBLE PRODUCTION TECHNOLOGIES AND EQUIPMENT BASED ON ATMOSPHERIC PRESSURE PLASMA PROCESSING FOR 3D NANO STRUCTURED SURFACES,http://www.n2p-project.eu/
ELECTRA,European Liaison on Electricity Committed Towards long-term Research Activities for Smart Grids,
RESPECT,Towards a “Topography” of Tolerance and Equal Respect. A comparative study of policies for the distribution of public spaces in culturally diverse societies,
GLOBAL VALUE,GLOBAL VALUE - Assessing the Impacts of Multinational Corporations  on GLOBAL Development and VALUE Creation,
RACIALISM,"""""""Racial thinking and relevant sciences in East-Central Europe in the decades around 1900""""""",
EUNAMUS,"""European national museums: Identity politics, the uses of the past and the European citizen""",
JAXPERTISE,"""Joint action expertise: Behavioral, cognitive, and neural mechanisms for joint action learning""",
OSTREFCOM,Human infants' preparedness for relevance-guided learning through ostensive-referential communication,
ELITES08,"""Culturally Composite Elites, Regime Changes and Social Crises in Multi-Ethnic and Multi-Confessional Eastern Europe. (The Carpathian Basin and the Baltics in Comparison - cc. 1900-1950).""",
GREEN,Global Re-ordering: Evolution through European Networks,http://www2.warwick.ac.uk/fac/soc/csgr/green/
ACCEPT PLURALISM,"""Tolerance, Pluralism and Social Cohesion. Responding to the Challenges of the 21st Century in Europe""",
RENATANTISEM,"""Nationalism and Antisemitism: A study on their relations, continuities and discontinuities from a sociological, political and historical perspective""",
ICATSEM,Institutional Changes and Trajectories of Socio-Economic development Models,http://icatsem.u-bordeaux4.fr/
INTEGRIM,Integration and international migration: pathways and integration policies,
NETWORKS,Economic Allocations in Social Networks: Evidence and Theory,
PIREDEU,Providing an Infrastructure for Research on Electoral Democracy in the European Union,
COEURE,Cooperation for European Research in Economics,
NEUJOBS,Employment 2025: How will multiple transitions affect the European labour market,http://www.neujobs.eu/
VOX-POL,Virtual Centre of Excellence for Research in Violent Online Political Extremism,
RESL.EU,Reducing Early School Leaving in the EU,
SOMICS,"Constructing Social Minds: Coordination, Communication, and Cultural Transmission",
ENACT,Enacting European Citizenship,http://enacting-citizenship.eu/
KNOWLEDGEFLOWS,"Channels and Consequences of Knowledge Flows 
from Developed Economies to Central and Eastern Europe",
NERRI,Neuro-Enhancement: Responsible Research and Innovation,
UP-KAT,Understanding Public Knowledge and Attitudes towards Trafficking in Human Beings: A Cross-National Study,
RESOCEA,Regime and Society in Eastern Europe (1956 - 1989). From Extended Reproduction to Social and Political Change,
