,title,projectUrl,acronym
114,Speculative and exploratory design in systems engineering,http://www.speeds.eu.com/,SPEEDS
116,Image-based navigation in multimedia Archives,http://www.imagination-project.org/,IMAGINATION
117,Discreet Service Provision for Smart Environments,http://www.ist-discreet.org,DISCREET
118,Photonic Integrated Components Applied to Secure chaoS encoded Optical communications systems,http://picasso.di.uoa.gr/,PICASSO
119,Audiovisual systems and home platforms specific support action,http://www.ist-avista.org/,AVISTA
120,3-D-integrated micro/nano modules for easily adapted applications,http://ecubes.epfl.ch/,E-CUBES
121,Generic manufacturing and design technology platforms based on novel RF technologies,http://www.rfplatform.info,RF-PLATFORM
122,Advanced Research and Technology for Embedded Intelligence Systems Operational Support,http://www.artemis-office.org,ARTEMISOS
123,Multi-User 3D Television display,http://www.muted3d.eu/,MUTED
124,image Indexing and reTrievAl in the LArge Scale,http://vitalas.ercim.org/,VITALAS
125,Resilience for survivability in IST,http://www.resist-noe.org,RESIST
126,Collaboration@Rural : A collaborative platform for working and living in rural areas,http://www.c-rural.eu,C@R
127,Human monitoring and authentication using biodynamic indicators and behavioural analysis,http://www.humabio-eu.org,HUMABIO
128,Portable Interactivity,http://www.portivity.org/,PORTIVITY
130,SEVENPRO - Semantic Virtual Engineering Environment for Product Design,http://www.sevenpro.org,SEVENPRO
131,Digital factory for human oriented Production System,http://www.difac.net/,DIFAC
132,Direct Video & Audio Content Search Engine,http://www.ist-divas.eu/,DIVAS
133,High-speed Electro-optical Components for integrated Transmitter and receiver in Optical communications,http://www.hecto.eu/,HECTO
134,Advanced patent document processing techniques,http://www.patexpert.org,PATEXPERT
135,Virtual ISP,http://www.visp-project.org/,VISP
137,hArtes holistic approach to reconfigurable real time embedded systems,http://www.hartes.org,HARTES
139,Providing Real Integration in Multi-disciplinary Environments,http://www.prime-time4all.com/,PRIME
140,Antenna centre of excellence,http://www.antennasvce.org/,ACE
141,Policy based Management of heterogeneous Networks for guaranteed QoS,http://www.netqos.eu/index.php?option=com_content&task=view&id=2&itemid=3,NETQOS
143,Augmented reality in school environments,http://www.arise-project.org/,ARISE
145,Requirements-driven software development system,http://www.redseeds.eu/,REDSEEDS
146,Semantic interaction with music audio contents,http://www.semanticaudio.org/,SIMAC
147,All-optical label swapping employing optical logic gates in network nodes,http://www.ist-lasagne.org,LASAGNE
148,Opportunistic Radio Communications in unLicensed Environments,http://www.ist-oracle.org,ORACLE
149,Advanced MEMS For RF and Millimeter Wave Communications,http://www.amicom.info/index.php,AMICOM
150,Assisting Chinese participation in Converging systems,http://dea.brunel.ac.uk/partake/,PARTAKE
151,Innovative collaborative work environments for individuals and teams in design and engineering,http://www.cospaces.org,COSPACES
154,Networked Embedded System middleware for heterogeneous physical devices in a distributed architecture,http://www.hydra.eu.com,HYDRA
157,Linked European archives for Ethno-musicological research,http://www.ethnoarc.org/,ETHNOARC
158,A roadmap for software ICT-enabled Micro/Nano-Biotechnology Applications,http://not yet available,NANOWAYS
160,eMobilty - Specific Support Action,http://www.emobility.eu.org,EMOBILTY-SSA
161,eTraining for interpreting images of man made scenes,http://www.ipb.uni-bonn.de/projects/etrims/index.html,ETRIMS
164,The Future of Identity in the Information Society,http://www.fidis.net/,FIDIS
165,"End-to-end QoS through Integrated Management of content, networks and terminals",http://www.ist-enthrone.org/,ENTHRONE
167,"Componentware for autonomic, situation-aware communications and dynamically adaptable services",http://www.cascadas-project.org/projectdata.html,CASCADAS
168,Advanced MBMS for the future mobile world,http://c-mobile.ptinovacao.pt/,C-MOBILE
169,Semantic-based Interoperability Infrastructure for Integrating Web Service Platforms to Peer-to-Peer Networks,http://www.srdc.metu.edu.tr/webpage/projects/satine/index.html,SATINE
170,Audio-visual Streaming platform for domestic Leisure and Security,http://www.ist-astrals.org/,ASTRALS
172,Comprehensive High-Accuracy Modelling of Electromagnetic Effects in Complete Nanoscale RF Blocks,http://www.chameleon-rf.org,CHAMELEON RF
173,Enhanced Networked Environment for personalised provision of AV content and appliances control information,http://www.ist-estia.org/,ESTIA
177,SANY - Sensors Anywhere,http://sany-ip.eu/,SANY
178,Semiconductor equipment assessment for NanoElectronic technologies,http://www.sea-net.info/,SEA-NET
179,Organic LEDs for ICT and Lighting Applications,http://www.olla-project.org,OLLA
181,Next generation optical network for Broadband in Europe,http://www.ist-nobel.org/,NOBEL
184,Business experiments in GRID,http://www.beingrid.eu/,BEINGRID
185,Micro-nano integrated platform for transverse ambient intelligence applications,http://www.fp6-minami.org/,MINAMI
186,Wirelessly accessible sensor populations,http://www.wasp-project.org,WASP
187,Towards integrating virtual reality and optimisation techniques in a new generation of Networked businesses in Warehouse Management Systems under constraints,http://net-wms.ercim.org/,NET-WMS
188,A semantic-based knowledge flow system for the European home textiles industry,http://www.asisknown.org/,ASISKNOWN
189,Human-expressive representations of motion and their evaluation in sequences,http://www.hermes-project.eu/,HERMES
190,A unified scalable framework for on-Line gaming,http://www.ist-olga.org/,OLGA
191,"Setting Up a Euro China co-operation for the delivery of innovative Multimedia, audiovisual interactive services towards mobile devices based on DVB and MPEG International Standards",http://www.ist-phenix.org/,PHENIX-SSA
192,"Designing advanced network interfaces for the delivery and administration of location independent, optimised personal services - II",http://www.ist-daidalos.org/,DAIDALOS II
193,"AMPLE: Aspect-Oriented, Model-Driven, Product Line Engineering",http://www.ample-project.net/,AMPLE
196,Improving display and rendering technology for virtual environments,http://www.improve-eu.info/,IMPROVE
197,New Media for a New Millennium,http://www.ist-nm2.org/,NM2
200,Association studies assisted by inference and semantic technologies,http://assist.iti.gr,ASSIST
201,Modelling solution for complex software systems,http://www.modelplex-ist.org/,MODELPLEX
202,Integrated secure platform for interactive personal devices,http://www.inspiredproject.com,INSPIRED
204,Creating ubiquitous intelligent sensing environments [Network of Excellence on the Application and Communication aspects of Wireless Sensor Networking],http://www.telecom.ece.ntua.gr/cruise/,CRUISE
205,Secure Middleware for embedded peer to Peer Systems,http://www.iaik.tugraz.at/research/vlsi/01_projects/01_smepp/index.php,SMEPP
207,Computerized Automotive Technology Reconfiguration System for mass customization,http://www.cater-ist.org/,CATER
208,Seismic Wave Propagation and Imaging in Complex media : a European network,http://www.spice-rtn.org/,SPICE
210,Pedagogically sustained adaptive Learning through the exploitation of tacit and explicit knowledge,http://palette.ercim.org,PALETTE
211,Advanced front-end Technology modelling for ultimate integrated circuits,http://www.iisb.fraunhofer.de/en/arb_geb/atomics.htm,ATOMICS
219,VIBES - Vibration energy scavenging,http://www.vibes.ecs.soton.ac.uk/,VIBES
221,Advanced grid research workshops through European and Asian co-operation,http://www.gridatasia.net/,GRID@ASIA
222,Next generation optical network for Broadband European Leadership phase 2,http://www.ist-nobel.org/,NOBEL PHASE 2
223,Autonomic Network Architectures,http://www.ana-project.org,ANA
224,Content Networks and Services for Home Users,http://www.ist-content.org/,CONTENT
225,eProfessional Collaboration Space,http://www.ip-ecospace.org,ECOSPACE
226,"Future actions on Software and services based on market analysis of market evolution, effects of international factors, and return on European Research Investment",http://www.fassbinder-project.eu/,FASSBINDER
229,Presence research in action,http://www.peachbit.org/,PEACH
230,A coordination action on ICT vulnerabilities of power systems and the relevant defence methodologies,http://grid.jrc.it,GRID
235,Retrieval of multimedia Semantic units for enhanced reusability,http://www.rushes-project.eu,RUSHES
236,Complex Automata Simulation Technique,http://www.complex-automata.org,COAST
238,Interactive Media with Personal Networked Devices,http://intermedia.miralab.unige.ch/,INTERMEDIA-NoE
239,"ACC and INCO Organisations in FP7-IST through the innovative use of the concept of ""Grid Computing""",http://www.hagridproject.net,HAGRID
240,Optics and photonics in the European research area,http://www.opera2015.org/,OPERA
241,Hydrogen-bond geared Mechanically interlocked Molecular Motors,http://catenane.net/hy3m/index.html,HY3M
242,Charged particle nanotech,http://www.charpan.com/,CHARPAN
243,Bilateral research and industrial development enhancing and integrating GRID Enabled Technologies,http://www.bridge-grid.eu/,BRIDGE
244,European and Chinese Cooperation on Grid,http://www.echogrid.eu,ECHOGRID
245,"Self-* Grid: Dynamic Virtual Organizations for schools, families, and all",http://grid4all.elibel.tm.fr/,Grid4All
246,Stretchable Electronics for large area applications,http://www.stella-project.eu,STELLA
247,Sensing Biosystems and their Dynamics in fluids with Organic Transistors,http://www.bo.ismn.cnr.it/biodot/,BIODOT
249,Advancing Clinico-Genomic Trials on Cancer: Open Grid Services for Improving Medical Knowledge Discovery,http://cordis.europa.eu/fp6/ist.htm,ACGT
250,Intelligent co-operative system in cars for road safety,http://www.iway-project.eu,I-WAY
254,"""Synthesis of Systematic Resources""",http://www.synthesys.info,SYNTHESYS
255,"AIRBORNE INTEGRATED SYSTEMS FOR SAFETY IMPROVEMENT, FLIGHT HAZARD PROTECTION AND ALL WEATHER OPERATIONS",http://www.eu-flysafe.org/Project.html,FLYSAFE
259,European Social Survey Infrastructure - Improving Social Measurement in Europe,http://www.europeansocialsurvey.org,ESSI
261,From Legacy Systems to Services in the Net,http://www.atxsoftware.co,LEG2NET
262,Code of Good Practice for Farm Animal Breeding and Reproduction,http://www.effab.org/,CODE-EFABAR
263,Strengthening public health research in Europe: call SSP-3,http://www.ucl.ac.uk/public-health/sphere/,SPHERE
266,Coordinating Noise Transportation Research and engineering solutions,http://www.cantor-online.net,CANTOR
270,breakthrougH Intelligent maps and GeograpHic tools for the context-aWAredeliverY of e-safety and added-value services,http://www.ist-highway.org,HIGHWAY
273,European RAMP metering project,http://www.euramp.org,EURAMP
276,"TRAINING AND MENTORING YOUNG SCIENTISTS FROM CANDIDATE, ASSOCIATED AND MEDITERRANEAN COUNTRIES IN A WHOLE FOOD CHAIN APPROACH TO QUALITY AND SAFETY",http://www.young-train.net/,YOUNG-TRAIN
290,Rational Design and Characterisation of Supramolecular Architectures on Surfaces,http://www.radsas.ch,RADSAS
293,Advanced Scanning PRobes for Innovative Nanoscience and Technology,http://www.asprint.science.ru.nl,ASPRINT
294,Transregional Cooperative Platform for Competitiveness in Meat Research and SMEs,http://ec.europa.eu/research/biosociety/food_quality/projects/089_en.html,TECARE
296,European platform for research on prevention and treatment of coealic disease: a multidisciplinary approach to integrate basic scientific knowledge in clinical applications and food industry,http://www.cdeussa.com,CDEUSSA
297,Establishment of European-Asian Network for the development of strategies to enhance the sustainable use of Sea Buckthorn,http://www.eanseabuck.com,EAN-SEABUCK
298,Development and application of advanced quantitative methods to ex-ante and ex-post evaluations of rural development programmes in the EU,http://www.advanced-eval.eu/,ADVANCED-EVAL
300,Suppliers Portal to Research and Innovation in Transport,http://www.sprintnetwork.ro/ro/,SPRINT
304,Central European Network for Logistics Competence,http://www.centralloco.net/,CENTRAL LOCO
309,Sustainable production technologies of emission reduced light weight car concepts,http://www.superlightcar.com,SLC
313,HUMAN centred design for Information Society Technologies,http://www.noehumanist.org,HUMANIST
314,Intelligent surveillance and management functions for airfield applications based on low cost magnetic field detectors,http://www.ismael-project.net,ISMAEL
315,Collaborative business items,http://www.cobis-online.de,COBIS
317,CO-ORDINATION OF CONCEPTS FOR NEW COLLECTIVE TRANSPORT (CONNECT),http://www.flexibletransport.eu,CONNECT
318,European collaborative networked organizations leadership initiative,http://ecolead.vtt.fi/,ECOLEAD
319,Integrated e-Services for advanced access to heritage in cultural tourist destinations,http://www.isaac-project.eu/,ISAAC
321,Intelligent distributed process utilisation and blazing environmental key,http://www.indisputablekey.com,INDISPUTABLE KEY
323,Mainstreaming on ambient intelligence,http://www.monami.info,MONAMI
325,Group of unmanned assistant robots deployed in aggregative navigation supported by scent detection,http://www.shu.ac.uk/mmvl/research/guardians/,GUARDIANS
327,Vision and Chemi-resistor equipped Web-connected finding Robots,http://www.shu.ac.uk/mmvl/research/viewfinder/,VIEW-FINDER
329,Relative positioning for collision avoidance systems,http://www.ist-reposit.org,REPOSIT
330,Advanced process-oriented self-directed learning environment,http://www.aposdle.org/,APOSDLE
331,Vital assistance for the elderly,http://www.ist-vital.org/,VITAL
336,Multifunctional bioresorbable biocompatible coatings with biofilm inhibition and optimal implant fixation,http://www.meddelcoat.eu/,MEDDELCOAT
337,New Technologies to Screen Multiple Chemical Contaminants in Foods: Biocop,http://www.biocop.org,BIOCOP
340,Multifunctional ceramic layers with high electromagnetoelastic coupling in complex geometries,http://multiceral.web.ua.pt/,MULTICERAL
342,Benefit-risk assessment for food: an iterative value-of-information approach,http://en.opasnet.org/w/beneris,BENERIS
343,Thermal Impact on the Damaged Zone Around a Radioactive Waste Disposal in Clay Host Rocks,http://www.timodaz.eu,TIMODAZ
345,MicroTechnologies for Re-launching European Machine Manufacturing SMEs,http://www.launch-micro.org/,LAUNCH-MICRO
347,European Primate Network: specialized infrastructures and procedures for biological and biomedical research,http://www.euprim-net.eu/home.htm,EUPRIM-NET
349,Valorisation of healthy lipidic micro-nutrients by optimising food processing of edible oils and fats,http://www.optimoils.com,OPTIMOILS
351,Quality of Life - Integrated Benefit and Risk Analysis Web-based Tool for Assessing Food Safety and Health Benefits,http://www.qalibra.eu,QALIBRA
353,European Network of Research Infrastructures for providing Access and Technological Advancements in bio-NMR,http://www.eu-nmr.eu/,EU-NMR
355,"Photozyme Nanoparticle applications for water purification, textile finishing, photodynamic biomineralization and biomaterial coating",http://www.photonanotech.eu/,PHOTONANOTECH
359,Development of a platform and toolkit for understanding interactions between nanoparticles and the living world,http://www.nanointeract.net/,NANOINTERACT
360,Cellular interaction and Toxicology with engineered Nanoparticles,http://www.fp6-cellnanotox.net,CELLNANOTOX
361,A specific support action to investigate the risk benefit analysis for foods,http://www.brafo.org,BRAFO
365,Radiation exposures at an early age: impact of genotype on breast cancer risk,http://generadrisk.iarc.fr,GENE-RAD RISK
366,Novel Processing Methods for the Production and Distribution of High-Quality and Safe Foods,http://www.novelq.org/default.aspx,NOVELQ
369,Genetic and environmental determinants of melanoma: translation into behavioural change,http://www.genomel.org,GENOMEL
387,LANGUAGE DYNAMICS AND MANAGEMENT OF DIVERSITY,http://www.dylan-project.org/,DYLAN
388,"Development and application of biomarkers of dietary exposure to genotoxic and immunotoxic chemicals and of biomarkers of early effects, using mother-child birth cohorts and biobanks",http://www.newgeneris.org,NEWGENERIS
391,Non-thermal production of pure hydrogen from biomass,http://www.biohydrogen.nl/hyvolution,HYVOLUTION
392,Novel Therapeutic Strategies for Tissue Engineering of Bone and Cartilage Using Second Generation Biomimetic Scaffolds,http://www.expertissues.org/,EXPERTISSUES
393,Reconciling Work and Welfare in Europe,http://www.recwowe.eu/,RECWOWE
394,Network of DER laboratories and pre-standardisation,http://www.der-lab.net/,DER-LAB
395,Role of lycopene for the prevention of cardiovascular diseases,http://www.lycocard.com,LYCOCARD
396,"Integrated genomics, clinical research and care in hypertension",http://www.hypercare.eu,INGENIOUS HYPERCARE
406,DIagnostic NAnotech and MICrotech Sensors,http://www.dinamics-project.eu,DINAMICS
407,ENFIN - an experimental network for functional integration,http://www.enfin.org/,ENFIN
408,"Chemicals as contaminants in the food chain: an NOE for research, risk assessment and education",http://www.cascadenet.org,CASCADE
409,Immunological and structural studies of prion diversity,http://immunoprion.vitamib.com,IMMUNOPRION
415,Nature-inspired micro-fluidic manipulation using artificial cilia,http://www.artic-project.eu/,ARTIC
417,Development of load-bearing fibre reinforced composite based non-metallic biomimetic bone implant,http://www.hb.se/ih/polymer/newbone/default.asp,NEWBONE
424,"Environmental cancer risk, nutrition and individual susceptibility",http://www.ecnis.org,ECNIS
425,Healthcare by biosensor measurements and networking,http://www.care-man.eu/,CARE-MAN
429,ERA-NET TRANSPORT,http://www.transport-era.net,ERA-NET TRANSPORT
433,Interface design of metal nanocluster-carbon nanotube hybrids via control of structural and chemical defects in a plasma discharge,http://www.nano2hybrids.net,NANO2HYBRIDS
435,Understanding prion strains and species barriers and devising novel diagnostic approaches,http://www.ist-world.org,STRAINBARRIER
436,Pre-normative research on solid biofuels for improved European standards,http://www.bionorm2.eu/,BIONORM II
439,European Aerosol Research Lidar Network: Advanced Sustainable Observation System,http://www.earlinet.org/,EARLINETASOS
441,Nanocrystalline heterosupermolecular materials for optoelectronic applications,http://www.iciq.es/Heteromolmat/index.html,HETEROMOLMAT
446,Innovations and impact of gut health foods: a virtual technology platform,http://www.gutimpact.net,GUTIMPACT
450,European fleet for airborne research in the field of environment and geo-sciences,http://www.eufar.net,EUFAR
452,European road transport research advisory council European road transport 2020: a vision and strategic research agenda (ERTRAC),http://www.ertrac.org/,ERTRAC
454,An optical fibre sensor based intelligent system for monitoring and control of exhaust emissions from road vehicles (OPTO-EMI-SENSE),http://www.liv.ac.uk/eee/research/rfma/optoemisense/,OPTO-EMI-SENSE
468,Comparison of conservation materials and strategies for sustainable exploitation of immovable industrial cultural heritage made of iron and steel,http://www.consist.fraunhofer.de,CONSIST
469,An innovation strategy to integrate industry needs and research capability in the European forestry-wood chain,http://www.innovawood-ssa.net,INNOVAWOOD SSA
485,ICE - Ideal Cabin Environment,http://www.ice-project.eu/page.jsp?id=905,ICE
496,Exploitation of functional food science by creating a European network of food industries,http://www.functionalfoodnet.eu/asp/,FUNCTIONALFOODNET
497,Understanding puzzles in the gendered European map brain drain in physics through the cultural looking glass,http://www.upgem.dk,UPGEM
502,Harmonising population-based biobanks and cohort studies to strengthen the foundation of European biomedical science in the post-genome era,http://www.phoebe-eu.org,PHOEBE
506,Developing a stakeholders' guide on the vulnerability of food and feed chains to dangerous agents and substances,http://www.sigmachain.eu/,ECHAIN
510,TASK-FORCE IN EUROPE FOR DRUG DEVELOPMENT FOR THE YOUNG,http://www.lifecompetence.eu/index.php/kb_1/io_440/io.html,TEDDY
513,Biological role of microRNAs in the DLK1 GTL2 imprinted domain.,http://www.fmv.ulg.ac.be/genmol/callimir_page/callimir_home.htm,CALLIMIR
516,Genetic regulation of the end-stage clotting process that leads to thrombotic stroke,http://www.euroclot.eu,EUROCLOT
525,Key factors influencing economic relationships and communication in European food chains,http://www.foodcomm-eu.net/,FOODCOMM
527,"Valuation of Environment-Related Health Impacts: Accounting for Differences Across Age, Latency and Risk Categories with a Particular Focus on Children",http://www.oecd.org/env/social/envhealth/verhi,VERHI CHILDREN
528,Encouraging Collective Farmers Marketing Initiatives,http://www.cofami.org,COFAMI
529,Near Infrared Spectroscopy Tool for Collection Surveying,http://www.science4heritage.org/survenir/,SURVENIR
531,Quality and safety of feeding fats obtained from waste or by-products from the food chain,http://www.ub.edu/feedfat/,FEEDING FATS SAFETY
532,Control of the intestinal flora in poultry for ensuring the products safety for human consumers,http://ec.europa.eu/research/biosociety/food_quality/projects/079_en.html,POULTRYFLORGUT
533,Pilot study on innovative approaches to public communication of life sciences and biotechnology by students and young researchers,http://www.biopop-eu.org/,BIOPOP
535,"Development of a new antigraffiti system, based on traditional concepts, preventing damage of architectural heritage materials",http://www.graffitage.com,GRAFFITAGE
536,Molecular approach to nanomagnets and multifunctional materials,http://www.eimm.org,MAGMANET
537,Creating competitive edge for the European polymer processing industry driving new added-value products with conducting polymers,http://www.polycond.eu/,POLYCOND
538,Fullerene-based opportunities for robust engineering: making optimised surfaces for tribology,http://www.foremost-project.org,FOREMOST
539,Innovative processes and materials to synthesise knowledge-based ultra-performance nanostructured PVD thin films on gamma titanium aluminides,http://www.innovatial.com,INNOVATIAL
541,FRom Electric cabling plans to Simulation Help.,http://www.aero-scratch.net/fresh.html,FRESH
554,"Nanologue: facilitating the dialogue between research, business and the civil society to improve the quality of life, create wealth and reduce impacts to society",http://www.nanologue.net,NANOLOGUE
555,LERU-Kids-University,http://www.leru.org,LERU-KIDS
556,Sustainable consumption research exchanges,http://www.score-network.org/score/score_module/index.php,SCORE !
559,"Rare genetic skin disease: advancing diagnosis, management and awareness through a European network",http://www.geneskin.idi.it,GENESKIN
560,"Congenital disorders of glycosylation: a European network for the advancement of research, diagnosis and treatment of a growing group of rare disorders",http://www.euroglycanet.org/,EUROGLYCANET
561,Dedicated integration and modelling of novel data and prior knowledge to enable systems biology,http://www.sbcellcycle.org,DIAMONDS
563,A prospective analysis of the mechanisms of nuclear hormone receptors and their potential as tools for the assessment of developmental toxicity,http://www.nhrdevtox.info,NHR DEVTOX
564,Genetics of Sepsis in Europe,http://www.genosept.eu/index.ecrf,GENOSEPT
565,Using European and international populations to identify autism susceptibility loci,http://www.well.ox.ac.uk/monaco/autism/molgen.shtml,AUTISM MOLGEN
570,Controlling mesoscopic phase separation,http://www.physics.ntua.gr/comephs/,COMEPHS
571,Paraneoplastic Neurological Syndromes (PNS) strengthening the European network,http://www.pnseuronet.org/index.php,PNS-EURONET2
572,Systems biology of the AMP-activated protein kinase pathway,http://www.sbi.uni-rostock.de/projects_ampkin.html,AMPKIN
573,Integrating acitivity on synchrotron and free electron laser science,http://www.elettra.eu/i3/,IA-SFS
578,VENUS TRANSIT IN JUNE 2004: EXOPLANETS AND THE SIZE OF THE WORLD,http://www.eso.org/public/outreach/eduoff/vt-2004/index.html,VENUS TRANSIT 2004
584,4th Forum of European Neuroscience,http://www.fens.org/,FENS FORUM 2004
585,Multi-brokerage system on composite and nano-composite area to build new partnership and launch project proposal in South East of Europe,http://www.ccti.ro/multibrok/,MULTIBROK
594,Developing indicators of environmental performance of the common fisheries policy,http://www.ieep.eu/projectminisites/indeco/index.php,INDECO
595,Development of novel analytic tools for the detection of marine biotoxins,http://www.biotoxmarin.de/,BIOTOXMARIN
596,Multi-stakeholder platform for sustainable aquaculture in Europe,http://www.euraquaculture.info/,CONSENSUS
599,Bio-based functional materials from engineered self-assembling peptides,http://base.cortex.nu/,BASE
611,EURopean network of excellence for OCean Ecosystems ANalysiS,http://www.eur-oceans.eu/index.php,EUR-OCEANS
612,New Approaches to Adaptive Water Management under Uncertainty,http://www.newater.info,NEWATER
613,"Mitigation of Water Stress through new Approaches to Integrating Management, Technical, Economic and Institutional Instruments",http://www.aquastress.net,AQUASTRESS
614,SEDiment bioBARriers for Chlorinated Aliphatic Hydrocarbons in groundwater reaching surface water,http://wwwa.vito.be/sedbarcah/,SEDBARCAH
619,Permanent European resource centre for informal learning,http://www.xplora.org/ww/en/pub/xplora/nucleus_home/pencil.htm,PENCIL
620,EIROforum European science teachers initiative,http://www.scienceonstage.net,ESTI
621,Strategic project management resource kit,http://www.spark-fp6.com,SPARK
625,Joint network on european private law,http://www.copecl.eu,COPECL
626,Methods of assessing response to quality improvement strategies,http://www.simpatie.org/marquis/main,MARQUIS
627,Adequacy of old-age income maintenance in the EU,http://www.enepri.org/aim,AIM
628,SMEs networking European food safety stakeholders,http://smes-net.ciaa.eu/asp/home.asp,SMES-NET
629,Dynamic land use change modelling for CAP impact assessment on the rural landscape,http://agrienv.jrc.it/lumocap,LUMOCAP
