title,projectUrl,acronym,return_code,redirect_url
Scalable software hardware architecture platform for embedded systems,http://www.shapes-p.org/,SHAPES,200,
Application bus for Interoperability in enlarged Europe SMEs,http://services.txt.it/abilities/links.html,ABILITIES,403,
Audio-Visual Content search and retrieval in a distributed P2P repository,http://www.victory-eu.org/,VICTORY,200,
Service platform for innovative communication environment,http://www.ist-spice.org,SPICE,200,
Collaborative Virtual Engineering for SMEs,http://www.pim-project.com/,COVES,[Errno -2] Name or service not known,
Advanced next generation Mobile Open Network,http://www.ist-anemone.eu,ANEMONE,200,
"Integrated polymer-based micro fluidic micro system for DNA extraction, amplification, and silicon-based detection",http://micro2dna.internet.gr,MICRO2DNA,[Errno -2] Name or service not known,
"Integrating knowledge, semantics and content for user-centred intelligent media services",http://www.acemedia.org/acemedia/,ACEMEDIA,302,http://www3.acemedia.org/
Biologically-inspired autonomic networks and services,http://www.bionets.eu/,BIONETS,200,
Web Beyond 3G,http://www.w3.org/2006/3gweb/,3GWEB,301,http://www.w3.org/2006/3GWeb/
Coordinated approacH to the EurOpean effoRt on aUdiovisual Search engines,http://www.ist-chorus.org/,CHORUS,403,
Batch integration of high-quality materials to microsystems,http://q2m.4m-net.org/,Q2M,200,
Original system for image rendition via innovative screens,http://www.osiris-project.eu/,OSIRIS,403,
Satellite communications network of excellence - Phase II,http://www.satnex.org,SATNEX-II,200,
Cell-on-chip biosensor for detection of cell-to-cell interactions,http://cochise.arces.unibo.it/,COCHISE,200,
Enhanced digital cinema,http://www.edcine.org/,EDCINE,[Errno -2] Name or service not known,
Hearing in the Communication Society,http://www.hearcom.org,HEARCOM,200,
"Mobility, Ubiquity and Security for small Devices",http://mobius.inria.fr/twiki/bin/view/Mobius,MOBIUS,[Errno -2] Name or service not known,
Ambient Networks Phase 2,http://www.ambient-networks.org,AN P2,302,
Capturing ambient intelligence for mobile communications through wireless sensor networks,http://www.ist-e-sense.org,E-SENSE,[Errno -2] Name or service not known,
Quality of Open source Software,http://www.qualoss.eu/,QUALOSS,200,
Expediting Adoption of e-working Collaborative Environments,http://www.eace-project.org/index.jsp,EACE,[Errno -2] Name or service not known,
Tencompetence: Building the European network for lifelong competence development,http://www.tencompetence.org/,TENCOMPETENCE,200,
Network of Excellence in Wireless COMmunications,http://newcom.ismb.it,NEWCOM,200,
A self-healing approach to designing complex Software Systems,http://sysrun.haifa.il.ibm.com/shadows/index.html,SHADOWS,200,
Speculative and exploratory design in systems engineering,http://www.speeds.eu.com/,SPEEDS,200,
Image-based navigation in multimedia Archives,http://www.imagination-project.org/,IMAGINATION,200,
Discreet Service Provision for Smart Environments,http://www.ist-discreet.org,DISCREET,timed out,
Photonic Integrated Components Applied to Secure chaoS encoded Optical communications systems,http://picasso.di.uoa.gr/,PICASSO,200,
Audiovisual systems and home platforms specific support action,http://www.ist-avista.org/,AVISTA,200,
3-D-integrated micro/nano modules for easily adapted applications,http://ecubes.epfl.ch/,E-CUBES,200,
Generic manufacturing and design technology platforms based on novel RF technologies,http://www.rfplatform.info,RF-PLATFORM,[Errno -2] Name or service not known,
Advanced Research and Technology for Embedded Intelligence Systems Operational Support,http://www.artemis-office.org,ARTEMISOS,200,
Multi-User 3D Television display,http://www.muted3d.eu/,MUTED,[Errno -2] Name or service not known,
image Indexing and reTrievAl in the LArge Scale,http://vitalas.ercim.org/,VITALAS,301,http://vitalas.ercim.eu/
Resilience for survivability in IST,http://www.resist-noe.org,RESIST,200,
Collaboration@Rural : A collaborative platform for working and living in rural areas,http://www.c-rural.eu,C@R,200,
Human monitoring and authentication using biodynamic indicators and behavioural analysis,http://www.humabio-eu.org,HUMABIO,200,
Portable Interactivity,http://www.portivity.org/,PORTIVITY,[Errno -2] Name or service not known,
SEVENPRO - Semantic Virtual Engineering Environment for Product Design,http://www.sevenpro.org,SEVENPRO,timed out,
Digital factory for human oriented Production System,http://www.difac.net/,DIFAC,301,http://difac.net/
Direct Video & Audio Content Search Engine,http://www.ist-divas.eu/,DIVAS,301,http://ist-divas.eu/
High-speed Electro-optical Components for integrated Transmitter and receiver in Optical communications,http://www.hecto.eu/,HECTO,403,
Advanced patent document processing techniques,http://www.patexpert.org,PATEXPERT,200,
Virtual ISP,http://www.visp-project.org/,VISP,200,
hArtes holistic approach to reconfigurable real time embedded systems,http://www.hartes.org,HARTES,301,http://canyouseeme.homestead.com/
Providing Real Integration in Multi-disciplinary Environments,http://www.prime-time4all.com/,PRIME,[Errno -2] Name or service not known,
Antenna centre of excellence,http://www.antennasvce.org/,ACE,200,
Policy based Management of heterogeneous Networks for guaranteed QoS,http://www.netqos.eu/index.php?option=com_content&task=view&id=2&itemid=3,NETQOS,404,
Augmented reality in school environments,http://www.arise-project.org/,ARISE,200,
Requirements-driven software development system,http://www.redseeds.eu/,REDSEEDS,301,http://smog.iem.pw.edu.pl/redseeds/
Semantic interaction with music audio contents,http://www.semanticaudio.org/,SIMAC,200,
All-optical label swapping employing optical logic gates in network nodes,http://www.ist-lasagne.org,LASAGNE,[Errno -2] Name or service not known,
Opportunistic Radio Communications in unLicensed Environments,http://www.ist-oracle.org,ORACLE,timed out,
Advanced MEMS For RF and Millimeter Wave Communications,http://www.amicom.info/index.php,AMICOM,timed out,
Assisting Chinese participation in Converging systems,http://dea.brunel.ac.uk/partake/,PARTAKE,404,
Innovative collaborative work environments for individuals and teams in design and engineering,http://www.cospaces.org,COSPACES,200,
Networked Embedded System middleware for heterogeneous physical devices in a distributed architecture,http://www.hydra.eu.com,HYDRA,200,
Linked European archives for Ethno-musicological research,http://www.ethnoarc.org/,ETHNOARC,200,
A roadmap for software ICT-enabled Micro/Nano-Biotechnology Applications,http://not yet available,NANOWAYS,[Errno -2] Name or service not known,
eMobilty - Specific Support Action,http://www.emobility.eu.org,EMOBILTY-SSA,301,http://www.networks-etp.eu/
eTraining for interpreting images of man made scenes,http://www.ipb.uni-bonn.de/projects/etrims/index.html,ETRIMS,200,
The Future of Identity in the Information Society,http://www.fidis.net/,FIDIS,200,
"End-to-end QoS through Integrated Management of content, networks and terminals",http://www.ist-enthrone.org/,ENTHRONE,200,
"Componentware for autonomic, situation-aware communications and dynamically adaptable services",http://www.cascadas-project.org/projectdata.html,CASCADAS,[Errno -2] Name or service not known,
Advanced MBMS for the future mobile world,http://c-mobile.ptinovacao.pt/,C-MOBILE,403,
Semantic-based Interoperability Infrastructure for Integrating Web Service Platforms to Peer-to-Peer Networks,http://www.srdc.metu.edu.tr/webpage/projects/satine/index.html,SATINE,[Errno 111] Connection refused,
Audio-visual Streaming platform for domestic Leisure and Security,http://www.ist-astrals.org/,ASTRALS,200,
Comprehensive High-Accuracy Modelling of Electromagnetic Effects in Complete Nanoscale RF Blocks,http://www.chameleon-rf.org,CHAMELEON RF,[Errno -2] Name or service not known,
Enhanced Networked Environment for personalised provision of AV content and appliances control information,http://www.ist-estia.org/,ESTIA,403,
SANY - Sensors Anywhere,http://sany-ip.eu/,SANY,[Errno 113] No route to host,
Semiconductor equipment assessment for NanoElectronic technologies,http://www.sea-net.info/,SEA-NET,301,http://sea-net.info/
Organic LEDs for ICT and Lighting Applications,http://www.olla-project.org,OLLA,200,
Next generation optical network for Broadband in Europe,http://www.ist-nobel.org/,NOBEL,200,
Business experiments in GRID,http://www.beingrid.eu/,BEINGRID,403,
Micro-nano integrated platform for transverse ambient intelligence applications,http://www.fp6-minami.org/,MINAMI,200,
Wirelessly accessible sensor populations,http://www.wasp-project.org,WASP,[Errno -2] Name or service not known,
Towards integrating virtual reality and optimisation techniques in a new generation of Networked businesses in Warehouse Management Systems under constraints,http://net-wms.ercim.org/,NET-WMS,301,http://net-wms.ercim.eu/
A semantic-based knowledge flow system for the European home textiles industry,http://www.asisknown.org/,ASISKNOWN,200,
Human-expressive representations of motion and their evaluation in sequences,http://www.hermes-project.eu/,HERMES,301,http://hermes-project.eu/
A unified scalable framework for on-Line gaming,http://www.ist-olga.org/,OLGA,[Errno -2] Name or service not known,
"Setting Up a Euro China co-operation for the delivery of innovative Multimedia, audiovisual interactive services towards mobile devices based on DVB and MPEG International Standards",http://www.ist-phenix.org/,PHENIX-SSA,[Errno -2] Name or service not known,
"Designing advanced network interfaces for the delivery and administration of location independent, optimised personal services - II",http://www.ist-daidalos.org/,DAIDALOS II,timed out,
"AMPLE: Aspect-Oriented, Model-Driven, Product Line Engineering",http://www.ample-project.net/,AMPLE,200,
Improving display and rendering technology for virtual environments,http://www.improve-eu.info/,IMPROVE,[Errno -2] Name or service not known,
New Media for a New Millennium,http://www.ist-nm2.org/,NM2,200,
Association studies assisted by inference and semantic technologies,http://assist.iti.gr,ASSIST,timed out,
Modelling solution for complex software systems,http://www.modelplex-ist.org/,MODELPLEX,301,http://modelplex-ist.org/
Integrated secure platform for interactive personal devices,http://www.inspiredproject.com,INSPIRED,403,
Creating ubiquitous intelligent sensing environments [Network of Excellence on the Application and Communication aspects of Wireless Sensor Networking],http://www.telecom.ece.ntua.gr/cruise/,CRUISE,404,
Secure Middleware for embedded peer to Peer Systems,http://www.iaik.tugraz.at/research/vlsi/01_projects/01_smepp/index.php,SMEPP,404,
Computerized Automotive Technology Reconfiguration System for mass customization,http://www.cater-ist.org/,CATER,200,
Seismic Wave Propagation and Imaging in Complex media : a European network,http://www.spice-rtn.org/,SPICE,200,
Pedagogically sustained adaptive Learning through the exploitation of tacit and explicit knowledge,http://palette.ercim.org,PALETTE,200,
Advanced front-end Technology modelling for ultimate integrated circuits,http://www.iisb.fraunhofer.de/en/arb_geb/atomics.htm,ATOMICS,301,http://www.iisb.fraunhofer.de/en/arb_geb/atomics.html
VIBES - Vibration energy scavenging,http://www.vibes.ecs.soton.ac.uk/,VIBES,200,
Advanced grid research workshops through European and Asian co-operation,http://www.gridatasia.net/,GRID@ASIA,200,
Next generation optical network for Broadband European Leadership phase 2,http://www.ist-nobel.org/,NOBEL PHASE 2,[Errno -2] Name or service not known,
Autonomic Network Architectures,http://www.ana-project.org,ANA,200,
Content Networks and Services for Home Users,http://www.ist-content.org/,CONTENT,[Errno -2] Name or service not known,
eProfessional Collaboration Space,http://www.ip-ecospace.org,ECOSPACE,301,http://www.ve-forum.org/
"Future actions on Software and services based on market analysis of market evolution, effects of international factors, and return on European Research Investment",http://www.fassbinder-project.eu/,FASSBINDER,timed out,
Presence research in action,http://www.peachbit.org/,PEACH,200,
A coordination action on ICT vulnerabilities of power systems and the relevant defence methodologies,http://grid.jrc.it,GRID,[Errno -5] No address associated with hostname,
Retrieval of multimedia Semantic units for enhanced reusability,http://www.rushes-project.eu,RUSHES,timed out,
Complex Automata Simulation Technique,http://www.complex-automata.org,COAST,200,
Interactive Media with Personal Networked Devices,http://intermedia.miralab.unige.ch/,INTERMEDIA-NoE,200,
"ACC and INCO Organisations in FP7-IST through the innovative use of the concept of ""Grid Computing""",http://www.hagridproject.net,HAGRID,403,
Optics and photonics in the European research area,http://www.opera2015.org/,OPERA,200,
Hydrogen-bond geared Mechanically interlocked Molecular Motors,http://catenane.net/hy3m/index.html,HY3M,404,
Charged particle nanotech,http://www.charpan.com/,CHARPAN,200,
Bilateral research and industrial development enhancing and integrating GRID Enabled Technologies,http://www.bridge-grid.eu/,BRIDGE,200,
European and Chinese Cooperation on Grid,http://www.echogrid.eu,ECHOGRID,[Errno -2] Name or service not known,
"Self-* Grid: Dynamic Virtual Organizations for schools, families, and all",http://grid4all.elibel.tm.fr/,Grid4All,[Errno -2] Name or service not known,
Stretchable Electronics for large area applications,http://www.stella-project.eu,STELLA,[Errno -2] Name or service not known,
Sensing Biosystems and their Dynamics in fluids with Organic Transistors,http://www.bo.ismn.cnr.it/biodot/,BIODOT,200,
Advancing Clinico-Genomic Trials on Cancer: Open Grid Services for Improving Medical Knowledge Discovery,http://cordis.europa.eu/fp6/ist.htm,ACGT,200,
Intelligent co-operative system in cars for road safety,http://www.iway-project.eu,I-WAY,301,http://iway-project.eu/
"""Synthesis of Systematic Resources""",http://www.synthesys.info,SYNTHESYS,403,
"AIRBORNE INTEGRATED SYSTEMS FOR SAFETY IMPROVEMENT, FLIGHT HAZARD PROTECTION AND ALL WEATHER OPERATIONS",http://www.eu-flysafe.org/Project.html,FLYSAFE,403,
European Social Survey Infrastructure - Improving Social Measurement in Europe,http://www.europeansocialsurvey.org,ESSI,200,
From Legacy Systems to Services in the Net,http://www.atxsoftware.co,LEG2NET,[Errno -2] Name or service not known,
Code of Good Practice for Farm Animal Breeding and Reproduction,http://www.effab.org/,CODE-EFABAR,301,http://www.effab.info/
Strengthening public health research in Europe: call SSP-3,http://www.ucl.ac.uk/public-health/sphere/,SPHERE,200,
Coordinating Noise Transportation Research and engineering solutions,http://www.cantor-online.net,CANTOR,[Errno -2] Name or service not known,
breakthrougH Intelligent maps and GeograpHic tools for the context-aWAredeliverY of e-safety and added-value services,http://www.ist-highway.org,HIGHWAY,200,
European RAMP metering project,http://www.euramp.org,EURAMP,403,
"TRAINING AND MENTORING YOUNG SCIENTISTS FROM CANDIDATE, ASSOCIATED AND MEDITERRANEAN COUNTRIES IN A WHOLE FOOD CHAIN APPROACH TO QUALITY AND SAFETY",http://www.young-train.net/,YOUNG-TRAIN,200,
Rational Design and Characterisation of Supramolecular Architectures on Surfaces,http://www.radsas.ch,RADSAS,[Errno -2] Name or service not known,
Advanced Scanning PRobes for Innovative Nanoscience and Technology,http://www.asprint.science.ru.nl,ASPRINT,[Errno -5] No address associated with hostname,
Transregional Cooperative Platform for Competitiveness in Meat Research and SMEs,http://ec.europa.eu/research/biosociety/food_quality/projects/089_en.html,TECARE,200,
European platform for research on prevention and treatment of coealic disease: a multidisciplinary approach to integrate basic scientific knowledge in clinical applications and food industry,http://www.cdeussa.com,CDEUSSA,301,http://www.preventcd.com/
Establishment of European-Asian Network for the development of strategies to enhance the sustainable use of Sea Buckthorn,http://www.eanseabuck.com,EAN-SEABUCK,200,
Development and application of advanced quantitative methods to ex-ante and ex-post evaluations of rural development programmes in the EU,http://www.advanced-eval.eu/,ADVANCED-EVAL,502,
Suppliers Portal to Research and Innovation in Transport,http://www.sprintnetwork.ro/ro/,SPRINT,200,
Central European Network for Logistics Competence,http://www.centralloco.net/,CENTRAL LOCO,403,
Sustainable production technologies of emission reduced light weight car concepts,http://www.superlightcar.com,SLC,302,http://www.superlightcar.com/cgi-sys/suspendedpage.cgi
HUMAN centred design for Information Society Technologies,http://www.noehumanist.org,HUMANIST,200,
Intelligent surveillance and management functions for airfield applications based on low cost magnetic field detectors,http://www.ismael-project.net,ISMAEL,200,
Collaborative business items,http://www.cobis-online.de,COBIS,[Errno -2] Name or service not known,
CO-ORDINATION OF CONCEPTS FOR NEW COLLECTIVE TRANSPORT (CONNECT),http://www.flexibletransport.eu,CONNECT,200,
European collaborative networked organizations leadership initiative,http://ecolead.vtt.fi/,ECOLEAD,200,
Integrated e-Services for advanced access to heritage in cultural tourist destinations,http://www.isaac-project.eu/,ISAAC,200,
Intelligent distributed process utilisation and blazing environmental key,http://www.indisputablekey.com,INDISPUTABLE KEY,200,
Mainstreaming on ambient intelligence,http://www.monami.info,MONAMI,200,
Group of unmanned assistant robots deployed in aggregative navigation supported by scent detection,http://www.shu.ac.uk/mmvl/research/guardians/,GUARDIANS,404,
Vision and Chemi-resistor equipped Web-connected finding Robots,http://www.shu.ac.uk/mmvl/research/viewfinder/,VIEW-FINDER,404,
Relative positioning for collision avoidance systems,http://www.ist-reposit.org,REPOSIT,301,http://ist-reposit.org/
Advanced process-oriented self-directed learning environment,http://www.aposdle.org/,APOSDLE,200,
Vital assistance for the elderly,http://www.ist-vital.org/,VITAL,Server Error,
Multifunctional bioresorbable biocompatible coatings with biofilm inhibition and optimal implant fixation,http://www.meddelcoat.eu/,MEDDELCOAT,302,http://www.mtm.kuleuven.be/Onderzoek/Ceramics/meddelcoat/meddelcoat-home
New Technologies to Screen Multiple Chemical Contaminants in Foods: Biocop,http://www.biocop.org,BIOCOP,200,
Multifunctional ceramic layers with high electromagnetoelastic coupling in complex geometries,http://multiceral.web.ua.pt/,MULTICERAL,[Errno -2] Name or service not known,
Benefit-risk assessment for food: an iterative value-of-information approach,http://en.opasnet.org/w/beneris,BENERIS,Server Error,
Thermal Impact on the Damaged Zone Around a Radioactive Waste Disposal in Clay Host Rocks,http://www.timodaz.eu,TIMODAZ,200,
MicroTechnologies for Re-launching European Machine Manufacturing SMEs,http://www.launch-micro.org/,LAUNCH-MICRO,200,
European Primate Network: specialized infrastructures and procedures for biological and biomedical research,http://www.euprim-net.eu/home.htm,EUPRIM-NET,200,
Valorisation of healthy lipidic micro-nutrients by optimising food processing of edible oils and fats,http://www.optimoils.com,OPTIMOILS,[Errno -2] Name or service not known,
Quality of Life - Integrated Benefit and Risk Analysis Web-based Tool for Assessing Food Safety and Health Benefits,http://www.qalibra.eu,QALIBRA,200,
European Network of Research Infrastructures for providing Access and Technological Advancements in bio-NMR,http://www.eu-nmr.eu/,EU-NMR,200,
"Photozyme Nanoparticle applications for water purification, textile finishing, photodynamic biomineralization and biomaterial coating",http://www.photonanotech.eu/,PHOTONANOTECH,[Errno -2] Name or service not known,
Development of a platform and toolkit for understanding interactions between nanoparticles and the living world,http://www.nanointeract.net/,NANOINTERACT,200,
Cellular interaction and Toxicology with engineered Nanoparticles,http://www.fp6-cellnanotox.net,CELLNANOTOX,200,
A specific support action to investigate the risk benefit analysis for foods,http://www.brafo.org,BRAFO,404,
Radiation exposures at an early age: impact of genotype on breast cancer risk,http://generadrisk.iarc.fr,GENE-RAD RISK,301,http://www.iarc.fr/
Novel Processing Methods for the Production and Distribution of High-Quality and Safe Foods,http://www.novelq.org/default.aspx,NOVELQ,200,
Genetic and environmental determinants of melanoma: translation into behavioural change,http://www.genomel.org,GENOMEL,200,
LANGUAGE DYNAMICS AND MANAGEMENT OF DIVERSITY,http://www.dylan-project.org/,DYLAN,302,http://www.dylan-project.org/Dylan_en/index.php
"Development and application of biomarkers of dietary exposure to genotoxic and immunotoxic chemicals and of biomarkers of early effects, using mother-child birth cohorts and biobanks",http://www.newgeneris.org,NEWGENERIS,302,http://www.huffingtonpost.com/
Non-thermal production of pure hydrogen from biomass,http://www.biohydrogen.nl/hyvolution,HYVOLUTION,200,
Novel Therapeutic Strategies for Tissue Engineering of Bone and Cartilage Using Second Generation Biomimetic Scaffolds,http://www.expertissues.org/,EXPERTISSUES,200,
Reconciling Work and Welfare in Europe,http://www.recwowe.eu/,RECWOWE,200,
Network of DER laboratories and pre-standardisation,http://www.der-lab.net/,DER-LAB,200,
Role of lycopene for the prevention of cardiovascular diseases,http://www.lycocard.com,LYCOCARD,200,
"Integrated genomics, clinical research and care in hypertension",http://www.hypercare.eu,INGENIOUS HYPERCARE,200,
DIagnostic NAnotech and MICrotech Sensors,http://www.dinamics-project.eu,DINAMICS,timed out,
ENFIN - an experimental network for functional integration,http://www.enfin.org/,ENFIN,200,
"Chemicals as contaminants in the food chain: an NOE for research, risk assessment and education",http://www.cascadenet.org,CASCADE,404,
Immunological and structural studies of prion diversity,http://immunoprion.vitamib.com,IMMUNOPRION,200,
Nature-inspired micro-fluidic manipulation using artificial cilia,http://www.artic-project.eu/,ARTIC,200,
Development of load-bearing fibre reinforced composite based non-metallic biomimetic bone implant,http://www.hb.se/ih/polymer/newbone/default.asp,NEWBONE,301,http://www.hb.se/
"Environmental cancer risk, nutrition and individual susceptibility",http://www.ecnis.org,ECNIS,200,
Healthcare by biosensor measurements and networking,http://www.care-man.eu/,CARE-MAN,200,
ERA-NET TRANSPORT,http://www.transport-era.net,ERA-NET TRANSPORT,301,http://transport-era.net/
Interface design of metal nanocluster-carbon nanotube hybrids via control of structural and chemical defects in a plasma discharge,http://www.nano2hybrids.net,NANO2HYBRIDS,301,http://nano2hybrids.net/
Understanding prion strains and species barriers and devising novel diagnostic approaches,http://www.ist-world.org,STRAINBARRIER,[Errno 111] Connection refused,
Pre-normative research on solid biofuels for improved European standards,http://www.bionorm2.eu/,BIONORM II,[Errno -2] Name or service not known,
European Aerosol Research Lidar Network: Advanced Sustainable Observation System,http://www.earlinet.org/,EARLINETASOS,302,https://www.earlinet.org/index.php?id=earlinet_homepage
Nanocrystalline heterosupermolecular materials for optoelectronic applications,http://www.iciq.es/Heteromolmat/index.html,HETEROMOLMAT,404,
Innovations and impact of gut health foods: a virtual technology platform,http://www.gutimpact.net,GUTIMPACT,[Errno -2] Name or service not known,
European fleet for airborne research in the field of environment and geo-sciences,http://www.eufar.net,EUFAR,200,
European road transport research advisory council European road transport 2020: a vision and strategic research agenda (ERTRAC),http://www.ertrac.org/,ERTRAC,200,
An optical fibre sensor based intelligent system for monitoring and control of exhaust emissions from road vehicles (OPTO-EMI-SENSE),http://www.liv.ac.uk/eee/research/rfma/optoemisense/,OPTO-EMI-SENSE,404,
Comparison of conservation materials and strategies for sustainable exploitation of immovable industrial cultural heritage made of iron and steel,http://www.consist.fraunhofer.de,CONSIST,[Errno -2] Name or service not known,
An innovation strategy to integrate industry needs and research capability in the European forestry-wood chain,http://www.innovawood-ssa.net,INNOVAWOOD SSA,200,
ICE - Ideal Cabin Environment,http://www.ice-project.eu/page.jsp?id=905,ICE,301,http://www.bre.co.uk/
Exploitation of functional food science by creating a European network of food industries,http://www.functionalfoodnet.eu/asp/,FUNCTIONALFOODNET,403,
Understanding puzzles in the gendered European map brain drain in physics through the cultural looking glass,http://www.upgem.dk,UPGEM,200,
Harmonising population-based biobanks and cohort studies to strengthen the foundation of European biomedical science in the post-genome era,http://www.phoebe-eu.org,PHOEBE,200,
Developing a stakeholders' guide on the vulnerability of food and feed chains to dangerous agents and substances,http://www.sigmachain.eu/,ECHAIN,200,
TASK-FORCE IN EUROPE FOR DRUG DEVELOPMENT FOR THE YOUNG,http://www.lifecompetence.eu/index.php/kb_1/io_440/io.html,TEDDY,404,
Biological role of microRNAs in the DLK1 GTL2 imprinted domain.,http://www.fmv.ulg.ac.be/genmol/callimir_page/callimir_home.htm,CALLIMIR,404,
Genetic regulation of the end-stage clotting process that leads to thrombotic stroke,http://www.euroclot.eu,EUROCLOT,[Errno -2] Name or service not known,
Key factors influencing economic relationships and communication in European food chains,http://www.foodcomm-eu.net/,FOODCOMM,200,
"Valuation of Environment-Related Health Impacts: Accounting for Differences Across Age, Latency and Risk Categories with a Particular Focus on Children",http://www.oecd.org/env/social/envhealth/verhi,VERHI CHILDREN,404,
Encouraging Collective Farmers Marketing Initiatives,http://www.cofami.org,COFAMI,307,http://www.cofami.org/home.html
Near Infrared Spectroscopy Tool for Collection Surveying,http://www.science4heritage.org/survenir/,SURVENIR,200,
Quality and safety of feeding fats obtained from waste or by-products from the food chain,http://www.ub.edu/feedfat/,FEEDING FATS SAFETY,404,
Control of the intestinal flora in poultry for ensuring the products safety for human consumers,http://ec.europa.eu/research/biosociety/food_quality/projects/079_en.html,POULTRYFLORGUT,200,
Pilot study on innovative approaches to public communication of life sciences and biotechnology by students and young researchers,http://www.biopop-eu.org/,BIOPOP,[Errno 113] No route to host,
"Development of a new antigraffiti system, based on traditional concepts, preventing damage of architectural heritage materials",http://www.graffitage.com,GRAFFITAGE,200,
Molecular approach to nanomagnets and multifunctional materials,http://www.eimm.org,MAGMANET,301,https://www.searchen.com/
Creating competitive edge for the European polymer processing industry driving new added-value products with conducting polymers,http://www.polycond.eu/,POLYCOND,200,
Fullerene-based opportunities for robust engineering: making optimised surfaces for tribology,http://www.foremost-project.org,FOREMOST,404,
Innovative processes and materials to synthesise knowledge-based ultra-performance nanostructured PVD thin films on gamma titanium aluminides,http://www.innovatial.com,INNOVATIAL,200,
FRom Electric cabling plans to Simulation Help.,http://www.aero-scratch.net/fresh.html,FRESH,[Errno -2] Name or service not known,
"Nanologue: facilitating the dialogue between research, business and the civil society to improve the quality of life, create wealth and reduce impacts to society",http://www.nanologue.net,NANOLOGUE,[Errno 111] Connection refused,
LERU-Kids-University,http://www.leru.org,LERU-KIDS,302,http://www.leru.org/index.php/public/home/
Sustainable consumption research exchanges,http://www.score-network.org/score/score_module/index.php,SCORE !,200,
"Rare genetic skin disease: advancing diagnosis, management and awareness through a European network",http://www.geneskin.idi.it,GENESKIN,[Errno -2] Name or service not known,
