acronym,title,projectUrl
,Rational design of enantioselective biotransformations in organic media applied to lipases from rhizomucor miehei and candida antarctica,0
,Engineering of yeast glycerol metabolism towards optimised yield of fermentation end products and improved tolerance to osmotic stress,0
RECAM,Sustainable Closed Loop System for Recycling of Carpet Materials,0
,An Integrated Design Synthesis and Optimisation Approach for Efficient Chemical Process Configurations Combining Reaction and Distillation,0
,Safety Related Fault Tolerant Systems in Vehicles,0
,Drag Reduction by Shock and Boundary Layer Control,0
,Internal Combustion Auxiliary Power Unit for Integration in Electri cally Propelled Vehicles,0
,Stainless Steel Solution Nitriding at High Temperatures for Application in Mechanical and Chemical Engineering,0
,Development of a portable remote controlled real time radioscopy system for quantitative industrial inspection of large thickness steel pipes and weldings,0
,Understanding and Industrial Applications of High Performance concr etes in High Temperatures Environment,0
,Development of elevated temperature aluminium alloys,0
,Fire Detection and Suppression Simulation,0
VOCEM,Further Development and Validation of a small Test Chamber Method F or Measuring VOC Emissions from Buildings Materials and Products,0
,Characterisation of ornamental stones standards by image analysis of slab surface,0
,Development of Creep Crack Growth Testing and Data Analysis for Welds,0
,Optimized sensor locations and sampling method in industrial stacks for environment monitoring,0
,The Development of a Single Pan European Freeze Thaw Test for the Clay Paver Standard,0
,INDIRECTLY FIRED GAS TURBINE FOR RURAL ELECTRICITY PRODUCTION FROM BIOMASS,0
,NATURAL RESINS AS A POTENTIAL WOOD PROTECTING AGENT,0
,NUTRITIONAL AND HEALTH IMPACT OF TRANS POLYUNSATURATED FATTY ACIDS IN EUROPEAN POPULATIONS,0
LOVECORK,THE APPLICATION OF FLUIDISED BED TECHNOLOGY TO IMPROVE THE COMBUSTION OF CORKWASTE,0
,ROUND SMALL DIAMETER TIMBER FOR CONSTRUCTIONS,0
NUTRIPEA,NEW TECHNOLOGIES FOR IMPROVED NUTRITIONAL AND FUNCTIONAL VALUE OF PEA PROTEIN,0
IMMS,Integrated materials management system,0
MERCURY,Performance management of commercial parallel database systems,0
IRISPOL,Information retrieval in an integrated system for police,0
ABUITSS,Awareness action for business best practice integrating information technologies in industrial SMES in southern regions of Europe,0
CHANCE,Competence building and higher awareness about networking and collaboration for Europe,0
SPEED,Superhighway by photonically and electronically enhanced digital transmission,0
PLANET,Photonic local access network,0
OKAPI,Open Kernel for Access to Protected Interoperable interactive services,0
PROSPECT,A Prospect of Multi Domain Management in the expected Open Services Marketplace,0
MIDAS,Multigigabit interconnection using dispersion compensation and advanced soliton techniques,0
MEMO,Multimedia Environment for Mobiles,0
TAPESTRIES,The Application of Psychological Evaluation to Systems and Technologies in Remote Imaging and Entertainment Services,0
QUOVADIS,QUality Of Video and Audio for DIgital television Services,0
VIDAS,Video Assisted with Audio Coding and Representation,0
HORIZON,Horizontal action on optical networks,0
FAST,Fluoro aluminate amplifier for second telecom window,0
ASICCOM,Atm switch for integrated communication computation and monitoring,0
DIGISAT,Advanced digital satellite broadcasting and interactive services,0
CINENET,Cinema films and live events via satellite and cable networks,0
ESTHER,Exploitation of soliton transmission highways in the European ring,0
TECODIS,Teleworking in co operative development of industrial software,0
BLISS,Broadband Lightwave Sources and System,0
OPEN,Optical Pan European Network,0
HIGHWAY,Photonic technologies for ultra high speed information highways,0
INSIGNIA,In and b isdn signalling integration on atm platforms,0
TEAM,Team based European Automotive Manufacture,0
SICMA,Scaleable Interactive Continuous Media Server Design and Application,0
AURORA,AUtomated Restoration of ORiginal film and video Archives,0
METON,Metropolitan Optical Network,0
VANGUARD,Visualisation across networks based on graphics and the uncalibrated acquisition of real data Luncalibrated acquisition of real data,0
EIES,European information exchange service between harbour areas,0
OPARISOD,Open Architecture for Interactive Services on Demand,0
SCALAR,Scaleable Architectures With Hardware Extensions For Low Bitrate Variable Bandwidth Realtime Videocommunications,0
ATLANTIC,Advanced Television at Low bitrates And Networked Transmission over Integrated Communication systems,0
MISA,Management of integrated sdh and atm networks,0
FRANS,Fibre radio atm network and services,0
PHOTON,Paneuropean photonic transport overlay network,0
WAND,Wireless atm network demonstrator,0
INTERACT,INTERACTIVE TELEVISION RETURN CHANNEL STANDARDISATION AND TRIALS,0
DAM,DAVIC Accompanying Measures,0
MICC,Mobile integrated communication in construction,0
DVP,Distributed Video Production,0
FRAMES,Future radio wideband multiple access systems,0
SPECIAL,Service Provisioning Environment for Consumers Interactive Applications,0
PANORAMA,PAckage for New OpeRational Autostereoscopic Multiview systems and Applications,0
EXPERT,Platform for engineering research and trials,0
ASPECT,Advanced security for personal communications technologies,0
MULTIMEDIATOR,Multimedia publishing brokerage service,0
SQUALE,Security Safety and Quality Evaluation for Dependable Systems,0
MOMUSYS,Mobile Multimedia Systems,0
RENAISSANCE,Integration of High Performance Services for Interactive Vocational Training,0
M2VTS,Multimodal Verification for Teleservices and Security Applications,0
ISIS,Interactive Satellite multimedia Information System,0
MOSTRAIN,Mobile services for high speed trains,0
VALIDATE,Verification And Launch of Integrated Digital Advanced Television in Europe,0
EMERALD,European Multimedia Services for Medical Imaging,0
DVBIRD,Digital Video Broadcasting Integrated Receiver Decoder,0
TRUMPET,Inter domain management with integrity,0
COBNET,Corporate optical backbone network,0
ACTRANS,A Transaction Processing Toolkit for ACTS,0
DIANE,Design Implementation and operation of a Distributed Annotation Environment,0
IBCOBN,Integrated Broadband Communications on Broadcast Networks,0
,Increasing Cell Culture Productivity by control of programmed cell death Apoptosis,0
,Multianalyte Diagnosis at the level of single Biomolecules in real time using atomic force microscopy a new diagnostic concept,0
EUROFAN,European Network for the functional analysis of yeast genes discovered by systematic DNA Sequencing,0
,The determination of human MHC class II antigenic peptide motifs with preference to those significantly associated with major autoimmune disorders,0
,Development of amplified fragment length polymorphism ALFP and its application to animal genome mapping and farm animal selection,0
,Arabidopsis insertional mutagenesis for functional analysis of sequences identified by ESSA,0
,A search for the function of MYB transcription factors in plants,0
,Construction of a resource protein database for the arabidopsis plasma membrane,0
BOREALIS,Development and application of fine mapping methods for the study of ETL in cattle,0
,Novel possibilities for manipulating subsets of lymphocytes in transplantation and autoimmunity,0
CHICKMAP,A comprehensive molecular resource for QTL mapping in poultry,0
,Registry of sequenced plant genes,0
,Systematic function analysis of Bacillus subtilis genes,0
,Construction and Safety of expression controlled retroviral vectors designed to infect pre determined recipient cells,0
,Isolation fundamental studies and biotechnological applications of epoxide hydrolases,0
,Multipotential and monopotential stem cells as vector for somatic gene therapy of human diseases,0
,Immunological engineering for generation of human therapeutic antibodies,0
SPOREFUN,Mass production of spores of fungal antagonists by solid state fermentation process design for optimal spore quality,0
,Molecular mechanisms and regulation of nitrogen flux into actinomycete secondary metabolites and its impact for modelling fermentation processes,0
,Controlled growth and production in mammalian cell culture,0
,Structure function relationships of the genes and proteins encoded within the human natural killer cell receptor complex,0
,Characterization of regulatory genomic regions Development of databases and sequence analysis tools,0
,Methods and software for evolutionary analysis of genome sequence data,0
,Metabolic bottlenecks in mixed sugar fermentations with yeasts of industrial interest a multi disciplinary integrated approach,0
,Understanding the translation regulation mechanism to design new vectors and adapted cells for improved protein production,0
,Genetically modified skeletal muscle cells as a tool gene replacement in genetic disorders,0
,Blastocyst growth development and viability relevance to embryo loss and to advances in embryo related biotechnology in cattle,0
,Development and distribution of key biotechnoligical arabidopsis thaliana resources,0
,Biotechnological routes in generating heparin related saccharides,0
ADLIB,Advanced database linkages in biotechnology,0
,Terpene Biotransformations,0
,Cell factories for the production of bioactive peptides from Bacillus subtilis and Pseudomonas,0
,From gene to product in yeast a quantitative approach,0
,Bioprocess scale up strategy based on integration of microbial physiology and fluid dynamics,0
,Provision of the EMBL data library and related european information services,0
,Research of genetic factors predisposing to rheumatoid arthritis,0
INFOCUS,Information Technology in conformal radiotherapy,0
,Identification of tumour suppressor gene s involved in breast cancer carcinoma at chromosome region 11q22 q23,0
,Development of a new generation of anti inflammatory steroids based on novel type of molecular crosstalk between the glucocorticoid receptor and NF KAPPAB transcription factors,0
MOF,Development of a complex extracorporeal technology for the treatment of multi organ failure,0
,Transcript map of the human genome by radiation hybrid mapping of expressed sequence tags ESTs,0
,Infection latency and reactivation of novel human herpesviruses in immunodeficient patient groups Definition of markers and development of diagnostic reagents,0
,Adenovirus mediated gene transfer and iological active peptides nrw potential approaches to the treatment of hyperplasia after vascular injury,0
,Development of a new bioactive bone cement and a closed mixing prepacking system,0
,Bioartificial organs and tissues a euopean patnership in cellular engineering for improved health and industrial competitiveness,0
,Molecular and cellular mechanisms of arterial pathophysiology,0
,Validation of an in vitro assay to evaluate drug effects on synaptic functioning and plasticity,0
,Homeoproteins and adhesion molecules in development and regeneration targets for neurological diseases and tools for their treatments,0
,Higher order chromatin organization and function a three dimensional in situ analysis of structure transcription and replication,0
,A methodology for the detection of doping with growrh hormone and related substances,0
,Anti receptor autoantibodies in cardiovascular diseases Diagnostic and therapeutic implications,0
,Properties of transporters for the neurotransmitters glutamate and glycine,0
,Identification of the genes involved in the pathogenesis of non insulin dependent diabetes mellitus NIDDM a paradigm for multifactorial diseases,0
,The motor cortex structural and functional analysis,0
,Capillary electrophoresis with laser induced fluorescent detection CE LIF as a novel tool in molecular genetic analyses of human disease,0
,Basal ganglia mechanisms in motivation and learning,0
,Chronic pain toward new therapeutic approaches,0
,Mechanisms of trigeminal pain,0
,Treatment of diabetes by islet cell transplantation,0
,Development of a cell transplantation therapy for patients with parkinson s disease,0
,Standardization of on line ultrasound scanning in 3 dimensions,0
,Mechanisms underlying accupational induced irritant contact dermatitis,0
,European pharmacovigilance research group,0
,New processing technology for production of multilayered products in the industrial field,0
,Knowledge based system for the design of forming sequences and tools in cold forging of fasteners for the automotive industry,0
,Odour Sensors in Food Industry,0
,Decontamination and Valorization of Mud and Sub products from Wool Washing by Supercritical Fluids,0
PYROW,Up grading of non durable wood species by appropriate pyrolysis thermal treatment,0
PROSIM,Propagation channel simulator,0
VAMP,Voltammetric Autonomous Measuring Probes for Trace Metals in the Water Column 500m max depth and at Water Sediment Interfaces 6000m max depth,0
CANIF,Carbon And Nitrogen cycling In Forest ecosystems,0
,Closed Aluminium Recycling Process,0
,Integrated Approach for NVH Engineering of Low Weight Vehicles Chassis,0
,Degradation mechanisms for biogenic VOC,0
BIODOS,Development of Biological Dosimetry systems for monitoring the impact of solar UVB radiation on the biosphere and human health,0
,Research on New Technologies for Flywheel Electromechanical Storage Systems,0
,Selective recuperation of nickel salts from industrial effluents,0
MILLENIA,Numerical simulation and analysis of climate variability on decadal and centennial time scales,0
PAWS,Product Acquisition from Waste Streams,0
LEXIS,Laboratory experiments of iodine chemistry in the stratosphere,0
ESCOBA-ATMOSPHERE,European study of carbon in the ocean biosphere and atmosphere,0
,Cation mass spectrometry A technique for quantitative and three dimensional localization of any chemical element with submicrometer resolution,0
,Advanced ultra sensitive and ultra rapid methods for microbiology testing in the pharmaceutical and water industries,0
,Ultrasensitive broadband electrical measurement instruments utilising superconducting quantum interference devices,0
,Advanced integrated sensors,0
MEDEA,Quality control for household appliances by on line evaluation of mechanical defects,0
ARCHES,Application refinement and consolidation of HIC exploiting standards,0
MIMICS,Multi parity interactive multimedia conferencing services,0
DE2,Open microprocessor systems initiative for deeply embedded arm application macrocells,0
OMI/CORE,Compilers for real time embedded,0
AMBULANCE,MOBILE UNIT FOR HEALTH CARE PROVISION VIA TELEMATICS SUPPORT,0
BEAM II,BIOMEDICAL EQUIPMENT ASSESSMENT AND MANAGEMENT,0
CARDI-ASSIST,IMPROVING CARDIAC TELEDIAGNOSIS AND SURGERY BY ENABLING TECHNOLOGIES AND 3D ULTRASOUND IMAGING,0
,Policy relevant models of the natural and anthropogenic dynamics of degradation and desertification and their spatio temporal manifestations,0
,Biodiversity of microorganisms in aquatic systems,0
SAFIRE-A,Optimisation and flight qualification for the Airborne Polar Experiment A P E,0
,Metabolism and CLinical Effects of Psychotropic Drugs From molecular genetics to patient care,0
CPFI DOTS,Clinical Pharmacology by Functional Imaging of D2 Receptors for Optimal Treatment of Schizophrenia,0
,Recombinantly tailored reporter cell lines and 3D structure evaluations for improved drug development,0
,Investigations of Musculoskeletal Disorders in Health related Occupations,0
DEO,Detection of Embedded Objects,0
MICROMARE,Development of microsensors for use in the marine environment,0
BIOMAERL,Maerl Biodiversity Functional Structure and Anthropogenic Impacts,0
KADWCI,The kinematics and Dynamics of Wave Current Interactions,0
TRIDISMA,Three dimensional sediment transport measurements by acoustics,0
MERLIM,Marine Ecosystems Regulation Trace Metals and Carbon Dioxide Limitations,0
AMADEUS,Advanced Manipulation for Deep Underwater Sampling Phase II,0
,Hydrothermal fluxes and biological production in the Aegean,0
AMORES,Azores mid oceanic ridge ecosystem studies an integrated research programme on deep sea hydrothermal transfers and fluxes,0
ASGAMAGE,The ASGASEX MAGE experiment,0
,In situ euphore radical measurement,0
CLUE,Changing land usage enhancement of biodiversity and ecosystem development,0
,Integrated Aftertreatment System of DI Diesels for Cars,0
,Development of a Compact Transportable Instrument for the Measurement of Tropospheric 0H and H02 on remote and Airborne Platforms,0
,Marine atmosphere oxidation capacity experiment,0
,Surface modification optimization of gas nanoelectroceramics based sensor systems,0
SOAP,Speciation of the organic fraction of atmospheric aerosol particles related to cloud formation,0
INFORMATEX,Influence of fuel formulation on atmospheric reactivity of exhaust gases,0
HALOTROP CYMFO,The Contribution of Reactive Halogen species to the Oxidation Capacity of the Troposphere Reactive Halogen species cycles mechanisms and field observations,0
,Development of new instrumental methods for on site monitoring of industrial waste water,0
PERICLES,Protocol for the evaluation of residues in industrial contaminated liquid effluents,0
,European forest as a source of atmospheric nitrogen oxides exchange of oxidants at the forest atmosphere interface,0
,High Performance Products for Ink Jet Printing,0
,Peroxy radical intercomparison Exercise II,0
,Novel aluminium welding methods,0
BIPHOREP,Biogenic VOC emissions and photochemistry in the boreal regions of Europe,0
,Innovative electrochemical techniques for precious metals recovery,0
RIFTOZ,Regional differences In Tropospheric Ozone in Europe an analysis of its controlling phenomena,0
BERI,Bog Ecosystem Research Initiative,0
GLOBIS,Global change and Biodiversity In Soils,0
,Reliability of Advanced High Power Semiconductor Devices for Railway Traction Applications,0
MACSIMS II,Measurement of Atmospheric Constituents by Selective Ion Mass Spectrometry,0
SALT,Sea salt Aerosols Laboratory investigations of heterogeneous halogen activation in the Troposphere,0
,European Magnets with Enhanced Remanence for Greater Efficiency,0
LAMOCS,Laboratory studies And Modelling Of heterogeneous Chemistry in the Stratosphere,0
ECOPROD,Advanced concurrent technologies for ecological production of dies and moulds,0
,Mise au point d un proc d et d un logiciel de simulation d un incendie en ouvrage sout rrain,0
BEMA,Biogenic emissions in mediterranean area Phase II 1996 1997,0
LITES,Lightweight In situ Tracer Experiment in the Stratosphere,0
MEDUSE,Monitoring and prediction of the atmospheric transport and Deposition of Desert Dust in the Mediterranean region,0
FOREST,Forest Response to Environmental Stress at Timberlines sensitivity of northern alpine and mediterranean forest limits to climate,0
RIANA,River analyser an analytical system for measuring multiple analytes in river water,0
,Dielectric and High Temperature Superconducting Materials for Microwave Communication Systems,0
,N2O abatement by catalytic treatment,0
,Novel Materials and Reactors for Catalytic Conversion of Natural Gas Environmentally Friendly and Less Capital Intensive Technologies,0
LCA AND EVA,Development of a combined methodology to evaluate recycling process es based on the Life Cycle Assessment And Economic Valuation Analysis,0
,Development of Low AC Loss Superconducting Bi 2223 tapes,0
,Breaking waves and air sea gas transfer,0
EUROFLUX,Long term carbon dioxide and water vapour Fluxes of European forests and interactions with the climate system,0
ESMOS/ALPS II,European Stratospheric Monitoring Stations in the ALPS II,0
ENVIART,Baroque artificial marble Environmental impacts degradation and protection,0
DMU-PS,Digital Mock up Process Simulation for Product Conception and Downstream Processes,0
EDAMM,Environmental Deterioration of Ancient and Modern hydraulic Mortars,0
,Assessment of environmental risk related to unsound use of technologies and mass tourism,0
,Strategies for rehabilitation of metal polluted soils in situ phytoremediaon immobilization and revegetation A comparative study,0
SINDICATE,Study of the Indirect and Direct Influences on Climate of Anthropogenic Trace Gas Emissions,0
,Modular Synthesis of Advanced Machine Tools,0
,Characterisation of the aridity processes on Mediterranean Europe Protection and management guidelines,0
,New tools and methodologies for an optimum design of clean and efficient laminar premixed combustors and boilers,0
SAONAS,Stratospheric Aerosols and Ozone in Northern And Southern hemisphere,0
,LeaNOx Development for Lean Burn Cars and Diesel Trucks,0
UPCYCLE,Treatment of fly ash for sound material utilisation,0
,Microbial adaptation to degradation of natural and synthetic organo halogens Effects on ecosystem acclimation and natural bioremediation of polluted sites,0
,Development of a new non destructive method for analysis of the atmospheric corrosion and corrosion protection of copper and copper alloys,0
,Enhanced Picking of High Alloyed Stainless Steels,0
SELF II,Sea level fluctuations in the Mediterranean Interactions with climate processes and vertical crustal movements,0
,Automated sorting system for advanced waste disposal,0
ACORN,Advanced Control Network,0
RESMEDES,Remote Sensing of Mediterranean Desertification and Environmental changes,0
,Development of porcelain waste materials for the fabrication of components by injection moulding,0
,Development of Chemically Thermally Resistant Nanofiltration Membranes,0
,Control strategies for European air quality based on the tropospheric oxidation characteristics of volatile organic compounds,0
MEDFLUX,Quantification of pollutant dry deposition Fluxes over Mediteterranean typoe ecosystems,0
,Membrane Reactors for Cost Effective Environmental Friendly Hydrogen Production,0
,Stratospheric climatology using UV visible spectroscopy 3,0
LES/PDF-ECT,Low Emission Systems Simulation Procedures for the Development of Fuel Efficient Combustor Technology,0
,Analysis of different groups of organic pollutants in industrial effluents and waste waters using selective group extraction procedures,0
,Formal Safety Assessment FSA of High Speed Craft HSC Propulsion and Manoeuvring System Reliability,0
DYNAMO,Dynamic Models to predict and scale up the impact of environmental change on biogeochemical cycling,0
,Assessment of cumulative uncertainty in Spatial Decision Support Systems Application to examine the contamination of groundwater from diffuse sources,0
,In situ processing of aluminium matrix composites,0
,Artificial recharge of groundwater,0
,Integrated water recycling and emission abatement in the textile industry,0
,Control of gas phase and condensend matter temperature in industrial processes,0
AGORA,Assessment of the global ocean circulation with data assimilation systems for climate studies,0
,Selective separation of chalcopyrite from carrier minerals of minor elements,0
ADTURB,Aeromechanical design of turbine blades,0
,Spatial modelling at the regional scale of the response and adaptation of soils and land use systems to climate change,0
MODMED II,Modelling vegetation dynamics and degradation in Mediterranean ecosystems,0
MATOC,New Machining Technique for Optical Components Using Photo ablation,0
PAUR,Photochemical Activity and solar Ultraviolet Radiation,0
CC HYDRO,Impact of climatic change on river basin hydrology under different climatic conditions,0
,Improvement of steel hot rolling by the use of lubrication and hss rolls,0
ACE-2: CLEARCOLUMN,Clear sky column closure experiment,0
,Sulfur Removal from FCC Gasoline,0
AEROBIC,Aerosols formation from Biogenic organic Carbon,0
ESMOS/ARCTIC II,European stratospheric monitoring stations in the Arctic II,0
,Selective and clean processes for the side chain oxidation of alkylaromatics by means of heterogeneous catalysts,0
,Direct determinations of polar stratospheric cloud composition,0
,Variability of the glacial and interglacial climates and abrupt climatic changes,0
,Improving Multilayered Metallic Materials by Controlling Stress Strain and Interface Quality and New Equipment for Determining these Characteristics,0
ESCOBA-BIOSPHERE,European study of carbon in the ocean biosphere and the atmosphere,0
BIOMETSENSOR,Development of new multisensing biosensors for the detection of bioavailable heavy metals in solid matrices,0
SPAN,Safe Passage and Navigation,0
MODEXCROP,Model evaluation of experimental variability to improve the predictability of crop yields under climat change,0
APE,An airborne study of the microphysical and chemical structure of polar stratospheric clouds,0
POLAR SNOW,Investigation and modeling of the physical characteristics and properties of snow at the surface of polar ice sheets,0
EPD,A tool for paleoenvironment and palaeoclimate recocnstructions at a continental scale,0
,Fibre Optic Strain Monitoring at Elevated Temperatures,0
FIBRESAVE,Process Recovery and Optimisation of Mass and Energy in Pulp Paper Industry,0
REMPRODUSE-CU,Redesign of electromechanic products for reuse and recyclability with special attention to the coopper problem,0
,Structural integrity assessment procedures for European industry,0
MEDALUS III,Mediterranean desertification and land use Project 2 target areas,0
ECOCRAFT,Predicted Impacts of Rising Carbon Dioxide and Temperature on Forests in Europe at stand scale,0
STREAM,Stratosphere and troposphere experiments by aircraft measurements,0
,Development of Fast Kinetics Metal Hydride Alloys Battery Electrodes For High Power Application,0
ATOP,Experimental study of the altitude dependence of the tropospheric ozone photolysis frequency J 01D between 0 and 12 km height,0
ESCOBA-OCEAN,European study of carbon in the ocean biosphere and atmosphere ocean section,0
,Instrument developement proposal Development of a condensation particle detection system COPAS with multiple inlets for implementation on stratospheric aircraft or balloons,0
,Development of New Technology for Utilisation of the Unique NiobiumDeposit at Sokli Finland for the European Super Alloy Industry,0
,Towards the prediction of stratospheric ozone,0
,Formation processes and radiative Properties of particles in aircraft wakes,0
,Lithium Carbon Liquid Electrolyte Batteries Performances Improvements and Cost Reduction,0
,Climate change and sea level,0
,Improvement of the Capabilities of Cutting Tools and Cutting System s for Hard Rock Conditions,0
,European cloud resolving modelling programme,0
,Flexible workshop for airframe assembly,0
,System and methods foraAssessing conservation state and environmental risks for outer wooden parts of cultural buildings,0
,Development of Less Pollutant Cutting Technologies,0
,Low Cost Press Tooling,0
,Ozone soundings as a tool for detecting ozone change,0
,North south climatic connection and carbon cycle over the last 250 kyr,0
UVRAPPF,Ultraviolet radiation in the Arctic past present and future,0
,Nanoporous particle track etched membranes ptm and their use as templates for electrodeposited multilayers for giant magnetoresistance applications gmr,0
,The detection of UV B damage and characterisation of its biological consequences in the cellular components of human skin,0
,Molecularly Imprinted Materials for Integrated Chemical Sensors,0
,Climate sensitivity of glacier mass balance the effect of topographic barriers,0
RINOXA 2,Removal and interconversions of oxidants in the atmospheric aqueous phase part 2,0
STBM,Smart tunnel boring machine,0
,Human Factors in Aircraft Dispatch and Maintenance Safety,0
,Memory alloys for new structural,0
AFMS,Advanced Flight Management System,0
,Measurement and Data Interpretation Technology for Quality in Manufacturing,0
ADIGA,Advanced D I Gasoline Engine,0
,Highly Adaptible Rubber Isolation System,0
,Explanation in Online Help and Offline Training Based on Continuous Simulation,0
,Transient Aerodynamics for Railway System Optimisation,0
SILENT FREIGHT,Development of New Technologies for low Noise Freight Wagons,0
,Development and Evaluation of Methods for Current Density and Layer Thickness Distribotion Prediction in Electrochemical Systems,0
,Concepts for Transportation and Loading of Containers,0
,Biofinishing of Cotton Fabrics with Cellulases,0
INSTANCE,Innovative Styling Applications in Computer Aided Environments,0
,High Speed 5 Axis Machining and Production,0
