acronym,title,projectUrl
COMETS,COnverters broadband low power high perforMancE for Telecommunications in Space,http://www.comets-fp7.eu/
COSMOS,Cost driven Adaptive Factory based on Modular Self Contained Factory Units,http://www.cosmosproject.eu
LIGHT4CLEANWATER,A NOVEL SYSTEM TO BREAKDOWN HAZARDOUS SUBSTANCES IN WASTE WATER STREAMS INTO HARMLESS BIO FRIENDLY COMPOUNDS USING MULTI CHROMATIC UV LIGHT,http://www.light4cleanwater.eu/
E-FLYWATCH,Development of an innovative automated and wireless trap with warning and monitoring modules for integrated management of the Mediterranean Ceratitis Capitata Olive Dacus oleae fruit flies,http://www.e-flywatch.com/
ERACOBUILD,Strategic Networking of RDI Programmes in Construction and Operation of Buildings,http://www.eracobuild.eu
SIRIUS,Sustainable Irrigation water management and River basin governance Implementing User driven Services,http://www.sirius-gmes.es/
RIGHTTIMEPLACECARE,Improving health services for European citizens with dementia Development of best practice strategies for the transition from ambulatory to institutional long term care facilities,http://www.righttimeplacecare.eu/
GHG EUROPE,Greenhouse gas management in European land use systems,http://www.ghg-europe.eu
NANOONSPECT,Reliable Integrated On Line Characterisation Tool for Thermoplastic Compound,http://nanoonspect.eu/
COCKPITCI,Cybersecurity on SCADA risk prediction analysis and reaction tools for Critical Infrastructures,http://www.cockpitci.eu/
HARFIR,Heusler Alloy Replacement for Iridium,http://harfir.eu/
NASCENT,SILICON NANODOTS FOR SOLAR CELL TANDEM,http://www.project-nascent.eu
AQUAMAR,Marine Water Quality Information Services AquaMar,http://www.aquamar-fp7.eu/
NUTRI-STAT,Real time in situ N P K pH and electrical conductivity soil analysis system to facilitate accurate nutrient management,http://www.nutristat-project.com/
MEDIADEM,European Media Policies Revisited Valuing and Reclaiming Free and Independent Media in Contemporary Democratic Systems,http://www.mediadem.eliamep.gr
SNOW CONTROL,Integrated Real Time Measurement Platforms for Nanoparticles and Nanoparticle Thin Films,http://fys.kuleuven.be/vsm/snowcontrol/
VIBRANT,In Vivo Imaging of Beta cell Receptors by Applied Nano Technology,http://www.fp7-vibrant.eu
SMILES,Sustainable Measures for Industrial Laundry Expansion Strategies SMART LAUNDRY 2015,http://www.smileslaundry.eu
MAGPRO²LIFE,Advanced Magnetic nanoparticles deliver smart Processes and Products for Life,http://www.magpro2life.eu
ARCHIMEDES,Support to security end users,http://www.archimedes-eu.eu/presentation.php
REFREEPERMAG,RARE EARTH FREE PERMANENT MAGNETS,http://refreepermag-fp7/
MACADEMIA,MOFs as Catalysts and Adsorbents Discovery and Engineering of Materials for Industrial Applications,http://www.macademia-project.eu
CONFORM-JET,Self Learning Control System for Freeform Milling with High Energy Fluid Jets,http://www.conformjet.eu/
CORE,CO2 REduction for long distance transport,http://www.projectcore.eu/
RDCVF,Rod derived Cone Viability Factor,http://www.rdcvf.eu/
EUCO-NET,European network for global cooperation in the field of AIDS TB,http://www.perfood.eu/
FIT4U,Framework of Integrated Technologies for User Centred Products,http://www.fit4u.eu/
PREDICT,Increasing the PaRticipation of the ElDerly in Clinical Trials,http://www.predicteu.org/
NANOCHARM,MULTIFUNCTIONAL NANOMATERIALS CHARACTERISATION EXPLOITING ELLIPSOMETRY and POLARIMETRY,http://www.nanocharm.org
BRAVIS,Development of a Haptic Display and Vision System for the Blind,http://www.ist-world.org/ProjectDetails.aspx?ProjectId=03c0e4cade8540ceb2c
FCHR,Fluid Foods Pasteurizer and Homogenizer based on Centrifugal Hydrocavitation Reactor,http://www.fchrtechnology.com/index.php?option=com_content&view=article&id=79&Itemid=465
PANDORA,Advanced Training Environment for Crisis Scenarios,http://www.pandoraproject.eu/
METACHEM,Nanochemistry and self assembly routes to metamaterials for visible light,http://www.metachem-fp7.eu/
CARDIOGENET,Definition of a genetic network involved in congenital heart disease,http://www.cardiogenet.eu/
DEMASST,Security of critical infrastructures related to mass transportation,http://www.demasst.eu
COOPAIR-LA,Guidelines for cooperation of Latin American countries in European aeronautics and air transport research,http://www.coopair-la.eu
MIDDAS,Micro Dynamic Demand and Storage,http://www.middas.eu/
CUTEWALL,Light easy to Cut and moisture proof fa ade Wallboard,http://www.cutewall.eu/
TALOS,Targeting LRP5 to Increase Bone Formation in Osteoporosis,http://www.talosproject.nl/
MEMOLOAD,Neurobiological Mechanisms of Memory Loss in Alzheimer s Disease,http://www.uku.fi/MEMOLOAD
