acronym,title,projectUrl
DYNACOM,From Genome Integrity to Genome Plasticity Dynamic Complexes Controlling Once per Cell Cycle Replication,
SPECIFICTY,Genetic and ecological bases of host parasite specificity,
AVIANEGG,Evolutionary genetics in a classical avian study system by high throughput transcriptome sequencing and SNP genotyping,
CARDIOPREVENT,INTEGRATION OF GENOMICS AND CARDIOMETABOLIC PLASMA BIOMARKERS FOR IMPROVED PREDICTION AND PRIMARY PREVENTION OF CARDIOVASCULAR DISEASE,
CHARTING THE DIGITAL,Charting the Digital Digital Mapping Practices as New Media Cultures,
NOMBQUANT,Novel phases in quantum gases from few body to many body physics,
TDSTC,Time Dependent String Theories and Cosmology,
QUESPACE,Quantifying Energy Circulation in Space Plasma,
MULTIPLEXLC,High Throughput Injection Device for Applications in Liquid Separations,
ECNANO,Electrochemistry in fluidic nanodevices From fundamentals to integrated sensor platforms,
LIFE-HIS-T,Mapping the life histories of T cells,
PARIS,PARticle accelerators with Intense lasers for Science PARIS,
INTERCOCOS,Interdisciplinary research Connecting complex plasmas with colloidal dispersions,
SOLLIQ,Mathematics of solid and liquid crystals,
SOFT-MAP,Stretching soft matter performance From conformable electronics and soft machines to renewable energy,
COLUMNARCODECRACKING,Cracking the columnar level code in the visual hierarchy Ultra high field functional MRI neuro cognitive modelling and high resolution brain computer interfaces,
COCO,The molecular complexity of the complement system,
CELLMECHANOCONTROL,The physical basis of cellular mechanochemical control circuits,
PRISTINE-PD,Prion like transmission of synuclein in Parkinson s disease,
SINGLESITE,Pre and postsynaptic signaling at single synaptic contacts,
GAUGE-STRING DUALITY,GAUGE STRING DUALITY AND NON EQUILIBRIUM PHYSICS,
GFTIPFD,Geometric function theory inverse problems and fluid dinamics,
MULTIWAVE,Multidisciplinary Studies of Extreme and Rogue Wave Phenomena,
LIGHTDRIVENP450S,Light driven Chemical Synthesis using Cytochrome P450s,
MASTER,Mastering the Computational Challenges in Numerical Modeling and Optimum Design of CNT Reinforced Composites,
FASTER,Fundamental Studies of the Sources Properties and Environmental Behaviour of Exhaust Nanoparticles from Road Vehicles,
OPTIMISE,Optical Platform for Therapy and diagnostic Imaging in Minimally Invasive Surgical Endoscopy,
FSC,Fast and Sound Cryptography From Theoretical Foundations to Practical Constructions,
NEVAI,Neurovascular Interactions and Pathfinding in the Spinal Motor System,
ATOMION,Exploring hybrid quantum systems of ultracold atoms and ions,
EXCITON,Advanced Measurement and Control of Exciton Diffusion for Next Generation Organic Semiconductor Optoelectronics,
DELPHINS,DESIGN AND ELABORATION OFMULTI PHYSICS INTEGRATED NANOSYSTEMS,
BIOSELFORGANIZATION,Biophysical aspects of self organization in actin based cell motility,
LASCAUX,Analysis and assessment of the new European Agri food Law in the contexts of food safety sustainable development and international trade,
SUBLINEAR,Sublinear algorithms for the analysis of very large graphs,
ENDOSEXDET,The impact of endosymbionts on the evolution of host sex determination mechanisms,
GRIP-HEALTH,Getting Research Into Policy in Public Health transforming the evidence to policy response through utilisation of political insights,
FUNCTIONALEDGE,Determining the roles of the nuclear periphery in mammalian genome function,
HOTMOL,Hot Molecules in Exoplanets and Inner Disks,
L3VISU,Life Long Learning for Visual Scene Understanding L3ViSU,
PRONET,ProNet Prosthetic Transgene Networks for the Treatment of Metabolic Disorders,
SMILE,Study of the molecular and cellular mechanisms of incentive learning,
R3S3,Research on Really Reliable and Secure Systems Software,
TOTALPHOTON,A Total Photon Camera for Molecular Imaging of Live Cells,
GEOMETRYCELLCYCLE,Geometric control of the cell cycle in the fission yeast,
REFCOM,The Real Estate Financial Complex,
HEALINSYNERGY,Material driven Fibronectin Fibrillogenesis to Engineer Synergistic Growth Factor Microenvironments,
GEMETHNES,Geometric Measure Theory in non Euclidean spaces,
EAST-WEST,Vernacular religion on the boundary of Eastern and Western Christianity continuity changes and interactions,
DAMAGE BYPASS,Mechanistic analysis of DNA damage bypass in the context of chromatin and genome replication,
REGENERATEACROSS,A Cross Species Approach to Understand the Mechanism and Evolution of Limb Regeneration Capacity,
JAGEUROPE,The Jagiellonians Dynasty Identity and Memory in Central Europe,
SIRAID,SIRT6 activation for countering age related metabolic diseases,
AIDSRIGHTS,Rights Responsibilities and the HIV AIDS Pandemic Global Impact on Moral and Political Subjectivity,
ASCENT,Advanced materials and devices for hybrid spin coherent technologies,
BIOMOFS,Bioapplications of Metal Organic Frameworks,
STRATEMOTIONS,Reasoning About Strategic Interaction and Emotions,
MOTOGLIA,Axoglial synapses adult myelination and motor skills learning,
FUNCSPECGEN,What is the engine of biodiversity Comparative and Functional Speciation Genetics in the Post genomic Era,
PERCENT,Percolating Entanglement and Quantum Information Resources through Quantum Networks,
PROTECTC,Identify novel pathways to enhance the induction of protective CD8 T cell responses,
PROBIOTIQUS,Processing of biomolecular targets for interferometric quantum experiments,
STEMCELLMARK,LGR receptors mark adult stem cells in multiple mammalian tissues,
HYMEM,Hybrid Nanosystems in phospholipid membranes,
ALKVAX,Market potentials of ALK vaccination as a new strategy for the cure of ALK positive tumors such as lymphoma lung carcinoma and neuroblastoma,
HUMVOL,Human Volition Agency and Responsibility,
COMPLEX REASON,The Parameterized Complexity of Reasoning Problems,
CONIA,Core Shell nanoparticle electrocatalysts for fuel cell applications probing the market potential of Atomic Layer Deposition ALD coatings,
MICRONANO,Modeling Brain Circuitry using Scales Ranging from Micrometer to Nanometer,
UPCON,Ultra Pure nanowire heterostructures and energy CONversion,
IDSC,Indoor Dye Sensitized Solar Cells,
PIMCYV,Physiological Interactions between Marine Cyanobacteria and their Viruses,
WASSR,Water anomalies in the stretched and supercooled regions,
LIQAD,Long range interacting quantum systems and devices,
CASINO,Carbohydrate signals controlling nodulation,
SYNAPSEFUNCTION,Molecular studies of synaptic vesicle recycling in health and disease,
SIP,SPECIFICALLY INTERACTING POLYMERS From Selective Adhesion toward Specific Recognition,
DEAD2THEEND,RNA poly A tail the beginning of the end,
MOMP,Structural Biology of Mitochondrial Outer Membrane Proteins,
RWPERCRI,Random Walks Percolation and Random Interlacements,
THERMODYNAMIX,Dynamics and Thermodynamics in Mixed Dimensions,
SPINOFF,Electron Spin Resonance Nano Imaging for the Analysis of Semiconductor Devices,
NIPD,A Novel Non Invasive Prenatal Diagnosis for Genetic Disorders,
ACTSELECTCONTEXT,Action Selection under Contextual Uncertainty the Role of Learning and Effective Connectivity in the Human Brain,
MAXMAP,Developing maximum resolution genotype phenotype maps using whole genome polymorphism data,
TADMICAMT,Topological Algebraic Differential Methods in Classification and Moduli Theory,
GENEVA,Genome Evolution in the Animal Kingdom,
MIMESIS,Microscopic Modelling of Excitonic Solar Cell Interfaces,
CRYTERION,Cryogenic Traps for Entanglement Research with Ions,
BLOWDISOL,BLOW UP DISPERSION AND SOLITONS,
HUFATREG,Adipose tissue mass regulation in lean and obese individuals,
EXOEARTHS,EXtra solar planets and stellar astrophysics towards the detection of Other Earths,
RPH,A revealed preference analysis of household consumption models,
SPICY,Spatial Integration in Cell Cytoskeleton,
SYNAPDOMAIN,Molecular Mechanisms of GABAergic synapse formation spatial segregation in cortical inhibitory inputs,
EMERGE,Enzyme Driven Molecular Nanosystems,
PROTINT,Towards a quantitative framework for understanding protein protein interactions from specific effects to protein ecology,
NBO,Novel Biomimetic Organocatalysts,
STATORG,State Encroachment on Civil Society A Comparative Study of Parties Interest Groups and Welfare Providing Organizations in Contemporary Democracies,
INSPIRE,Interhemispheric stimulation promotes reading two brains are better then one,
SBPSSHS,Structural Basis of Protein Synthesis System of Human Cell,
MODAS,Mob Data Sourcing,
EUNACON,The European and National Constitutional Law Project,
MALONCO,Targeting cancer using evolutionary refined pathogen derived antigens,
RECOGNIZE,Physical principles of recognition in the immune system,
ADAM,The Adaptive Auditory Mind,
MACTHERVAC,Modulation of a novel population of immune suppressive tumoural macrophages and the therapeutic vaccination of cancer,
MINDTRAVEL,Travels of the Mind Modes of brain functioning in complex dynamic environments,
FUTURE T3SS,Bacterial effector secretion Function and Architecture of the Type 3 Secretion System,
TIMEINTERCULTURAL,Time in Intercultural Context The Indigenous Calendars of Mexico and Guatemala,
ORGA-NAUT,Exploring Chemical Reactivity with Organocatalysis,
CANCER SIGNALOSOMES,Spatially and temporally regulated membrane complexes in cancer cell invasion and cytokinesis,
COSIMO,COVALENT SINGLE MOLECULE CHEMISTRY OF THE CELL,
CARDIONECT,Cardiac Connective Tissue Beat by Beat Relevance for Heart Function in Health and Disease,
AFMIDMOA,Applying Fundamental Mathematics in Discrete Mathematics Optimization and Algorithmics,
IRPHRCSTP,Investigating the role of pre synaptic HCN1 channels in regulating cortical synaptic transmission and plasticity,
DECODINGSUMO,Cracking the SUMO Signalling Code,
MMFCS,Multiscale Models for Catalytic Reaction Coupled Transport Phenomena in Fuel Cells,
DIBAROR,Bile acids targeting Retinoic Related Orphan Receptor gamma for the Treatment of Obesity associated Insulin Resistance and Type 2 Diabetes,
STEMDNAFATE,Genetic and Epigenetic Regulation of Stem Cell Fate,
CYTOTOXICTISALANS,Salan Ti IV Complexes as Novel Anti Cancer Chemotherapeutics,
HOPSEP,Harnessing Oxygenic Photosynthesis for Sustainable Energy Production,
DYNEINOME,Cytoplasmic Dynein Mechanisms of Regulation and Novel Interactors,
HYGIENE,THE HYGIENE HYPOTHESIS REVISITING THE CONCEPT BY INTEGRATING EPIDEMIOLOGY AND MECHANISTIC STUDIES,
HIPERBAT,Hunting for high performance energy storage in batteries,
GLISFCO,Glia Smell Food Courtship in Drosophila,
ADONIS,Attosecond Dynamics On Interfaces and Solids,
CATCHIT,Coherently Advanced Tissue and Cell Holographic Imaging and Trapping,
PRECISE-NANO,Atomically precise nanoelectronic materials,
NEW-POETRY,New Advances through the boundaries of Poisson Geometry,
CONCEPT,Construction of Perception from Touch Signals,
GAUGE-STRING,Gauge theory String theory duality maximally symmetric case and beyond,
SUPERSOLID,THE ENIGMA OF SUPERSOLIDITY,
STEMCLOCK,Spatiotemporal regulation of epidermal stem cells by circadian rhythms impact on homeostasis and aging,
FUTURE MARKETS,Demography Based Market Forecasting Tools,
GRAMPLUS,Grammar Based Robust Natural Language Processing,
MHC CLASS II-OMICS,Towards understanding and manipulation of MHC class II antigen presentation,
MEMBRANEATTACK,Molecular and cellular imaging of membrane interactions in pathogen attack and immune defense,
COMMOTION,Communication between Functional Molecules using Photocontrolled Ions,
INTGEN,Intergenerational correlations of schooling income and health an investigation of the underlying mechanisms,
ACTIVIA,Visual Recognition of Function and Intention,
MOBA-CS,The molecular basis of Cockayne Syndrome,
ELECTROLITH,Electrical Petrology tracking mantle melting and volatiles cycling using electrical conductivity,
QUASOM,Quantifying and modelling pathways of soil organic matter as affected by abiotic factors microbial dynamics and transport processes,
TGF-MEPPA,Terrestrial Gamma Flashes the Most Energetic Photon Phenomenon in our Atmosphere,
NEWCLUSTERS,A new window on the Universe The formation and evolution of galaxy clusters and proto clusters,
NEARFIELDATTO,Attosecond physics at nanoscale metal tips strong field physics in the near field optics regime,
QUANTUMCRASS,Towards a fully quantum ab initio treatment of chemical reactions at solid surfaces,
BOOTPHON,A computational approach to early language bootstrapping,
IMPACTTRACER,ImpactTracer Building a Web Application to Measure and Visualise the Impact of Texts over Time,
BRAVE,Bicuspid Related Aortopathy a Vibrant Exploration,
NEUCOD,Neural coding specification design and test of message passing neural machines,
BODYBUILT,Building The Vertebrate Body,
ORICODE,Unraveling the code of DNA replication origins and its link with cell identity,
OSIRIS,Open silicon based research platform for emerging devices,
COGBIAS,Cognitive Biases Windows into the Mechanisms underlying Emotional Vulnerability and Resilience,
MITOCALCIUM,Mitochondrial calcium signalling molecules roles and pharmacological targeting,
BEYONDWORSTCASE,Algorithms beyond the Worst Case,
DROEMU,DROPLETS AND EMULSIONS DYNAMICS AND RHEOLOGY,
BODY-OWNERSHIP,Neural mechanisms of body ownership and the projection of ownership onto artificial bodies,
CAT4ENSUS,Molecular Catalysts Made of Earth Abundant Elements for Energy and Sustainability,
PROPHET,Simplifying Development and Deployment of High Performance Reliable Distributed Systems,
PHOTONVOLTAICS,Nanophotonics for ultra thin crystalline silicon photovoltaics,
CHASM,Convective Heat Transport and Stellar Magnetism,
RNAIEPIMOD,RNA and Epigenetics RNAi Driven Chromatin Modifications,
POLYINBREED,Coevolutionary Quantitative Genetics of Polyandry and Inbreeding in the Wild New Theory and Test,
PGNFROMSHAPETOVIR,The role of peptidoglycan in bacterial cell physiology from bacterial shape to host microbe interactions,
ILM,Islamic Law materialized Arabic legal documents 8th to 15th century ILM,
CPROVER,Validation of Concurrent Software Across Abstraction Layers,
MINDTIME,From implicit timing in the brain to explicit time abstraction in the mind,
SIREN,Stability Islands Performance Revolution in Machining,
SMINC,Size Matters in Numerical Cognition,
MINICELL,Building minimal cells to understand active cell shape control,
AORVM,The Effects of Aging on Object Representation in Visual Working Memory,
VISREC,Visual Recognition,
NPC GENEXPRESS,The nuclear pore connection adaptor complexes bridging genome regulation and nuclear transport,
MEDIA AND POLICY,The impact of mass media on public policy,
EIGER,Exploring the Inception of Galaxies and the Epoch of Reionization,
TELOMERES,Genome wide identification of factors controlling the telomere damage response and telomere driven genomic instability,
ANIMETRICS,Measurement Based Modeling and Animation of Complex Mechanical Phenomena,
INTERRUPTB,Estimating the effective reproductive rate of M tuberculosis from changes in molecular clustering rates to measure the impact of public health interventions on TB transmission,
HALLMARKS-TO-THERAPY,Intersecting hallmarks of cancer mechanisms of and interplay between invasion and angiogenesis guiding new strategies for cancer therapy,
NEUROTRAFFICKING,Molecular mechanisms controlling leukocyte trafficking in the central nervous system,
NANO@ENERGY,Novel Design of Nanostructures for Renewable Energy Fundamental Questions and Advanced Applications,
STEMOX,Under the light of electrons,
ABACUS,Advancing Behavioral and Cognitive Understanding of Speech,
BIOCERENG,Bioceramics Multiscale Engineering of Advanced Ceramics at the Biology Interface,
NSYS,Nonlinear System Identification and Analysis in the Time Frequency and Spatio Temporal Domains,
ROBUST,Evolution of a new stable phenotype a genetic developmental and behavioural analysis,
ACTIVENP,Active and low loss nano photonics ActiveNP,
DIVLAB,Consumption Work and Societal Divisions of Labour,
HUMGENSIZE,Cellular pathways determining growth and human brain size,
NEUROGROWTH,Axonuclear Communication in Neuronal Growth Control,
BORDERLANDS,Borderlands Expanding Boundaries Governance and Power in the European Union s Relations with North Africa and the Middle East,
SIMONE,Single Molecule Nano Electronics SIMONE,
N-BNP,New directions in Bayesian Nonparametrics,
MORE,Advanced Mathematical Tools for Complex Network Engineering,
KISMOL,Kinetics in Soft Molecular Layers from interstellar ices to polymorph control,
DYNAMIC MINVIP,Dynamic Minimal prior knowledge for model based Computer Vision and Scene Analysis,
RESISTOME,Towards an individualised therapy and prevention of multi drug resistant disease,
REGVARMHC,Genetic and epigenetic determinants of allele specific gene expression in the human Major Histocompatibility Complex,
19TH-CENTURY_EUCLID,Nineteenth Century Euclid Geometry and the Literary Imagination from Wordsworth to Wells,
HHNCDMIR,Hochschild cohomology non commutative deformations and mirror symmetry,
E-CONTROL,Electric Field Control of Magnetic Domain Wall Motion and Fast Magnetic Switching Magnetoelectrics at Micro Nano and Atomic Length Scales,
VERISYNTH,Automatic Synthesis of Software Verification Tools from Proof Rules,
GINE,General Institutional Equilibrium theory and policy implications,
WIHM,Water Isotopes of Hydrated Minerals WIHM,
FORCEMAP,Intramolecular force mapping of enzymes in action the role of strain in motor mechanisms,
STRATUS,Structure and dynamics of biomolecules by two dimensional ultraviolet spectroscopy,
GAPRR,Gendering activism in populist radical right parties A comparative study of women s and men s participation in the Northern League Italy and the National Front France,
SMILEY,Smart nano structured devices hierarchically assembled by bio mineralization processes,
BESTDECISION,Behavioural Economics and Strategic Decision Making Theory Empirics and Experiments,
CD8 T CELLS,Development and differentiation of CD8 T lymphocytes,
LEAD,Lower Extremity Amputee Dynamics Simulating the Motion of an Above Knee Amputee s Stump by Means of a Novel EMG Integrated 3D Musculoskeletal Forward Dynamics Modelling Approach,
FEEL,A new approach to understanding consciousness how feel arises in humans and possibly robots,
C8,Consistent computation of the chemistry cloud continuum and climate change in Cyprus,
ESCQUMA,Exploring Strongly Correlated Quantum Matter with Cold Excited Atoms,
CILIARYDISEASE,Deciphering mechanisms of ciliary disease,
LOGICIC,The Logical Structure of Correlated Information Change,
DALDECS,Development and Application of Laser Diagnostic Techniques for Combustion Studies,
STANPAS,Statistical and Nonlinear Physics of Amorphous Solids,
WIDESENS,Water Network Sensors for Widespread Use,
4G-PHOTOCAT,Fourth generation photocatalysts nano engineered composites for water decontamination in low cost paintable photoreactors,
NMI3,Integrated Infrastructure Initiative for Neutron Scattering and Muon Spectroscopy,
MAGBOX,Aeronautical Magnetic Gear Box,
DELIVERHY,Optimisation of Transport Solutions for Compressed Hydrogen,
SPECTRUM,Solutions and Processes to Enhance the Competitiveness of Transport by Rail in Unexploited Markets,
OXIGEN,Oxide Dispersion Strengthened Materials for the Additive Manufacture of High Temperature Components in Power Generation,
ROPAS,Roll to roll PAper Sensors,
CLARA,Capacity Linked water supply and sanitation improvement for Africa s peri urban and Rural Areas,
ICAP,Innovative CO2 capture,
EXCROSS,EXploiting safety results aCROSS transportation modes,
MATIND,Large scale innovative pro poor programs focused on reducing maternal mortality in India a proposal for impact evaluation,
METAEXPLORE,Metagenomics for bioexploration Tools and application,
AIMACS,Advanced Intelligent Machine Adaptive Control System,
BIO-DRIM,Personalized minimization of immunosuppression after solid organ transplantation by biomarker driven stratification of patients to improve long term outcome and health economic data of transplantation,
ODAK,Orphan Drug for Acanthamoeba Keratitis,
ENSOCIO-LA,ENSOCIO LA Strategic Sustainable R I Cooperation with Latin America Climate Action Resource Efficiency and Raw Materials,
EQUIP,EU India Platform for the Social Sciences and Humanities,
GEOVAR,Non rigid geometry variation for fabricated aero structure,
PYMODSIMA,PySimulator and Modelica Based Collaborative System Design Simulation Analysis Environment for Energy System Applications,
SIIP,Speaker Identification Integrated Project,
HIPSGEAR,Scouting High Performance Steels for Gears and Bearings,
NAWADES,Nanotechnological Application in WAter DESalination,
FLOWSENSYS,Flow sensor system for the separation detection at low speed in view of flight,
CONVERGE,Rethinking Globalisation in the light of Contraction and CONVERGEnce,
GLAMURS,Green Lifestyles Alternative Models and Upscaling Regional Sustainability,
H2-IGCC,Low Emission Gas Turbine Technology for Hydrogen rich Syngas,
SHERACA,Shaping Egypt s association to the ERA and Cooperation Action,
ERANET-LAC,Network of the European Union Latin America and the Caribbean Countries on Joint Innovation and Research Activities,
DEEPEN,From atom to Device Explicit simulation Environment for Photonics and Electronics Nanostructures,
TRANSCOSME,Transnational Cooperation of the European Network of NCP SME,
PLASMAERO,Useful PLASMa for AEROdynamic control,
AUTOMAIN,Augmented Usage of Track by Optimisation of Maintenance Allocation and Inspection of railway Networks,
IQ-FRESHLABEL,Developing novel intelligent labels for chilled and frozen food products promoting the influence of smart labels application on waste reduction food quality and safety in the European supply chains,
PREPARED,PREPARED ENABLING CHANGE,
SELSUS,Health Monitoring and Life Long Capability Management for SELf SUStaining Manufacturing Systems,
PROPANE STUDY,PROBING THE ROLE OF SODIUM CHANNELS IN PAINFUL NEUROPATHIES,
GO4HYBRID,Grey Area Mitigation for Hybrid RANS LES Methods,
CRYOWRAP,Low cost super efficient and jet fire resistant cryogenic thermal insulation half shell structures using geopolymer technology for LNG pipeline applications,
NANOMILE,Engineered nanomaterial mechanisms of interactions with living systems and the environment a universal framework for safe nanotechnology,
SUAV,Microtubular Solid Oxide Fuel Cell Power System developement and integration into a Mini UAV,
ENER2I,ENER2I ENErgy Research to Innovation Reinforcing cooperation with ENP countries on bridging the gap between energy research and energy innovation,
CASC,Cities and science communication innovative approaches to engaging the public,
NANOCELLUCOMP,The development of very high performance bioderived composite materials of cellulose nanofibres and polysaccharides,
RAMSES,Reinforcement of the Adult stem cell research are through Mobility and Scientific networking between Egypt Romania and a German consortium for Strengthening the international scientific competency,
EUROLIS,Advanced European lithium sulphur cells for automotive applications,
ENRSYS,Integrated Thermal Energy Reduction Recovery Re use in Autoclave based Composites Processing,
ORION,ORDERED INORGANIC ORGANIC HYBRIDS USING IONIC LIQUIDS FOR EMERGING APPLICATIONS,
IMMODGEL,Local Immunomodulation around implants by innovative auxiliary hydrogel based systems encapsulating autologous and phenotype controlled macrophages,
MAG-DRIVE,New permanent magnets for electric vehicle drive applications,
EUGENMED,European Gender Medicine Network,
NSAFECER,nSafety Certification of Software Intensive Systems with Reusable Components,
COHEMI,Coordinating resources to assess and improve health status of migrants from Latin America,
PREPARE,Platform foR European Preparedness Against Re emerging Epidemics,
3GB-TEST,Introducing diagnostic applications of 3Gb testing in human genetics,
BPM4PEOPLE,Business Process Modelling for Participatory Enterprises Organizations and Public Aministration Bodies,
SOCOOL@EU,Sustainable Organisation between Clusters Of Optimised Logistics Europe,
HCV NEW INHIBITORS,HCV Progress in Therapy with Novel Sialomimetic chimeric inhibitors,
EELA-2,E science grid facility for Europe and Latin America,
BIOALGAESORB,Enabling European SMEs to remediate wastes reduce GHG emissions and produce biofuels via microalgae cultivation,
CASCADE,Collaborative Action towards Societal Challenges through Awareness Development and Education,
BACCARA,Battery and superCapacitor ChARActerization and testing,
THYMISTEM,Development of Stem Cell Based Therapy for Thymic Regeneration,
